Station Name,R (M2),Delta phi (M2),D (M2),R (K1),Delta phi (K1),D (K1)
Port Renfrew,1.0035933123126346,-4.9175390110374337,0.060909238967879857,0.93669141548153545,-0.40806800907719776,0.028848276695559928
Sheringham Point,1.0014023201539357,-11.833475824550192,0.10047565040413384,0.91619100967025424,-0.28741683314660804,0.046002639409276819
Pedder Bay,0.77673446365583132,-18.597100104250728,0.12376553102510443,0.92561683043596366,2.0042040087403166,0.05118917583994765
Esquimalt,0.72981463360311716,-12.311699002066462,0.11980658875522313,0.92357687344943973,2.9791577135690659,0.058710196221523826
Victoria,0.72608259757225346,-6.348482646957109,0.10806434531529487,0.9606128890716823,2.615742929380076,0.037374309075468147
Clover Point,0.68285953749292283,-5.6541567871604457,0.13196184416177864,0.95088004268575843,2.3415946468660991,0.040607423366933251
Finnerty Cove,0.76586236420319753,2.8564961132003646,0.10646074789686878,0.94770767998412064,1.4429852491438169,0.040890071127197503
Fulford Harbour,0.76930625108592154,5.4780434980860271,0.14285305028699677,0.93352787543972482,2.7806870431644484,0.061252347254973596
Tumbo Channel,0.9737039570552376,7.038067130623574,0.089992590905021194,0.97436355381534467,4.3088883159012994,0.06367937676071779
Patos Island,0.96125178443044668,6.1288766395166476,0.075995747852223211,0.97111996909455423,1.4196711140452862,0.029876636231132844
Whaler Bay,0.92911716676987033,4.7407046879467103,0.088974697086248583,0.95066784216236944,2.9459903645498002,0.059570172077230532
Tsawwassen,0.92791704105848383,6.6497921792562913,0.10783880744685137,0.95053849577561311,3.4234124793428578,0.063728145736364122
Sandheads,0.94424362787789584,4.4136573892921902,0.081097776731538784,0.97084064823560667,3.0265868348473077,0.049930664286349909
Point Grey,0.90643679856530146,2.4353550083339783,0.09633189288893608,0.90152762787447061,3.0577122106603269,0.10033227635503175
Point Atkinson,0.93271853925352766,5.2550595655509831,0.10209018055280074,0.95291626895085368,3.3523486378977054,0.063800384461605061
Gibsons Landing,0.90502853581534604,6.6533715824563373,0.13791723019856528,0.94105079302067762,4.6397026540244042,0.08562725553772646
Halfmoon Bay,0.93051073073957702,6.0473829344622345,0.11879177442754936,0.9480253331559424,3.7292974685628337,0.07211852166638634
Irvines Landing,0.92190754980076828,5.6459188398139091,0.12117815003607087,0.94899549652642179,3.2723766073567049,0.066416523241277753
Powell River,0.9229586781468444,3.8820022103621596,0.10155557795267556,0.93590327928214379,3.4074800557152116,0.077857441278330289
Lund,0.93401353223866812,3.5741977654822463,0.091340194576495268,0.95943551446792241,2.2308951388346259,0.049496182557885057
Twin Islets,0.93720394135867358,3.8030862317174083,0.091006558963768358,0.94313654422715854,3.092990900221082,0.06991390896845176
Campbell River,0.8493777496865984,3.5524674491169108,0.13290251151303537,0.96106341293476272,1.5224923726089514,0.039632394374418373
Maude Island E,0.91686847184339892,-14.596284813888929,0.14294041980889743,0.95461060663880515,-2.8056521950204569,0.053481467166709838
Nymphe Cove,0.86767278266840164,-13.102176790964165,0.15397876535290975,0.94965503812411223,-2.0312356885929148,0.047014423896327942
Seymour Narrows,0.5138105141987489,23.48451964640617,0.53639146919530123,1.1415429328981663,9.0635254239003871,0.15246057115398259
Brown Bay,1.0070632673417774,-13.208631922098107,0.21593163646724836,1.03075571162713,-5.2696563043703577,0.066732048355928081
Chatham Point,1.1432051611946794,-12.471308950772197,0.24640029872762453,1.0428684203191383,-9.2998236104442071,0.11185537788505116
Kelsey Bay,1.1029452670971323,-7.0147099619023834,0.19263897221755635,1.1021728941305138,-9.2194039440387598,0.11382398292788237
Yorke Island,1.0953102695770398,-3.716397343377821,0.13701542481878978,1.1366629083417552,-7.8154074993052802,0.11131082017196386
Mean Difference,0.087302721867982033,7.7727917941603479,0.13643474739770303,0.043881799937739274,3.579117457011324,0.065983897037297748
RMS Difference,0.11831979274398195,9.2397316366716673,0.16097834371827896,0.047598740681093279,4.2955632682474327,0.071730639551404837
Mean Difference no North,0.069419642233777806,6.5230689460203006,0.10537008087341282,0.041528620772058107,2.6837109157412997,0.05736540095904593
RMS Difference no North,0.078252964720520179,7.481519202795222,0.10735029221785837,0.044165355405970323,2.904654697495312,0.060053698784646593
