Station Name,R (M2),Delta phi (M2),D (M2),R (K1),Delta phi (K1),D (K1)
Port Renfrew,1.019171466273552,-3.9985530817231734,0.051685241269900033,0.99370341096103076,2.5959404347468364,0.020655811152635119
Sheringham Point,1.016494776895071,-11.094093265353564,0.095262424964918865,0.97150692845100828,2.7083263118099694,0.029925843051487037
Pedder Bay,0.77638778256109264,-18.536996129650845,0.1235764064393345,0.9777836911625879,5.0493269591568151,0.056369163958973408
Esquimalt,0.72907240307353482,-11.873478111711904,0.11869471446881695,0.97568045716926499,6.0377554600289045,0.068701864676699698
Victoria,0.72422129842646443,-5.8490142529315108,0.10784450910527614,1.0161961649131714,5.6881327602166039,0.063539487592996824
Clover Point,0.68005845957075128,-5.1414857255787183,0.13233816957644537,1.0060859918367848,5.4185970262595333,0.061002495200520972
Finnerty Cove,0.76438379240448617,4.4614597259526931,0.10962654749698544,1.0007842147520738,4.614880637845431,0.057035400967776401
Fulford Harbour,0.77219078139442143,7.2511017259584385,0.14752086651792323,0.98484601633720459,5.9641197959218744,0.078584030476577554
Tumbo Channel,0.98624727222066499,8.8109532981181928,0.11121389957249622,1.0278682092255607,7.5269649612702665,0.1102788694897731
Patos Island,0.97095004030642051,7.9817763042049137,0.095337056378948334,1.0248683064234945,4.6584073692450261,0.067910234864913127
Whaler Bay,0.94121193341234277,6.4328525724856505,0.10318732703780439,1.0025843007715169,6.2039556121478086,0.091812368000750946
Tsawwassen,0.93906144184169149,8.310813754254081,0.1241560373076953,1.0028796941984071,6.6602655284197567,0.097061684606052481
Sandheads,0.95667145808471854,6.0449253443585818,0.097220317319350436,1.0244795286812922,6.26250198651951,0.094792931479685483
Point Grey,0.91803675614243729,3.9907436547985995,0.099874870386749207,0.95143819498269866,6.3033990218877989,0.10667046791375867
Point Atkinson,0.94502898712206962,6.823300106945954,0.1175920818213929,1.0046975678634382,6.598992023255164,0.099540425384725198
Gibsons Landing,0.91729889856112823,8.2221025562195322,0.15180694369376424,0.99256026944634346,7.8879107957132533,0.11968238503185785
Halfmoon Bay,0.94359395904708998,7.5497454709873182,0.13475798674254158,0.99953834782971707,6.9958391625243621,0.10735762214545562
Irvines Landing,0.93480669930795934,7.1194133802041861,0.13498004951558548,1.0005821560139339,6.5428086931250959,0.10046627253367581
Powell River,0.93632924921696359,5.3081395661914854,0.11070011650598661,0.98660577932575477,6.6806581159115694,0.10533657602265205
Lund,0.94808891972307052,4.9253531028289572,0.10063759430325588,1.0111399594195281,5.5217733093519428,0.086685828670854559
Twin Islets,0.95147021036870116,5.1294745194667044,0.10117851277370422,0.9941741980265858,6.3782433246083201,0.100427313950977
Campbell River,0.90345874862469988,5.6072691304012565,0.11058167938019919,1.0000704631920678,5.0843060521825691,0.075050286007595238
Maude Island E,1.0313111537049366,-8.9878255735510493,0.090178634868115434,0.98101578633836051,0.86370494882925186,0.019587330187842818
Nymphe Cove,0.9637248774735363,-5.1977774233945411,0.059122341046120061,0.9782276524279061,1.0530703155977221,0.021839765586830939
Seymour Narrows,0.58094180555058772,30.686644242371642,0.55023288961015904,1.1627043401651329,13.211596203900797,0.2053037808624201
Brown Bay,1.0115082725378772,-3.3088650539039008,0.055354961684545435,1.040463758370356,-2.8074486160466563,0.043661812571340393
Chatham Point,1.1291812553683225,-2.5680444478513778,0.12432521908857287,1.0497653958154729,-7.2278055451881187,0.090526379429544154
Kelsey Bay,1.0608682968293384,2.1281187181315886,0.084112605021182105,1.0940841859032324,-7.7827671728807672,0.098272935022714045
Yorke Island,1.0523725971774032,5.4120598667166178,0.1289459798681222,1.1277131158327804,-6.3868285107347162,0.097144742638334267
Mean Difference,0.072419413948860423,7.5431855209050669,0.12317399944020316,0.019120811481156557,5.7488388501836702,0.081904279637221425
RMS Difference,0.10113125646458279,9.2734702919741938,0.14921450624740648,0.030832297761266697,6.1918200653495772,0.089785329070432851
Mean Difference no North,0.063762670723369247,7.4863150565229137,0.11340065802125857,0.010942656655353138,5.7960277982678763,0.081170488161091098
RMS Difference no North,0.073254781827541457,8.1710970971743393,0.11545819589035317,0.015009825977056364,5.9472728135733908,0.085397960170017606
