Station Name,R (M2),Delta phi (M2),D (M2),R (K1),Delta phi (K1),D (K1)
Port Renfrew,1.0077559705607673,-5.2070769449349257,0.064803379311218309,0.99182221872551857,-3.8753516794499774,0.030732588432836997
Sheringham Point,1.0023491680270726,-12.376209044371251,0.10511980898619436,0.96922574389382032,-3.7112151669906552,0.038796118968069518
Pedder Bay,0.76223553833663482,-19.503108756641382,0.12978029873615843,0.97752926892861991,-1.3449904563263999,0.020254906449792314
Esquimalt,0.71517679045813631,-12.823830928690654,0.12542672452300177,0.9770761820130649,-0.45110049060036772,0.015566274893060937
Victoria,0.70970370379363179,-6.6947606134481248,0.11432947886349332,1.0147729904417113,-0.79776992494169008,0.012772527975484779
Clover Point,0.66638823715339657,-5.8810096188561829,0.138617609639508,1.00406278820079,-1.0518680576299175,0.012094550926869571
Finnerty Cove,0.75351930673980472,3.8394191934247033,0.11320232001309212,1.0006708414242742,-1.970781297433291,0.024364404670357224
Fulford Harbour,0.76505641445517358,6.5379604902646413,0.14855185845545754,0.98642071342041382,-0.6807966908172034,0.013546960348150467
Tumbo Channel,0.97885358434633785,7.8852306131673231,0.099960383010239393,1.0277165994445809,0.89906173181259419,0.025917194297808126
Patos Island,0.96373843142508364,7.0715603680681625,0.085951827166634701,1.026155829586566,-1.9253778879142942,0.033912959742917227
Whaler Bay,0.93405030906288877,5.5087904031793542,0.095007273809057935,1.003332549706667,-0.45786299603145153,0.0073439299820884478
Tsawwassen,0.93156633827970503,7.3937244350966687,0.11519233328074856,1.0033759857013762,0.032197781603031217,0.002854442407833209
Sandheads,0.9487336406061545,5.0719948307160863,0.087151512760982944,1.0245305475843507,-0.40421868684705942,0.021384338883917442
Point Grey,0.91060047992888071,3.048700908363891,0.097155192650354924,0.95126266441720908,-0.364114105733222,0.044511673478326838
Point Atkinson,0.93714302359221657,5.8754432715838227,0.1078289861468102,1.0056304817269088,-0.090764065619396206,0.0050429524797014121
Gibsons Landing,0.90965258100616764,7.2740572672708126,0.14300845540218859,0.99324087966694508,1.2223984029774329,0.01945496169053974
Halfmoon Bay,0.93555459697548016,6.5770003736572562,0.12370531547335249,1.0009379179707112,0.31925374473013335,0.0049746266007257125
Irvines Landing,0.92685052499789811,6.1578039864634562,0.12515379243091207,1.0018038442324393,-0.13060985743140918,0.0025595256584578156
Powell River,0.9283375245151565,4.3298483927480476,0.1028648227343866,0.98820088720490962,0.016187243520278116,0.010669419124171688
Lund,0.93983105801373079,3.9285081822746193,0.091621135512100979,1.0131421507564005,-1.1530340676457058,0.021465433343602194
Twin Islets,0.9432003019256856,4.1374996728403417,0.091409376184697202,0.99585512399689535,-0.29469399563026855,0.0059639787073232286
Campbell River,0.90095037871704797,4.4883066526623239,0.10216908256499518,1.0084746310994754,-0.99916684510901632,0.016458970002122
Maude Island E,1.0384234681476736,-10.077416453277124,0.10179126913934312,0.99598466796116114,-4.6322839882460585,0.065499628632169987
Nymphe Cove,0.97389521954076952,-6.1439626027708982,0.06700210408046324,1.0046900885098264,-3.8194063087122458,0.051566452128502624
Seymour Narrows,0.58627821345562703,29.815400908356651,0.5404424865835743,1.1703290114979383,7.6336814168936371,0.1543575278555829
Brown Bay,1.0160574915515157,-3.4503911957656328,0.058700530997557697,1.0667566071452341,-5.771391913570767,0.083908389945256998
Chatham Point,1.133360554816212,-2.6353935884157522,0.12828455292014806,1.0794279490155598,-9.5065829385904976,0.12401392371777052
Kelsey Bay,1.0621255164963852,2.1760441548573795,0.085908767756286655,1.1241195643110429,-8.7971319406119051,0.11804391366366557
Yorke Island,1.053233217352374,5.4567364192294576,0.1302901396606333,1.1593661535889142,-7.3948776811643029,0.11795231221536856
Mean Difference,0.076258462047514575,7.2885238024619614,0.12139416616529632,0.021186744071226664,2.4051093573994553,0.038137409904223242
RMS Difference,0.10352032039874492,9.127243950151696,0.14665288920156261,0.035386649844041385,3.6954285503817577,0.055977284625988402
Mean Difference no North,0.068649069095329474,7.1493019311610668,0.11072162544529467,0.011047333831904829,1.0449477168027754,0.018410989517735583
RMS Difference no North,0.078421737344626222,8.0529643984224162,0.112632919362149,0.01507066172641869,1.4977909143340273,0.021818612768101275
