Station Name,R (M2),Delta phi (M2),D (M2),R (K1),Delta phi (K1),D (K1)
Port Renfrew,1.0075278304375641,-5.3977572178760624,0.067137423374848529,0.9381502155536704,-0.44308920482907865,0.02822266920129652
Sheringham Point,1.0005829742977652,-12.63642878651703,0.10722059493479937,0.91729948509494541,-0.33633878631292191,0.045424488979496531
Pedder Bay,0.75858409789893189,-19.5945772138233,0.13074157925411561,0.92630967691671762,1.9597649595610278,0.050604309684577971
Esquimalt,0.70960239762829158,-12.836106444981397,0.12702513083246086,0.92431494385673396,2.9237575850647772,0.057993474566430066
Victoria,0.70548812660102567,-6.7051580859071009,0.1158032073169946,0.96131864879530438,2.5631636518185701,0.036666324746824498
Clover Point,0.66337658414127898,-5.8383710240352684,0.13971809903991522,0.95154917569485997,2.2927470986756475,0.039943416161137654
Finnerty Cove,0.75387542446345757,4.0214581252943731,0.11333861709923497,0.94823354172887209,1.4002070360303378,0.040337665140002942
Fulford Harbour,0.76596375179029785,6.666728683149973,0.14853148981344036,0.9338067936482255,2.7372598808800035,0.060766827158769965
Tumbo Channel,0.98054609647697866,7.8633050168284626,0.099591861170193169,0.9742861436428546,4.2919851069602828,0.063474699405737758
Patos Island,0.96531902727722174,7.0217642921531933,0.085157523343740327,0.97118563465526808,1.4063644139170606,0.029720895669062171
Whaler Bay,0.93573424525565019,5.4622092887399063,0.093720425310344302,0.95057322486932272,2.9403972810875416,0.059567553662102514
Tsawwassen,0.93331011112294782,7.3865977993210201,0.11451519059597302,0.95043354233633848,3.412492608151183,0.063664918818737731
Sandheads,0.95026137650208709,5.0554461976526355,0.086320943354312077,0.97081572419595985,3.019358588635896,0.049849688883335665
Point Grey,0.91262969018887885,3.0191571907819039,0.095286123656235677,0.90138182382525944,3.06136390233155,0.10047311435448519
Point Atkinson,0.93914711205553958,5.8539006249410939,0.10665406659943173,0.95261734495744432,3.3443046101395453,0.063867854100771962
Gibsons Landing,0.91133218257438164,7.2547844288577821,0.1419031040990979,0.94086452119484898,4.6370502757815188,0.085688199426950773
Halfmoon Bay,0.93743794986329976,6.570041255787487,0.12279873098689802,0.94776630997849354,3.7255587775764525,0.072214317461876121
Irvines Landing,0.92870851361898776,6.1352172927921984,0.12387858642398619,0.94873159587744371,3.2677116397081249,0.066517401839739407
Powell River,0.93010535661924276,4.3098344276744029,0.10142981398849614,0.93560641240162279,3.4007850510679418,0.077983880583092718
Lund,0.94167058166537665,3.9115117969829285,0.090199179723764164,0.95901966819167617,2.2267307193097849,0.049718094615103528
Twin Islets,0.94507277784345711,4.1153782984011755,0.089984011709448947,0.94275985642303362,3.090482407278671,0.070132334778111163
Campbell River,0.90277252305354505,4.4630820048297224,0.10079923644771999,0.95827986593075465,1.7649902352558797,0.043549274882104437
Maude Island E,1.0404837223733663,-10.073705138124751,0.10209838514867828,0.94932339981842506,-2.4322947775816601,0.053048756337331589
Nymphe Cove,0.97582850776363572,-6.0364290639691944,0.065680565246879402,0.9515002355341915,-1.9224977959675016,0.045052487152521969
Seymour Narrows,0.58708357085137119,29.726581078806532,0.53931835572890308,1.1261810803543986,9.7171420627297493,0.15198227963261152
Brown Bay,1.0169299676927728,-3.3963899660161019,0.058082779070048426,1.0299381491187263,-4.892753562078326,0.062239874979823126
Chatham Point,1.1339775783106432,-2.5617385477785888,0.12839280448815521,1.0436879112850057,-8.9671672499961801,0.10829756865350895
Kelsey Bay,1.0619662446543645,2.2064709502895425,0.086092866905611076,1.0995273533154304,-8.9298698183105785,0.11032666573777941
Yorke Island,1.0530110603650304,5.4921745038907375,0.13080825255336484,1.1335074349060432,-7.5413843997492052,0.10795991896995201
Mean Difference,0.075637208441000081,7.2969760257311664,0.12111134304196863,0.043531588842035888,3.5396211547167931,0.065354791571837115
RMS Difference,0.10317136614602927,9.1360464156042731,0.14636650722744604,0.04683790151071212,4.2531531250448698,0.070939213820153182
Mean Difference no North,0.067912200499186517,7.1770177597048743,0.1105485845459141,0.041439528771956204,2.6695215588919625,0.057134989722976579
RMS Difference no North,0.078053786240832729,8.0900538993885824,0.11247898968361995,0.044108515153997024,2.8889849128528677,0.059896457650083085
