Station Name,R (M2),Delta phi (M2),D (M2),R (K1),Delta phi (K1),D (K1)
Brown Bay,1.3493552459856342,-14.59683992096177,0.42760809315732418,1.0409519074049163,-10.93286959637453,0.13488615967524015
Campbell River,0.93843433790532438,-7.1552272659115133,0.11192896979823266,0.95523977865831378,0.43141396068824633,0.038375536115060976
Chatham Point,1.519880441009775,-11.984219173333486,0.52383946346614119,1.0595008539254023,-15.615693328484554,0.18699722147531303
Clover Point,0.69616596768042471,-10.403321674492929,0.13678490781922018,0.95316427199954978,2.0598465433903357,0.037574282292626972
Esquimalt,0.74116727209779054,-17.154433690335168,0.13381096555190641,0.92391770605724988,2.6489228187433014,0.056653298208268671
Finnerty Cove,0.80060482182694948,-1.5036053551075952,0.089745502917791667,0.94782962357731504,1.2932289243695436,0.040079328525870817
Fulford Harbour,0.80894284672156547,0.62799372205113357,0.1113431807744389,0.93199360803071118,2.6831947288570177,0.06149043473111046
Gibsons Landing,0.95099731430928991,0.94639633475949125,0.048848341111163193,0.93804527207643984,4.6978857342875813,0.087813836944258816
Halfmoon Bay,0.97706651997574601,0.24293717027364892,0.022474026929783755,0.94471546499305736,3.7880553688534064,0.074588966068536044
Irvines Landing,0.96754365428815259,-0.1968787522503348,0.032240280784844234,0.9458597927416712,3.3274649136122321,0.068845005577263169
Kelsey Bay,1.4008991720587065,-3.4332180811111925,0.47633313783903475,1.1450753506967633,-17.02163858443501,0.20101522503330235
Lund,0.97862148763485424,-2.4321399439820865,0.048155169783018495,0.95569289289420134,2.2794331767348126,0.052409771402154949
Maude Island E,1.1842744315098082,-27.642314013907708,0.30670868405788693,0.94750974809852428,-4.9722897942327791,0.080639221819783599
Nymphe Cove,1.173243015379595,-23.052650455918183,0.28674490641100642,0.937578568203288,-4.9432948192996378,0.080283875515387418
Patos Island,1.0115150833806752,0.82499123086870441,0.012581042378924557,0.96957814460910552,1.4170144157043865,0.030784688628477025
Pedder Bay,0.78443201253124994,-23.996068514170531,0.14592671362062828,0.92710367135589711,1.7160313315861799,0.049152356864468602
Point Atkinson,0.97999737172913437,-0.45506646867375977,0.019730057373783944,0.9493736285997888,3.4010459170807508,0.06625190530230933
Point Grey,0.95195640424462524,-3.2877685196522393,0.06971173658621023,0.89889772854941308,3.1367994063634228,0.10296262603523598
Port Renfrew,1.0377816371678819,-11.09134092337402,0.14194533939366072,0.94232970212741651,-0.85471413938066121,0.026935639915346445
Powell River,0.96801798358517843,-2.0256086707349112,0.04758139196651167,0.93249141393300805,3.448923590670347,0.080528196338288227
Sandheads,0.99240523864789332,-1.2051235942690468,0.019367339612895062,0.96853216676184528,3.0749291683126785,0.051454307297284986
Seymour Narrows,0.69332453781147518,11.45892756850219,0.33000271738697884,1.1388661392878408,6.9752370524746539,0.13155630843907357
Sheringham Point,1.0290437923796956,-17.939264981785044,0.15469473415967069,0.92131855287365216,-0.71508296441476205,0.043614316767459971
Tsawwassen,0.97582130443940207,1.1143426619934864,0.025045505309917285,0.94831466732214698,3.4449145198318547,0.065129605668945045
Tumbo Channel,1.0265624711849408,1.5535236177570368,0.027742522659962892,0.97257256273315529,4.313216215588227,0.064173016946981187
Twin Islets,0.98165929894897874,-2.2538815768320077,0.043632617712355479,0.93957180677320151,3.137525485404808,0.072705051498313494
Victoria,0.73880499814479261,-11.149405477816458,0.11563650439711091,0.96253746044609434,2.3070155644016381,0.034134180165834721
Whaler Bay,0.97791562264304133,-0.83409193419938532,0.021986002465414236,0.94806724113401897,3.0071883362994072,0.061709416703069016
Yorke Island,1.3900601021466841,0.073952643932670981,0.45676385569070732,1.180365991718006,-15.654571056286358,0.19337810712099693
Mean Difference,0.11070152270178965,7.2632942737571629,0.1513418521074664,0.047639657167066848,4.5965324640056249,0.078486961623319362
RMS Difference,0.1794258631874322,10.875811352156918,0.21531037423004881,0.051978130380911702,6.3588942234648451,0.091387019576332149
