Station Name,R (M2),Delta phi (M2),D (M2),R (K1),Delta phi (K1),D (K1)
Brown Bay,1.2830641610681539,-17.125557689526545,0.41172174461970285,1.04776556028053,-11.24503073659406,0.13999778459627918
Campbell River,0.77650481217808331,1.7994841958154453,0.18579171518534499,0.96328113859493592,-0.0080193194950766156,0.03106437413513205
Chatham Point,1.4758998921623148,-14.404753814340268,0.51023722512223657,1.0674285547952451,-15.82637817919084,0.19120260803923209
Clover Point,0.65483059238198882,2.7999233292006807,0.14001300537117217,0.9544148585032316,2.4890815255967595,0.039984572281601016
Esquimalt,0.69315222454712155,-3.915379506009856,0.11453176351253309,0.92909777813674321,3.2180687134792834,0.057357955947864275
Finnerty Cove,0.75537323222364561,9.5065897585067773,0.12689598804041463,0.95308562281248488,1.3683975453012067,0.037091178224568234
Fulford Harbour,0.75677952781141122,11.1661871800972,0.17246110504469325,0.94000263200114931,2.6627358776520964,0.056497707025374239
Gibsons Landing,0.87231230614003186,11.561216892194999,0.21532665011049187,0.94728929899461667,4.2049986093273901,0.077399343354118022
Halfmoon Bay,0.89546675356901717,10.97531360459277,0.20148434788210226,0.95429661268435806,3.3042161861702652,0.063832988477296321
Irvines Landing,0.88621909155256418,10.617175073374916,0.20556561520301878,0.95513256412322722,2.8392150752353587,0.058093307663589076
Kelsey Bay,1.4072958769729582,-4.8128851456312418,0.49058329813836177,1.1502206924547327,-16.996118212487829,0.20239383661037597
Lund,0.8943457124059534,8.6027844420248485,0.18077326534282079,0.96536751292386158,1.7985131547250148,0.04122638381344481
Maude Island E,0.92350741986058149,-27.663271132720922,0.25899142899930849,0.95398649055217244,-5.3519139484922675,0.082844630126388222
Nymphe Cove,0.96410469893271777,-25.990473456699021,0.27247639009209157,0.94789856468948219,-5.2799991969576467,0.079867412729821813
Patos Island,0.93472945050429901,11.040124990666754,0.13404407353199899,0.97739186918317367,1.0670302440523187,0.023033614767908293
Pedder Bay,0.72836517524900246,-10.307533672601323,0.10667708209378002,0.93045077868066117,2.2129637465874907,0.049469246573724979
Point Atkinson,0.89919274170503516,10.172790801986753,0.17996887321584806,0.95977378822053638,2.9338805666251915,0.055424422767174152
Point Grey,0.87372565339685715,7.3645940426783696,0.16465984698479255,0.90735712362844034,2.5984295709591834,0.092609725247537689
Port Renfrew,0.94410582141682253,0.68956909437554259,0.040429891641693652,0.93874802498035703,0.17391033231149322,0.027779108030680112
Powell River,0.88578517182207472,8.8709292875498278,0.18632530067345673,0.94160474215258927,2.9819550511749071,0.069789337683176633
Sandheads,0.91093575231943924,9.3177578567317383,0.15538092581839677,0.97645514275385359,2.6085932099935576,0.042498288860720233
Seymour Narrows,0.54923205393836771,9.0165487486690381,0.44043928743652672,1.1408453655225057,6.6410736042346912,0.12973348039505797
Sheringham Point,0.93416953612267151,-5.7553598910949404,0.057109306253523014,0.91824795659480707,0.15951881859314199,0.044823969031205974
Tsawwassen,0.89829242220384697,11.564536173409873,0.17547604553208265,0.95665204808080062,3.0433526550430088,0.056425971864352338
Tumbo Channel,0.94298185307409665,11.791248583613765,0.15062972780128664,0.98028806221715281,3.9176926972494925,0.057173941459686045
Twin Islets,0.89655796822819667,8.8234966392200036,0.18098649685297435,0.94898899526343872,2.6629913542352597,0.061656252694231056
Victoria,0.69329179048914147,2.1237166244196715,0.11497982250012265,0.96472941498602494,2.7949489066646152,0.03730107934414939
Whaler Bay,0.89777277637196595,9.5106578490108191,0.15631747358231313,0.95666000396877782,2.4983311383365958,0.051499981225383129
Yorke Island,1.398619368787285,-1.3154582538063551,0.46786485172611092,1.1853180359997664,-15.640113482163429,0.19499510301376402
Mean Difference,0.14825394788911678,9.6070799217438019,0.21372905338997245,0.04360278042050357,4.4319817813423956,0.074243710551166811
RMS Difference,0.19704694806374712,11.387544539404345,0.24748490259675845,0.048753778768281283,6.3227674326640635,0.088893533800822114
