Station Name,R (M2),Delta phi (M2),D (M2),R (K1),Delta phi (K1),D (K1)
Port Renfrew,1.123906322940295,-9.9958306502090295,0.15747821019750591,1.0076761080644341,-3.5687555424422897,0.028531994109581987
Sheringham Point,1.1342003434421422,-17.192347363175458,0.16825603548287432,0.98619257453630282,-4.1171308050369362,0.039822139481810168
Pedder Bay,0.89337453002122946,-26.873925521101569,0.1545945671334821,0.98761449317094396,-1.8291247962770854,0.021353472134465933
Esquimalt,0.83960146225327459,-20.628050040832647,0.13403598488962765,0.99223434280089517,-0.4430050328101629,0.0070326421304133385
Victoria,0.8238364758533645,-15.234482880018675,0.11123610915840589,1.0368466700602408,-1.4028056797493491,0.027893955300554444
Clover Point,0.77309243433049901,-15.145889707518279,0.13070863848138342,1.0255698368555266,-1.8760428643059299,0.026881669939828216
Finnerty Cove,0.82507484844355505,-4.3421132930461681,0.084025472042358482,1.0203856246297369,-2.6065182610176976,0.035590296777156291
Fulford Harbour,0.82695050509151469,-0.51539539340911844,0.10082726462869988,1.0023429248373448,-1.138416096439073,0.015082248274910051
Tumbo Channel,1.0588869190393324,2.5083629441560333,0.053826065423494697,1.0384642158592157,-0.23208574262173443,0.031373593885668918
Patos Island,1.0410429421216993,1.1112936598604506,0.030984022366452278,1.03597275448935,-2.8866410924301249,0.049481229696182821
Whaler Bay,1.0099533151098035,-0.2031526373121082,0.0088169801489900845,1.0124343903134407,-1.4475828667699489,0.02396937414319468
Tsawwassen,1.0135814597463815,1.587259151517241,0.025157737311643693,1.0136767272558451,-1.0235637437053811,0.018844552519206477
Sandheads,1.0289278434481222,-0.56145962348605138,0.026580944864267313,1.033155810626071,-1.4785309130383553,0.03538499455036994
Point Grey,0.98536441562496269,-2.829697675821329,0.048344328789413193,0.95927339676597834,-1.5952500681001425,0.044405410142323617
Point Atkinson,1.0151946335158071,0.022538179520484647,0.013953418065995697,1.015468075698545,-1.0736859965866756,0.021041386599803924
Gibsons Landing,0.98659538252850332,1.45718175896112,0.027081503859861491,1.0015111379976886,0.21367747659724046,0.003511116508389929
Halfmoon Bay,1.0164931494256229,0.76752258900921788,0.020549899371224253,1.0094710706192573,-0.61161347982840653,0.012591316608962962
Irvines Landing,1.0081217595039071,0.39184422735323921,0.010507889678072865,1.0106450940506255,-1.0738754311619232,0.019044112949679733
Powell River,1.010730239025448,-1.3933501989707082,0.026886073148669691,0.99606038419837506,-0.9385894717526071,0.015202532393547536
Lund,1.0258377526475009,-1.7891109535973087,0.041736618298461634,1.0216838872611629,-2.0065153945429302,0.036902366617564034
Twin Islets,1.0292132589014305,-1.6033226186377405,0.041264060884253925,1.0037835338648482,-1.2245206823779995,0.019656226117565876
Campbell River,0.98997364391056497,1.8263130410799491,0.027440180102838843,1.0153318622894105,-1.666095530823668,0.027976255399205858
Maude Island E,1.1025510055985424,-8.3619651748186357,0.10245942658409635,1.0003147883251022,-5.0622751729238189,0.071643006579804047
Nymphe Cove,1.0006833766273375,-5.0586522555140618,0.054300970703002334,0.98966187590480015,-2.4961573232539536,0.034305798681800032
Seymour Narrows,0.60499695123041652,33.776555909107913,0.56780479705172604,1.1940480708332448,5.3862436157695583,0.15192389781050553
Brown Bay,0.95302478552551828,-6.033317221343566,0.10563590636234169,1.0413131881465418,-3.7732050428135722,0.053555750647988086
Chatham Point,1.0616770810233278,-6.4371429358697583,0.11839586078328684,1.0346608314035979,-6.8275286025307196,0.082403891936068771
Kelsey Bay,0.99905166315096683,-3.4126018999551775,0.069652024743605656,1.0578502795388154,-5.0308657820586404,0.06186875774270624
Yorke Island,0.99082079986533989,-0.10951985200119907,0.010977332680447415,1.091920268984456,-3.5583407555997155,0.062783110199077355
Mean Difference,0.047643005609921289,6.5920758399035932,0.085293735284016667,0.019834153779352545,2.2961601125298499,0.037243348271666796
RMS Difference,0.082999962075631678,10.799127328681427,0.13411901944021257,0.031820725059495195,2.8446408847097748,0.046993475522747956
Mean Difference no North no PR,0.037551082313771904,6.0292093578245884,0.064111029112809401,0.014601802039954016,1.4734029059353528,0.025547811087054367
RMS Difference no North no PR,0.047633688565693652,10.131573790919539,0.08220548995091255,0.017817078346175765,1.7466276623072734,0.028322895559662668
