Station Name,R (M2),Delta phi (M2),D (M2),R (K1),Delta phi (K1),D (K1)
Port Renfrew,1.2176822908274134,-7.0468738457127245,0.18158790407660574,1.0365342585453909,-7.9477914228844782,0.066031903756897228
Sheringham Point,1.2585138007451839,-13.793302991237482,0.18183763465120517,0.99436243056492757,-7.5236372311799755,0.071770964413521265
Pedder Bay,0.99321085876283355,-24.974701930718368,0.14741265123859471,0.97090790327008647,-3.5315938245169036,0.042218523941555293
Esquimalt,0.94899210380720977,-19.686602036146041,0.123663331094771,0.96579863551046108,-2.009953680802596,0.031224588512021877
Victoria,0.93369638093622143,-14.635599239864234,0.095088407198711478,1.0121232977174952,-2.7672767005011565,0.031396995928569191
Clover Point,0.86937209624684175,-14.994448723723849,0.11129392586795225,0.99736452904083717,-2.8918754739546557,0.03240154891998244
Finnerty Cove,0.88648667920583268,-5.4264997980748149,0.064515514177780037,0.98788130488839188,-2.8630017845762268,0.036191006872430834
Fulford Harbour,0.88099788609789464,-1.1759331468345628,0.070160802281138496,0.97076662967258409,-0.94193958257773147,0.025165919416041529
Tumbo Channel,1.1119092512037492,3.3973640423444067,0.09306379462781561,1.0015478204979182,1.7565323109241717,0.024912952600241463
Patos Island,1.0913892954524578,2.6083403262771299,0.07005471491948817,1.0061060386208538,-1.5051397684669041,0.021367298591963551
Whaler Bay,1.0631109858937935,1.3915483910192066,0.056626424990179287,0.97825017140776116,0.81285553061223936,0.021923155607120569
Tsawwassen,1.0560621620474397,2.6397976743857718,0.059509447195492469,0.98256254821501077,0.83228887601740098,0.018860049226143843
Sandheads,1.0862057421519351,0.57026270760079711,0.075453174818488206,1.001866296747127,1.0448971947836299,0.015357956058715549
Point Grey,1.0352832248288828,-1.4165990724098023,0.040949522283469923,0.92844047446795097,1.3748980461669476,0.068133161897195288
Point Atkinson,1.0662500827334525,1.3022531790494902,0.064520860300115002,0.98022734360523511,1.413432633665991,0.027087339991765155
Gibsons Landing,1.038950808012425,2.727412100999139,0.058919564522925127,0.96979858952116715,2.9209929983134657,0.051085663728675915
Halfmoon Bay,1.069826983073878,1.9564816784148888,0.075433396662286475,0.97657507998003357,1.8316321908527584,0.034608247686165494
Irvines Landing,1.0602804913416097,1.572096263092682,0.065773855094587955,0.97929868101141071,1.3933939921902834,0.027934999278187496
Powell River,1.0642233162271617,-0.22604140958587493,0.064802607626056802,0.96637152709511576,1.6191335998632894,0.039430888194343622
Lund,1.0795321587796822,-0.62649857030881861,0.082106964374433863,0.99142494637196876,0.29085375636287836,0.0088490071805050093
Twin Islets,1.0834887785853233,-0.44329379189368723,0.084966691658710805,0.97504599456499486,1.2110428224526686,0.02940845762311934
Campbell River,1.0662064287896422,2.2020572163997159,0.063680158342230661,0.99813970968589338,-1.260217713900829,0.018656534788358471
Maude Island E,1.2464404515953313,-7.6316356453921799,0.16000239422018617,0.99632008346556378,-6.0589368802484955,0.085616156579352079
Nymphe Cove,1.1403676419072752,-1.6769688368962079,0.08844013059274948,0.9673812844765316,-2.437801815559169,0.040853349054983515
Seymour Narrows,0.69270646406210845,33.413786004295162,0.53798776014228422,1.2208278129858725,3.1195035477618376,0.15838027992392767
Brown Bay,1.0673881764687414,0.035183772946766112,0.063010737222017818,1.0417515587503932,-5.3514995938311927,0.070644135584969764
Chatham Point,1.1646389775154522,0.74083873693666646,0.14920200582136206,1.0414312461678306,-8.8350664726989976,0.1063240233214828
Kelsey Bay,1.0510714309323683,3.8316803931105028,0.10001462004428539,1.1229244250769661,-9.4404957529809508,0.12311497470186319
Yorke Island,1.0411076135954189,7.1421440617500025,0.1564337490907457,1.1654187517251555,-8.5330407083544628,0.12866064139018185
Mean Difference,0.075569517755709012,6.1822843306007238,0.10987974983229895,0.025832865344890356,3.2248526174828376,0.05026243878518212
RMS Difference,0.092753515957523319,10.196954295923323,0.14199164761478686,0.041027589502735731,4.2086969835117651,0.062504128543514947
Mean Difference no North,0.060935368559705827,6.1084328563900048,0.089138724900104882,0.016271539925839747,2.3636560299606844,0.034797608590102128
RMS Difference no North,0.069521113659721995,9.3982328299009463,0.097430340238202767,0.021474664132999161,3.0790292122665672,0.038725707135354254
