Station Name,R (M2),Delta phi (M2),D (M2),R (K1),Delta phi (K1),D (K1)
Port Renfrew,1.1152811924403652,-9.8166213407228611,0.15176418499959746,0.99218384710283847,-2.5195471674633438,0.02015425421118603
Sheringham Point,1.1270519007845312,-16.946891833434194,0.16444877268437072,0.97248628976289775,-3.0410922362297015,0.032401705665062834
Pedder Bay,0.89360110845704477,-26.654272882554437,0.15342321245290508,0.97591083148808366,-0.71853768282761621,0.01698429854891223
Esquimalt,0.83825341714635471,-20.552651252022372,0.13377724345647804,0.97989874596362436,0.70504878533512283,0.015113074083568677
Victoria,0.82376191195470583,-15.166809939767461,0.11092976326453069,1.024756773886341,-0.29822579804056204,0.015870170914306845
Clover Point,0.77324819930734701,-15.103802033758939,0.13048712350410649,1.0138542127322605,-0.78047448472437964,0.012515901560829537
Finnerty Cove,0.82229988385337405,-4.7185977169241369,0.086157798990238385,1.0102853975942878,-1.4818065015436446,0.019792305879870048
Fulford Harbour,0.82099984124392089,-0.81497456925803746,0.10444777715894359,0.99273099613727511,0.028026360485057467,0.0054858490781273901
Tumbo Channel,1.0490740112940826,2.2812346897809448,0.046322393665911246,1.0304422141782821,0.88247364298177899,0.027754322640167275
Patos Island,1.0317500872085803,0.81429839057250319,0.023716932927011044,1.0277091272792394,-1.7872849095724632,0.033215187957437747
Whaler Bay,1.0010228715920175,-0.38986860859758821,0.0057415641707442722,1.0044287009196011,-0.35573706239421199,0.006469049533896213
Tsawwassen,1.0049966929350471,1.4189138891533268,0.020537543159765335,1.0055189343428557,0.058475785114126211,0.0046812590803241945
Sandheads,1.0198507248761166,-0.69253592923794116,0.020250607561949435,1.0250205900321792,-0.38580384380554733,0.021705668778819916
Point Grey,0.97704029835154704,-2.9611501724192735,0.052922126261044172,0.95204114010764163,-0.51565066863366837,0.044173085813090443
Point Atkinson,1.0064851932052252,-0.11002340181773818,0.0062105317407155306,1.0076824783623848,0.0433795987190706,0.0066546234435705745
Gibsons Landing,0.977966196676751,1.3225831525131966,0.03004497641834681,0.99377768025906732,1.3103560894028305,0.02060723055975882
Halfmoon Bay,1.0076167116349071,0.66698692356283118,0.013446350920589482,1.001744807993346,0.48085618651691675,0.007549625045787085
Irvines Landing,0.99927744069075619,0.2986498844112262,0.0051972707538614545,1.0030606758696599,0.013908323112048038,0.0027018784278317986
Powell River,1.001759791365759,-1.4603911428034024,0.025749983783369679,0.9885407256498483,0.14409630983629995,0.01060294059544351
Lund,1.0165993085025056,-1.8166025474603416,0.03681171147831705,1.0142121181942352,-0.92068086628484025,0.019146722355013218
Twin Islets,1.019893897034561,-1.624440372913476,0.035317688232131092,0.99655848611278575,-0.15154841513805195,0.0039213245420879695
Campbell River,0.9905785091223378,1.3848520910483799,0.021313635675866166,1.0000329483463481,-0.53610989487771121,0.0079160734699071419
Maude Island E,1.1193012453740696,-8.6936509116436582,0.11113450037814998,0.98033159097865152,-3.8754291037839721,0.056597034156299034
Nymphe Cove,1.0199466105972532,-5.0345684378436886,0.055920757653289216,0.96844529423669501,-1.5581869949293718,0.031858953327283362
Seymour Narrows,0.61558680026730139,33.241212749446959,0.55904530457022339,1.168557552022947,7.0302603354293183,0.14838987707209783
Brown Bay,0.98380465020197405,-4.5603271157237373,0.075332247725098445,0.99524522477690736,-3.0027409980537527,0.035642596513087488
Chatham Point,1.0819474658764698,-4.6448350914776029,0.10616306529802345,0.98880122164584694,-6.2580323078362312,0.071372390602153488
Kelsey Bay,0.98932783826857262,-2.2366052614633531,0.047109905632692024,1.0112693227599103,-4.8871091382585519,0.049902860421231002
Yorke Island,0.9787836921255727,1.0201152666044209,0.032290601432600541,1.043971251583125,-3.3468966042529473,0.041362581754093991
Mean Difference,0.04590703927268245,6.4292575034116553,0.0815867439983059,0.015311589719463675,1.6247508998476945,0.027260098139008478
RMS Difference,0.081420450511838854,10.637272262303814,0.13112714940385015,0.026265621705362268,2.4725233638128574,0.039416708768730949
Mean Difference no North no PR,0.034370227505430194,6.0100652084236774,0.061611772860694657,0.012572394818794446,0.73431132292420453,0.017022363155885182
RMS Difference no North no PR,0.046930926177210369,10.068590589283497,0.081332437043418471,0.015937254797263687,1.0385427739503463,0.020221213109188903
