Station Name,R (M2),Delta phi (M2),D (M2),R (K1),Delta phi (K1),D (K1)
Port Renfrew,1.0880722678380377,-8.9548620734774431,0.1310874070754913,0.96774728840379054,2.9674133620059422,0.027313558215914947
Sheringham Point,1.0931068388869336,-15.230890049834215,0.14236705173088685,0.7759507589239889,10.675283871791294,0.15212023603576555
Pedder Bay,0.86950490308554584,-24.022244793246671,0.14003177365720376,0.96822073541746789,11.411324408370945,0.12428102384060273
Esquimalt,0.85831577544864168,-17.879767455700517,0.11777371377443112,1.0159712274839146,4.0774227518730868,0.047242661447274327
Victoria,0.84283007080596339,-12.440114882963428,0.094567696975034615,0.97357561914549118,6.1419364618748773,0.068326001918266058
Clover Point,0.791896589398847,-12.638672129737131,0.11517867104986884,0.92451568772319226,8.1323161684057368,0.10006077792220222
Finnerty Cove,0.85340031616322642,-4.118306592707313,0.07193592256403096,0.95093283581947163,4.4578354061808341,0.063959896761285079
Fulford Harbour,0.83073317188651863,-2.1827586325326358,0.10056444882993645,0.91706667711984224,-1.7598605491435819,0.066259975423713396
Tumbo Channel,1.0324872651498964,0.71101173474710322,0.025300020223710657,0.8486004530003648,-5.2486176449521054,0.14055815623950335
Patos Island,1.0299385106775865,0.72224180015876982,0.022138861892628779,0.78811234360194027,-0.22496091754089775,0.16741389596309675
Whaler Bay,0.98731000101923583,-1.3163829089050054,0.0217828147360693,0.85263520022920936,-8.3637027107000108,0.16908734241943008
Tsawwassen,0.99085417417365429,0.30645058061697839,0.0085824970880193276,0.83101353297524605,-3.2799780449614673,0.14750025111061374
Sandheads,1.004026096965563,-2.3103962465579784,0.035283556433272301,0.89179113943369792,-13.912826494894034,0.21180348071935148
Point Grey,0.9608408021685666,-4.4371991102733759,0.080703423818176565,0.86054489093301312,-19.39542761170361,0.3100599049614855
Point Atkinson,0.99325378684790999,-1.5507953394824305,0.025525011456560377,0.91894453804213672,-15.12687310064365,0.22847426056386833
Gibsons Landing,0.96430850242022059,-0.087116085524066023,0.033829410131358588,0.90397282182970273,-12.899298091867479,0.20421685861509506
Winchelsea,0.99523545391269586,-0.7632890335197331,0.01344060519136089,0.89089771988788258,-6.3224559545544707,0.13194935420390921
Halfmoon Bay,0.99676520274301716,-0.64059723135926561,0.01120326121019114,0.8964234785356997,-11.04324594728871,0.18443601391226661
Irvines Landing,0.98838563045507788,-0.86512861602263769,0.018752008089989253,0.88732480348344078,-9.3194845696099264,0.16724591021419227
Powell River,0.99010669865839962,-2.4866211975710115,0.044610061770150089,0.89457690537029855,-7.9692636084110973,0.15232501463714024
Little River,1.0170001786976555,-0.12124627166976865,0.017030799265135638,0.88035143154021434,-2.3279426036725113,0.11326793040046038
Lund,1.0050836720246705,-2.7176280131882535,0.048870511885121516,0.90840952554522325,-7.6228588401567663,0.13899308773096655
Twin Islets,1.0071391931737501,-2.6144945223509453,0.0469458228644394,0.90699602517525779,-8.5252053382992585,0.15312863986133662
Campbell River,0.97622765892615726,1.8907603846764474,0.033288921392668022,0.79625562404319528,13.844673207100129,0.25064655050910167
Maude Island E,1.0842236691802614,-7.5661338864364325,0.089605959859434314,0.74440022956422358,24.307576845847507,0.36024754741622078
Nymphe Cove,1.0469035540956395,-5.9138515322304102,0.071040661651433093,1.0682401350810529,-19.957319074617203,0.28076872442592066
Seymour Narrows,0.55228774207392695,36.969466852607866,0.61491049482467297,1.2078590696148892,83.234082886019223,1.0203938016839678
Brown Bay,1.0060499037811255,-4.0672662623678661,0.06679945317387205,1.0412246439882491,-17.581410388462075,0.21361359414202608
Chatham Point,1.1096409165112844,-3.2628115606032679,0.11285208138651845,1.2900991230917236,-24.915608331478012,0.37243471219177982
Kelsey Bay,0.97907149903609947,-1.3888183249740109,0.03724256258174255,1.2547968207205424,-9.4160313929588142,0.18130531770940672
Yorke Island,0.96632486300799414,1.7457296681388925,0.052773358399047336,1.2422821264116974,-5.7620898168341625,0.14894968186263352
Mean Difference,0.045132983796471744,5.86848560561877,0.078903833709111512,0.096345634168132702,12.265300851684497,0.19672206977609019
RMS Difference,0.086921587136329748,9.9875670953233016,0.13208749554850815,0.10963297310593001,18.904430749057127,0.26076753172159151
Mean Difference no North no PR,0.032633540870217269,5.511051811655804,0.059135305822256824,0.085405871533903485,8.4085323323562005,0.14933268510047695
RMS Difference no North no PR,0.043031395884162389,8.8946157376192438,0.074383515303668851,0.095762943059160582,9.6605364775900284,0.16215898242907859
