Station Name,R (M2),Delta phi (M2),D (M2),R (K1),Delta phi (K1),D (K1)
Port Renfrew,1.0929233120205131,-11.100104985208588,0.15756281957019516,0.95845245383315114,-6.5093542716043373,0.053759847055942833
Sheringham Point,1.0957512584687772,-18.006629144024771,0.16622790255161668,0.92004358464003499,-5.4543907718635865,0.066497069712842527
Pedder Bay,0.85722239033975789,-26.390046105432702,0.15258316254782761,0.92883621722135246,-2.6975767080770083,0.052916843209787318
Esquimalt,0.81031024636164262,-20.012317178634873,0.1342622088127241,0.93630929142059283,-1.7745465378586118,0.045260004615014032
Victoria,0.80122230289402663,-14.304419626186757,0.11139761156210654,0.97989676855811281,-2.1559457122034473,0.026537770437092725
Clover Point,0.75167812679776047,-14.104396142683981,0.13181547343536965,0.96927504138769882,-2.3890212037620699,0.032917396655664351
Finnerty Cove,0.82164073112242753,-4.6469188721727619,0.086230121280353664,0.96734424508826677,-3.2371996619607444,0.045629262279409
Fulford Harbour,0.82297552439862331,-1.0503236439576646,0.10348185253801062,0.96286296817085359,-1.732109805663697,0.035789817988198962
Tumbo Channel,1.0468849839495953,1.3968856016379618,0.038556245684481801,1.0112677174210356,-0.14228153568029711,0.0093598543675737136
Patos Island,1.0295300618938297,-0.1414131864254955,0.020152521156800166,1.0122873462671682,-1.3055113931986284,0.020547795246370997
Whaler Bay,0.99630966750029903,-1.4162347566399589,0.020805088642783753,0.9939792668115176,-1.5908959604361712,0.023994623917259386
Tsawwassen,0.99915128308281453,0.30022761522259245,0.0043032044525191382,0.990151919756451,-0.484253153623456,0.010800667386347482
Sandheads,1.0174500110410092,-1.6096024404860927,0.028918652577334711,1.0166813942896256,-2.0563741620118776,0.033351526013353991
Point Grey,0.97371302140144955,-3.8640584498446273,0.067605451739227246,0.94487740378477503,-1.9880741703710783,0.058547523149073188
Point Atkinson,1.0032374914688482,-0.99592787010380945,0.016256468192767683,0.9871053033035655,-2.7179661703577267,0.042116018580576134
Gibsons Landing,0.97535396682771691,0.3539010533906648,0.024044078883926182,0.98697332179855679,-0.42641723967489042,0.0130614320722852
Winchelsea,1.0034603250877785,-0.77145850121210202,0.013256098259692022,0.9959177409598714,-0.66808305797150069,0.010790196976244851
Halfmoon Bay,1.0040474196842928,-0.53869391002945122,0.0098844559717057075,0.99017559708405523,-1.445799591789978,0.023727101389256513
Irvines Landing,0.99579127611809404,-0.71998429128293395,0.013068274223498303,0.98910775427863662,-1.0266317920099368,0.018379026132452275
Powell River,0.99638549302231527,-2.4168432786195098,0.042553118423250616,0.97988718889485227,-1.2281058989606777,0.026428742368706563
Little River,1.0186253734592214,-0.51866011732064266,0.02062100459794456,0.98834249116978645,-0.4119678060559977,0.012334450455677057
Lund,1.0109999216575798,-2.8874111119854646,0.052986828942603571,1.0012379037128869,-2.3308534496159155,0.036202081765713712
Twin Islets,1.0127101980350572,-2.6544644344218327,0.048948250264203463,0.99112618145011411,-1.3566053808872311,0.022768513443617105
Campbell River,0.96813896887708706,0.1190939467494232,0.026339449658302976,0.9917330968612309,-0.2976830395330694,0.0082506561016627341
Maude Island E,1.0762692571361236,-11.060186852116544,0.11898634980919176,0.97536743353047717,-3.1167668237166026,0.047926505633193062
Nymphe Cove,0.97555817909999232,-7.047586612887244,0.076167901609088817,0.99313167421322457,-3.9022461089294325,0.052518874594327955
Seymour Narrows,0.59773468667829244,29.617432653071774,0.53347347037418757,1.1401344854338347,10.781871323290943,0.16935266838577856
Brown Bay,0.94972359196519407,-7.725741994414193,0.13146374431271632,1.0344438341076621,-4.1764410471639621,0.055496752478259741
Chatham Point,1.0574672599713046,-8.2373392454614986,0.14312511923757618,1.0508718950311058,-7.9535280173187743,0.098763553630800707
Kelsey Bay,1.0018483878750024,-5.5400737636132362,0.11321131465942329,1.0974185004802464,-5.3888804192524731,0.079932898100712205
Yorke Island,0.99316335352557905,-2.3448819316860749,0.04842317623581064,1.1200727980558489,-3.9937004191873484,0.078630875193232128
Mean Difference,0.043322636949702738,6.5126857844169423,0.085700368393781937,0.023189797708417382,2.7335833107752086,0.042341624172142794
RMS Difference,0.080798471425720372,10.206202257384316,0.12905959061105976,0.031565556313570234,3.6195502629019281,0.053250685729694935
Mean Difference no North no PR,0.034802400040335586,5.9494885088415108,0.062389578470315593,0.019543369693301393,1.8169044488144939,0.031402772236711007
RMS Difference no North no PR,0.048621776671528172,9.9402541276642751,0.081987412427848641,0.024252225322809542,2.1685640810686557,0.035410117613647714
