Station Name,R (M2),Delta phi (M2),D (M2),R (K1),Delta phi (K1),D (K1)
Port Renfrew,1.0059099773748987,14.165313244680334,0.17515949682293736,0.94130548932610281,-0.27715392819661133,0.026673473677858328
Sheringham Point,1.0130475126398184,7.9625313250500085,0.068360792402244838,0.91798178830410826,-0.33020259086146098,0.045047721372977127
Pedder Bay,0.82754173731480762,1.7795826506549588,0.059766998131495871,0.92637345990493725,2.0803379379674993,0.051099517590790809
Esquimalt,0.78380652180205002,6.8867046941273884,0.088423123684183119,0.9276777502124961,2.9043845358349927,0.056106103931141245
Victoria,0.7798671545524305,12.582635923322869,0.10933346917953374,0.9605444365498661,2.4952315339008351,0.036442807705969076
Clover Point,0.73330990769233828,12.989334881781701,0.13283823250516971,0.94928883497402228,2.2417729387466352,0.040728682197548237
Finnerty Cove,0.8019444799469081,18.53894690895055,0.15642151683934169,0.94793200381609377,1.1664543406486132,0.039444874282774565
Fulford Harbour,0.7880440441445441,20.940469679778108,0.22467188112528763,0.93682642177336828,2.4713103782416965,0.057017141460241942
Tumbo Channel,0.97213742879577725,23.18242919913223,0.28836428170790818,0.97349055008405672,3.9595231710903249,0.059319741100913752
Patos Island,0.96688798670731557,22.173621281666158,0.25814029282110434,0.97100021460626063,1.1419148356444566,0.027668813100948264
Whaler Bay,0.92679313086789983,21.14439803600019,0.30088016015486174,0.95125486483998623,2.5947910778671712,0.055714002455788468
Tsawwassen,0.92816900218959209,23.064029830238564,0.31778494423361303,0.95030922766854753,3.1347710784411333,0.060791276190822426
Sandheads,0.94259636021246951,20.947625674628206,0.31077175945188373,0.97108096366500229,2.691173769042507,0.045678141237148959
Point Grey,0.90362096724686181,19.155480948070569,0.3124979171386264,0.9022482554554746,2.7443358458463081,0.097684011476538074
Point Atkinson,0.92933401891089573,21.923242794478927,0.34275162489484851,0.95445964636270642,2.9775520277150349,0.058787109122997817
Gibsons Landing,0.90211445297672932,23.29752491149079,0.37486388154179484,0.94241883307063379,4.3219702630128154,0.081220076031320032
Halfmoon Bay,0.92588899670813485,22.854804789985906,0.37443888582284057,0.94961252419725595,3.3948551118952537,0.067432086949096803
Irvines Landing,0.91756421843717806,22.575004631041544,0.37932931259465508,0.94993732835882516,2.9323307362839159,0.062187256572414348
Powell River,0.91792549198050755,20.948696646640954,0.36039382083427995,0.93671172791890811,3.0924587169140523,0.074180473761595284
Lund,0.92785129035800007,20.841675518041235,0.36367892056915174,0.96053809623399555,1.9015556919054006,0.045462151232887396
Twin Islets,0.93026178352361399,21.130297684224082,0.3651852597692718,0.94424076032417481,2.7712059326979102,0.065921111028110366
Campbell River,0.7235030583206018,17.044138850728679,0.30869133109369784,0.95875664007150219,-0.10970840735745924,0.03492791587471207
Maude Island E,0.69981565441879823,-19.229024351887801,0.22802545961530854,0.9500832347793482,-5.568507463271942,0.086814077385591326
Nymphe Cove,0.75774929511111744,-23.760295126624783,0.26604734565012395,0.94435736616975674,-5.3562241193135947,0.082007827722078097
Seymour Narrows,0.41198536564182792,13.201097503680899,0.5735093500614582,1.1360313712985894,6.2766245459955599,0.1240285085925607
Brown Bay,1.2109111222032081,-18.28025261459635,0.38175496106112883,1.0465887808774732,-11.611881027981781,0.14405439911358969
Chatham Point,1.42148172551847,-15.82074320190759,0.48235766159720361,1.067049197227703,-16.107930602559009,0.19431469776114763
Kelsey Bay,1.4023374268104805,-5.9512594575340358,0.49222293978529608,1.1520604523701417,-17.22388035902901,0.20518059341875999
Yorke Island,1.3956300360552509,-2.4795045108273257,0.4671342130436561,1.1873123827295684,-15.887845523580751,0.19791152388648875
Mean Difference,0.13803162471783456,17.063816099026646,0.29530344255630719,0.046430916328873806,4.4747547755808181,0.076684348835683161
RMS Difference,0.19855322767788011,18.230284224237735,0.32218634076004271,0.050944915816051387,6.4085184364034102,0.090977695662396649
