Station Name,R (M2),Delta phi (M2),D (M2),R (K1),Delta phi (K1),D (K1)
Port Renfrew,1.0066654977870961,-4.0463178686757431,0.050377531652790512,0.940167390336065,-0.50164181347551562,0.027375631943227098
Sheringham Point,0.99954401997686615,-10.650996493254695,0.090380207736857038,0.91907325402111684,-0.43236604301750958,0.044524704481337947
Pedder Bay,0.7748408667490726,-16.190664511915486,0.11453597897658943,0.92730887071066759,1.8863132644028724,0.04972313096088278
Esquimalt,0.73418616816256455,-9.7236488620920909,0.11116639219369964,0.9253921075476178,2.8180729017987005,0.056804710543486341
Victoria,0.73230627058642694,-3.7652899357563001,0.10202855432835699,0.96226098512803848,2.4625709789432335,0.035476916275899099
Clover Point,0.69053131758010267,-3.0845301709046566,0.12601192040316861,0.95239686705289095,2.2006623889349157,0.038897444040207022
Finnerty Cove,0.78976826964685509,4.641577933699466,0.099328187928528655,0.9485963206831417,1.293427843035829,0.039583046142470123
Fulford Harbour,0.79291360686675261,6.6435624536423354,0.13465907945579494,0.93417336511912685,2.6169787575278747,0.05968053933068581
Tumbo Channel,0.9967181030100335,7.6304509218043677,0.096485451746615492,0.97413986314382428,4.1381601778741128,0.061486547400180412
Patos Island,0.98490173571414485,6.8543532215118148,0.081335102594930653,0.97109725062390539,1.2633178838064509,0.028565457317615821
Whaler Bay,0.94929308191646078,5.3261469204225946,0.086545128526287651,0.95028665001840873,2.7855592461485799,0.058172938164511093
Tsawwassen,0.94843051824564917,7.2997726438138777,0.10890848638291827,0.95027644558218083,3.265985109353494,0.062183532715886905
Sandheads,0.96355801370126692,5.035848035482708,0.081365221464599624,0.97047512868848196,2.8703588287737034,0.048131793057341589
Point Grey,0.92414228684623345,3.0246254437158555,0.08624463543305784,0.90112235730894463,2.9084620484402421,0.099653024203013335
Point Atkinson,0.95118772438472776,5.8428385111835048,0.10166914861050892,0.95239657440950953,3.1850824459114619,0.062210418636771792
Gibsons Landing,0.92300376409885621,7.2373505221089758,0.13603863602581603,0.9406321696731369,4.4831862365879829,0.08400494920015196
Halfmoon Bay,0.94787116906923874,6.6038290240058473,0.11922271519803603,0.94747797288163549,3.5722494302247014,0.0706219528245947
Irvines Landing,0.93854029624253443,6.2091509165503354,0.12014993500728931,0.94840882938983806,3.1123552780228465,0.065021712835097625
Powell River,0.93865320128298835,4.4322626795631237,0.097516460939229457,0.93505578764975916,3.2452278872698344,0.076795756351603434
Lund,0.94848721109711231,4.1072202043595567,0.088657797336065589,0.95847726928821941,2.0670225143078369,0.048460390914808138
Twin Islets,0.95116586546397697,4.3121420703286972,0.089292672268816764,0.94227807242370376,2.9289411492281943,0.068808979736823206
Campbell River,0.8615883053554555,-1.3019463266698708,0.11550782494416988,0.95753571299538565,0.19556169245373667,0.036035735778779658
Maude Island E,1.0399652302284361,-25.932974387807917,0.2554172421879698,0.94943439307368316,-5.2055422269945097,0.082660451011635647
Nymphe Cove,1.0506022133246546,-23.162219583896217,0.25500511547231347,0.94105248475019776,-5.1215801521355502,0.080718218237398803
Seymour Narrows,0.61048534598224247,11.844606446169109,0.39880235667819697,1.1389539766914791,6.7263009472669069,0.12943743756615744
Brown Bay,1.3073079037976341,-15.605454459255327,0.40843645818998631,1.0435745974586186,-11.149788527719977,0.13797856885472196
Chatham Point,1.4894777889669168,-13.073953939958415,0.50825851458191873,1.0627171916448221,-15.771928916995478,0.18949455190187098
Kelsey Bay,1.4008406225744907,-4.1898466327271535,0.47978683710487019,1.1477140665931898,-17.074767777461659,0.20235874392139114
Yorke Island,1.3912624396504425,-0.69739931774176966,0.45847665983345903,1.1829523137215754,-15.711778922861356,0.19479793825863967
Mean Difference,0.1173711668470894,7.8783096703109585,0.17246931907596008,0.046741144175675015,4.5170755652060368,0.077229835262316943
RMS Difference,0.18144806057430846,9.8340239209038725,0.21899737211968087,0.051213253165083399,6.3554877346643321,0.09074241737837821
