Station Name,R (M2),Delta phi (M2),D (M2),R (K1),Delta phi (K1),D (K1)
Port Renfrew,0.82479034096919945,-5.6067582688898767,0.13908229227953051,0.93438255275615556,1.4422811396170516,0.031702546100220691
Sheringham Point,0.79839735935771372,-12.141521190908065,0.13457618166245744,0.9203151163662554,1.2491371181502586,0.045146341776083815
Pedder Bay,0.59734100739222751,-14.059934258871408,0.15215133341027573,0.93619321167850567,2.68658568188755,0.049087695295760445
Esquimalt,0.57500586255624075,-6.4614540305808532,0.15909572090695037,0.93424898552321245,3.9401413894299822,0.060111422970819235
Victoria,0.58005528243426741,-0.051027084596057648,0.15663958397256156,0.97094360511793587,3.4195084043137172,0.041123049077757837
Clover Point,0.55144103751016083,0.82065280377292993,0.1808200731227545,0.96080841118543814,3.0350389178177011,0.041761354138703792
Finnerty Cove,0.67745313490004033,7.3367804970748693,0.15167042945601888,0.96209527291344543,1.6150250363321561,0.033216719830587278
Fulford Harbour,0.68787936065141464,8.0269536443997147,0.19381413219006094,0.94799836012007743,2.7579444213605484,0.052711383696193527
Tumbo Channel,0.85546508647694364,6.8549336653233013,0.13212576835113254,0.99169295326572782,3.5135449549700866,0.04997432628717742
Patos Island,0.85031074272415719,6.4330624060479522,0.12374310085640323,0.98949805241469313,0.65288336092481813,0.012207253627965984
Whaler Bay,0.81373179789774586,4.376746963770735,0.16563215394581202,0.96766336016384913,1.9966780764306122,0.039914233961972509
Tsawwassen,0.8147962033394075,6.6679696949739302,0.17265630032822815,0.96826929290086394,2.6419989474508725,0.046174404932471998
Sandheads,0.82375272335293603,4.2909231755203123,0.16414915837519811,0.9868126418725256,2.1490493649415043,0.033080461014592576
Point Grey,0.79050901136846818,2.2558263293820815,0.2007134216494191,0.91801142439455852,2.0420870177430857,0.080466596686462333
Point Atkinson,0.81380422990840506,5.0924747090672788,0.18609259616634571,0.97180948310899362,2.5220235158988089,0.044602407703707797
Gibsons Landing,0.78883108809882063,6.4903223862811714,0.22149195479477618,0.95812921906796167,3.710043502776216,0.066232303411313601
Halfmoon Bay,0.80970387376844832,5.8158259276544868,0.20346589625402708,0.96518387319523102,2.841456278473629,0.052693489848983387
Irvines Landing,0.79997045840324343,5.4327105702849181,0.21464543123908961,0.96636114692354924,2.3620981914137928,0.046346701970897741
Powell River,0.79851891414548193,3.6106008220810537,0.21066429915151227,0.95235762724011597,2.502763177009399,0.057790080259907728
Lund,0.80481251612685278,3.2524117076236294,0.20615744812652942,0.97647030420107128,1.3221061636592708,0.029128222768053016
Twin Islets,0.8064755771815072,3.4283068660404084,0.20345476459581177,0.959821696334207,2.1851340042690595,0.04959804391719614
Campbell River,0.72976628954696077,-7.1202218115459104,0.23950846225834582,0.97285426248842333,-0.23537943507949421,0.023219729898147388
Maude Island E,0.97948345067339981,-36.51216484998298,0.34494693551349337,0.9616166012783206,-5.4124781669941626,0.081294913239821048
Nymphe Cove,1.0383113564475914,-32.089974777999089,0.34721354947522537,0.9586645147038545,-5.4657011516600846,0.078622838066184031
Seymour Narrows,0.59547579346079393,1.5074547909893568,0.38316154298885086,1.1451518464059511,6.76835701936335,0.13316417958241775
Brown Bay,1.3181993868836746,-18.442601632746118,0.45484988843986845,1.0536078478688213,-11.080087799309922,0.13940736346303828
Chatham Point,1.5100556557218363,-15.140704728911771,0.54554424926461109,1.0733965984598872,-15.666014038092669,0.19082454182887007
Kelsey Bay,1.4228370989262742,-4.6513222079062189,0.50751983580307558,1.1510957297495061,-16.720189813735544,0.20001509036392856
Yorke Island,1.4138903992556779,-1.1213897871832046,0.48543119861327766,1.1862770944631553,-15.341440022142166,0.19268540861493252
Mean Difference,0.19900052052323894,8.106656261738264,0.24072474838591876,0.038017544671921664,4.3888681417671558,0.069044934632212701
RMS Difference,0.23107464372972675,11.57824186304514,0.26921624781458825,0.044945925246872034,6.2277063154785868,0.085564507466175138
