Station Name,R (M2),Delta phi (M2),D (M2),R (K1),Delta phi (K1),D (K1)
Port Renfrew,1.1553122254510944,-9.3966464256119764,0.16623154647005156,1.0291718057020927,-4.9335645689890271,0.041707939888156777
Sheringham Point,1.1946655589395723,-16.464549857031216,0.17950990342733525,0.99960072224687835,-4.4398818433716656,0.042446288720610729
Pedder Bay,0.9567695670162254,-27.385203149033657,0.15906168032818471,0.99421634743129983,-2.4114959095209088,0.026559876405615444
Esquimalt,0.9074198385248502,-23.087672539849734,0.14398802269584104,0.9949206545712419,-1.0432255190227124,0.012125755999790669
Victoria,0.88960644496826957,-17.7692707100706,0.11621046832079419,1.0396407797352412,-1.8282786632003649,0.032154033930449674
Clover Point,0.82720228951062469,-17.949703680809762,0.13389258457092762,1.0289482902187341,-2.2243958037433913,0.031377109459905364
Finnerty Cove,0.83362292079762501,-8.2417305352138897,0.094718132352464679,1.0247203741963125,-2.1840803920392204,0.032444061834886941
Fulford Harbour,0.82137955711966992,-3.0807045372330997,0.10775543472561828,1.000747044366284,-0.62638677078012961,0.0082544043812330953
Tumbo Channel,1.0491740117562829,2.026867733167478,0.044344941125831296,1.0395069810388191,0.65934039759071084,0.033423218394202786
Patos Island,1.0338837281774353,0.25812028252300934,0.023250533016139913,1.0418380783044507,-1.4970303432669425,0.039195659732702427
Whaler Bay,1.0005052919234294,-0.75703852106536118,0.011030244055345018,1.0112002012078893,-0.47720745116248509,0.011845610732592524
Tsawwassen,0.9992363136875072,0.92465056347527863,0.013097588934017365,1.0126401840828965,0.19352447827247943,0.010916384463924282
Sandheads,1.0232999534706182,-1.0449983917741505,0.025826672859201889,1.036145302983615,-0.58764094673767886,0.031490284890939808
Point Grey,0.97662918237974594,-3.3098368123428585,0.058287338128875009,0.96170172744766969,-0.68115712108453863,0.036270316491748542
Point Atkinson,1.0079357425408109,-0.48345565085885411,0.010655865847626816,1.0045586220857827,-0.56383521993842578,0.0093662035060176167
Gibsons Landing,0.97896934874535824,0.74588569267134375,0.023354532082319295,1.0022894843615546,0.9561438165906111,0.014704449993709493
Winchelsea,1.0075593816218849,-0.18663520471680073,0.0078408686203998799,1.0118428785654414,0.51174322168782282,0.013006972482385941
Halfmoon Bay,1.0081556312626923,-0.14675333424440851,0.0082436502420205268,1.0077500040007317,0.15370950145364759,0.0072200453781180963
Irvines Landing,1.0021134002805931,-0.31628037102816364,0.0058453089367032909,1.0119576431757971,0.24242523573866492,0.011169472151795012
Powell River,1.0034635928857991,-1.7178978086749765,0.030444414048475518,0.9952263233685531,-0.012689552957851902,0.0043200234652021816
Little River,1.0254679776862998,0.072541939658869126,0.025347228241617014,1.0057081252083391,0.32672993655211258,0.0072881868838171457
Lund,1.0200379976119998,-2.5181707701123273,0.049769882930024566,1.0218911233289656,-0.94761687840542663,0.02448775736987676
Twin Islets,1.0206971955658861,-2.0500411618472967,0.04219406204844884,1.0067453408956075,-0.23603777648952473,0.0071516331462480928
Campbell River,0.98958002128212674,0.51028550534122274,0.011283776044419623,1.0009621056299571,0.93256343254375906,0.013800246259324186
Maude Island E,1.130251617551604,-10.02459084501271,0.12614742351330699,0.9745931042329532,-1.453415554647961,0.028931302471263815
Nymphe Cove,1.0213654250990596,-5.42845157358704,0.060313612325912105,0.97418284850474257,-0.28373028434685921,0.020232323092315426
Seymour Narrows,0.63372908235962477,31.306907020349399,0.53405124058145015,1.1456272602504634,10.865005318443593,0.17269562994578097
Brown Bay,0.98132755515079795,-5.6253050826900903,0.09256219194059917,0.9828236747486786,-0.041640005239628408,0.011672980667998229
Chatham Point,1.090410028445997,-5.4836192670840092,0.1216685388071102,0.97876658922902171,-3.1708828972398351,0.03840174656824983
Kelsey Bay,1.0043257811924968,-1.6912265106191171,0.034976913049499132,0.98405858364159138,-0.38907252792279223,0.0099856962645291907
Yorke Island,0.99411274945670058,1.5933767066271685,0.033191908436703978,1.0116370526087812,1.2358547762706849,0.01373712126387993
Mean Difference,0.042292910297253343,6.5031747801395436,0.080486984151847227,0.015608719223205661,1.4874292304919825,0.025754281814105516
RMS Difference,0.076771426011266727,10.727229927538197,0.12725435639997643,0.024152895126679643,2.5630283238489548,0.039055580465021458
Mean Difference no North no PR,0.030666124672672226,6.6261713355676122,0.063018851806216913,0.013507078396329988,1.1207469572715922,0.021488956442938457
RMS Difference no North no PR,0.043846003512231835,10.98078388472848,0.085497301700070166,0.017823279491459898,1.5457267919908124,0.024796066630525228
