Station Name,M2(Amp),M2(Pha),M2(D),K1(Amp),K1(Pha),K1(D),O1(Amp),O1(Pha),O1(D),S2(Amp),S2(Pha),S2(D),P1(Amp),P1(Pha),P1(D),N2(Amp),N2(Pha),N2(D),Q1(Amp),Q1(Pha),Q1(D),K2(Amp),K2(Pha),K2(D)
Port Renfrew,0.81796594981353787,231.70087338077767,0.16625968635164406,0.46620238668937491,249.16405591522613,0.04172158641576177,0.30809645619311804,231.34238493946935,0.030777640021286919,0.23748068761168759,258.55901264087737,0.047901478414693451,0.15179146326633694,239.31461458509872,0.030804460794592075,0.15646186428551823,210.22959058091885,0.019624657485294243,0.050599093193039693,-134.44559579587772,0.00036389568511003873,0.029755608912850583,229.3839332184973,0.029505427405988102
Sheringham Point,0.58179663165988404,246.8346272505064,0.17951281490594123,0.54775592624668346,257.05973209735021,0.042449136254617534,0.35094945749445727,237.79475997143294,--,0.17682503355802021,272.26952282901078,--,0.17497989892898863,247.74759179014998,--,0.11545779510866289,227.8465655005773,--,0.057137224970373685,230.96945331380172,--,0.013808242674987578,231.16892519548628,--
Pedder Bay,0.32721527983734328,280.61345724675436,0.15906925953293855,0.62336982624343718,266.58707764365994,0.026575734059609526,0.38624399077066796,246.17800050930958,--,0.099334360823949738,-63.437194332352668,--,0.19080868944747092,258.36160014703029,--,0.072804388257764349,623.74227610011576,--,0.060895047113552724,239.80868928122874,--,0.009891740278470746,23.18645232456722,--
Esquimalt,0.33301854629278987,294.01113561226316,0.14399509090312343,0.63973158805461383,267.05565730516582,0.012138422416571292,0.39135407448201454,245.72471248130191,--,0.098830725688427851,-52.238616570672818,--,0.19673485230639037,258.87429087272892,--,0.076631805414257417,-84.623244020967718,--,0.061438671858199748,240.11539150625455,--,0.0098310885132304269,61.947265816739616,--
Victoria,0.33182009758572201,298.32945634086707,0.11621831470094526,0.65184922440835646,267.3703139483444,0.03215965818925174,0.39908423869967213,247.13195395730239,0.02942731229709487,0.097021395604298968,-49.016273338406783,0.037977749809660455,0.19906902848079444,259.22930100716206,0.018670984134441956,0.077398872606922783,278.7907602434355,0.023615521817437632,0.062776583144735554,240.88480804506787,0.0055653837602476115,0.012671660939535293,50.204415976669054,0.019318257355236512
Clover Point,0.33335988978569214,302.34910604358527,0.13389999207757569,0.66057847399548664,267.57406182793716,0.031387389318179457,0.40419080182258554,247.57842719781564,--,0.096874809858471231,-45.714453989150179,--,0.20119497788026899,259.47510158024284,--,0.078558206041220977,281.84145786162912,--,0.063581424230477482,241.06400700774992,--,0.014804227829246298,48.460361448543388,--
Finnerty Cove,0.37262690513061936,349.45735869033183,0.094724010452139434,0.72550375684688451,275.3147133634908,0.032457726809985273,0.42686265553539804,253.90650925888218,--,0.086783990702400102,4.1540294011613605,--,0.22211299055107564,268.3293836789137,--,0.085635625471199642,322.09675524018422,--,0.067890866484817694,248.17861947006136,--,0.024390358736368099,61.402029739804618,--
Fulford Harbour,0.47803724001914821,9.6187167682703034,0.10776225471777347,0.75355773256988012,279.37270299241624,0.0082659926571644893,0.43773975133653237,256.77704872526061,0.010949970603131106,0.10959887278347465,30.634006487411863,0.032623226594792373,0.23000659702914353,273.9324836284909,0.016158127248288766,0.10559317923405853,339.89775073764002,0.014411387334482495,0.069784504741317685,251.64236459159903,0.00022160519310324652,0.029816666704346757,63.911231857944841,0.016850458078205587
Tumbo Channel,0.76169885554259253,33.026761185393298,0.044342916748576933,0.84304869161948126,287.55876409635982,0.033429043022887996,0.47528266668543345,264.81758183974279,--,0.18018685558246872,61.814061124488255,--,0.25288951795555675,283.34945415721785,--,0.15291017617025127,4.2622171336299743,--,0.075384420394256219,259.96188824548113,--,0.049423111729428808,66.293161315667263,--
Patos Island,0.70303608264417961,25.25761537536448,0.023244907145237009,0.82304770052036202,284.10168038262879,0.039201691003775914,0.46956554194606503,261.64874182336928,0.015013590259140751,0.16619709513656453,52.931293463346222,0.0054923720890649314,0.2510120203856277,279.31714164992349,0.023634622853662576,0.1439285476418852,356.57165639029631,0.0060101540489827139,0.074128694002028594,256.85542427580197,0.0062059543502302403,0.043246801344213333,52.116131972659105,0.0077057879782731608
Whaler Bay,0.83441811463548532,32.142427075739192,0.011037871732292792,0.8564923283826591,287.02142153805926,0.011862448511332828,0.48137941992357702,264.57617917915172,--,0.20645459025881932,61.993979975021006,--,0.25745701276611466,283.47461075359877,--,0.16954307545173253,3.3884458578725685,--,0.077221142433449338,259.8509925941969,--,0.053712127631938354,54.59475024240119,--
Tsawwassen,0.81038178372584047,28.724244493671563,0.013091805549938707,0.84454355069955411,284.99250055965047,0.010914081758745673,0.47855261388965464,262.54102320262405,0.0089843567094217511,0.1919475290585701,55.799489352788761,0.0085039312873203092,0.25574788857640474,281.14093531062588,0.0073163582509977003,0.16455569893698913,0.021988295523669876,0.0074626286240456006,0.075666240337823445,258.19390134402204,0.0066774077671710955,0.049209847618881329,64.668007999009006,0.0083298318670493379
Sandheads,0.88924863927669251,29.854819687552208,0.025829179083872469,0.86725095546444986,285.91139251534031,0.0314917141320789,0.48629319875241583,263.24470957502029,--,0.2137568074714046,57.535760212844615,--,0.26248457299066669,281.87941976909633,--,0.18023531874755006,1.4516276585119385,--,0.077669802076658245,258.43579188482079,--,0.049049383694569439,64.350162231895538,--
