Site,Lat,Lon,O1 amp,O1 phase (deg UT),P1 amp,P1 phase (deg UT),Q1 amp,Q1 phase (deg UT),S2 amp,S2 phase (deg UT),N2 amp,N2 phase (deg UT),K2 amp,K2 phase (deg UT)
Neah Bay,48.384999999999998,-124.616,30.899999999999999,231.5,15.5,244.59999999999999,5.5,222.09999999999999,22.800000000000001,272.60000000000002,16.600000000000001,222.80000000000001,6.0,266.39999999999998
Port Renfrew,48.536999999999999,-124.476,28.300000000000001,234.80000000000001,14.07,250.59999999999999,5.04,225.90000000000001,21.039999999999999,268.69999999999999,15.15,217.30000000000001,4.9199999999999999,263.10000000000002
Port Angeles,48.128999999999998,-123.40000000000001,39.100000000000001,241.59999999999999,20.699999999999999,259.39999999999998,6.5999999999999996,232.80000000000001,14.6,326.39999999999998,11.6,280.10000000000002,2.7000000000000002,332.69999999999999
Victoria,48.4130000000000003,-123.399,37.0,247.80000000000001,19.699999999999999,264.60000000000002,6.0999999999999996,236.0,10.199999999999999,332.80000000000001,9.0999999999999996,292.0,2.0,341.89999999999998
Port Townsend,48.1120000000000001,-122.758,45.0,249.90000000000001,23.899999999999999,268.39999999999998,7.4000000000000004,243.59999999999999,16.800000000000001,13.0,14.199999999999999,321.80000000000001,5.0,18.300000000000001
Bangor,47.747999999999998,-122.727,46.600000000000001,251.90000000000001,26.0,273.89999999999998,8.0,247.19999999999999,25.699999999999999,29.5,20.800000000000001,333.5,7.2999999999999998,28.5
Seattle,47.6050000000000004,-122.33799999999999,45.799999999999997,255.40000000000001,25.199999999999999,274.5,7.5,250.59999999999999,25.800000000000001,37.899999999999999,21.199999999999999,340.19999999999999,7.2000000000000002,36.5
Tacoma,47.267000000000003,-122.413,45.899999999999999,255.09999999999999,25.5,277.19999999999999,7.5999999999999996,250.59999999999999,28.199999999999999,37.799999999999997,22.5,341.19999999999999,8.1999999999999993,39.600000000000001
Cherry Point,48.863,-122.758,45.600000000000001,260.0,25.600000000000001,281.39999999999998,7.5999999999999996,253.19999999999999,17.899999999999999,50.299999999999997,15.4,354.5,5.0,50.5
Friday Harbor,48.539999999999999,-123.01000000000001,42.299999999999997,256.39999999999998,23.600000000000001,274.89999999999998,6.7999999999999998,244.0,13.300000000000001,34.899999999999999,12.199999999999999,341.30000000000001,3.5,40.600000000000001
Hanbury Point,48.579999999999998,-123.172,43.600000000000001,253.59999999999999,23.399999999999999,271.39999999999998,7.5,247.0,12.699999999999999,18.0,11.300000000000001,324.89999999999998,3.7999999999999998,37.899999999999999
Sidney,48.658000000000001,-123.383,44.399999999999999,255.80000000000001,24.199999999999999,275.19999999999999,7.5,247.0,13.199999999999999,26.800000000000001,12.0,334.60000000000002,3.7999999999999998,37.899999999999999
Fulford Harbour,48.765000000000001,-123.453,43.0,257.80000000000001,23.399999999999999,277.80000000000001,7.0,251.59999999999999,13.9,37.200000000000003,11.9,342.60000000000002,3.8999999999999999,40.0
Patos Island,48.783000000000001,-122.967,45.5,262.10000000000002,24.5,284.60000000000002,7.7999999999999998,253.19999999999999,16.699999999999999,54.799999999999997,14.300000000000001,354.19999999999999,4.9000000000000004,58.5
Tsawwassen,48.991,-123.137,47.200000000000003,261.80000000000001,25.899999999999999,282.60000000000002,6.9000000000000004,258.5,20.0,55.0,17.199999999999999,0.20000000000000001,5.5999999999999996,59.399999999999999
