Station Name,R (M2),Delta phi (M2),D (M2),R (K1),Delta phi (K1),D (K1)
Brown Bay,0.79776874904725359,-9.0293808241700049,0.23030132209233858,1.0568990261034059,-2.8279360765008619,0.05176314597261001
Campbell River,0.9000368558782581,13.288494063025929,0.19901064467612048,1.0057807743828817,0.10720246891492025,0.0051417291360132105
Chatham Point,0.92766606623122561,-12.860744667348911,0.20547011473189614,1.060060274781959,-6.7427377799356236,0.088402259638387659
Clover Point,0.59226993572737874,9.292866495201622,0.17182641637652993,0.98073881812795882,3.7444814214832718,0.04334484358012073
Esquimalt,0.60504051071790022,0.85663609773098415,0.14501295478296602,0.95447689423520043,4.6503631648627106,0.058779599074885197
Finnerty Cove,0.81212924828534705,14.208055540354223,0.13030652191932113,0.97735200470869255,0.92001119600337233,0.019581305156121272
Fulford Harbour,0.83942370986028536,13.379616952128618,0.15546219346614101,0.96327619911933893,1.5336549303776223,0.034000046890198844
Gibsons Landing,0.96742255472024996,10.26054608906329,0.16941370065671629,0.96800340094718962,1.61159152506184,0.036888569123796761
Halfmoon Bay,0.99490265668304378,9.6941358008779162,0.16256765359251296,0.97473948232708296,0.76846069143169871,0.025098263194947783
Irvines Landing,0.98534663034649184,9.3373908606094815,0.16030682546193717,0.97604666587926581,0.26584289116334503,0.021461440401014897
Kelsey Bay,1.0366647354752585,-11.389371812597972,0.24027104342018354,1.0993903470837403,-7.0786971237024829,0.094172927030848758
Lund,0.99563915609944476,7.2870603250880563,0.12968670908085295,0.98614427813923078,-0.77567316398705088,0.017162941591573042
Maude Island E,0.76318095397854402,17.25593574827608,0.19640734703848492,1.028397069388457,0.94691529371129946,0.026741833851041338
Nymphe Cove,0.63400969446116162,11.247334698420957,0.24469120742510672,0.99414931217091274,0.56224562250912413,0.0087780704198995273
Patos Island,1.0388938235462337,10.429068332718259,0.12873080722661751,0.99845533416599785,-1.0775741065834836,0.014896069440958722
Pedder Bay,0.60132403161989489,-9.1361339256856127,0.14274126275077501,0.95560405493617639,3.8863278072979597,0.050026035502540943
Point Atkinson,0.99948395004813761,8.9305537547015099,0.14290552507889021,0.98409805099121828,0.64114301148310915,0.016716952959521737
Point Grey,0.97366368902067624,6.2175471969248761,0.1041563586922236,0.92821241921277176,-0.29934611770727315,0.065199233314784388
Port Renfrew,0.96512424133293662,-5.5504381705679577,0.071736882868752808,0.93412452824679282,5.813414875405357,0.053499939958413928
Powell River,0.98540283543272511,7.5718999971207523,0.13282456688732897,0.96222082701357947,0.41053659847744939,0.034738385430521143
Sandheads,1.013017094975313,7.888541156440148,0.12085645392699851,0.99566057832349353,0.0017699813523108787,0.0036321875782727893
Seymour Narrows,0.37170603818831416,75.72875806476651,0.92442398166569728,1.2540586080234468,17.945854070644771,0.29890106203075578
Sheringham Point,0.89219367540080874,-12.063637113618569,0.11001078908567302,0.93384732360422584,4.2795947718706771,0.053647305386531785
Tsawwassen,0.99996419330126307,10.419631488975607,0.14728014154951358,0.97672084788912317,0.53788034038529986,0.020899932778285467
Tumbo Channel,1.0513570161710581,10.888305980769132,0.14609043392564805,1.00377191008254,1.361795378715442,0.019552339400130014
Twin Islets,0.99767548246081794,7.5091723474465439,0.13253519587590909,0.96940707476653065,0.07912067583362159,0.027683303236854646
Victoria,0.61400828317306932,8.1683482945172159,0.14987360515078116,0.99199128674514103,4.2569694405103746,0.046658337369038905
Whaler Bay,1.0002206089309298,8.3602657479214955,0.12159803487901269,0.97930062020819786,-0.046585222093881384,0.017545615025736195
Yorke Island,1.0338590522749618,-8.3347558095323393,0.17753530649122454,1.1328298706079196,-5.7832056355651673,0.095310796353242203
Mean Difference,0.082314787667338102,11.951194046779332,0.18255289657848811,0.030028692075967686,2.7226528063300481,0.046559464511277508
RMS Difference,0.14169548716946931,17.236695642810364,0.2335653018150787,0.044436620648761235,4.5193736319113267,0.071078408481486013
