Station Name,R (M2),Delta phi (M2),D (M2),R (K1),Delta phi (K1),D (K1)
Brown Bay,0.99187275572428624,-14.437550711399467,0.23414760358559805,1.0852608734865175,-4.3353860123228287,0.078834410895895948
Campbell River,0.80109215466309258,9.7652461901574057,0.20670891879368275,1.0784118712353572,2.7565597415562593,0.078655757126579129
Chatham Point,1.1312771705916844,-13.481071850266858,0.25472585242333184,1.0932219916367345,-8.0988145857031668,0.11420997306221105
Clover Point,0.72809539370401588,-2.6911581849656727,0.11076130802754143,1.0773828042005884,1.9426865561118234,0.054575956521525006
Esquimalt,0.78481605717356928,-8.6764363092735834,0.093037924813451259,1.0484616595559548,2.6553589435309277,0.043610635750882698
Finnerty Cove,0.7661006782569415,4.9273970049578679,0.10983053797778079,1.076472911565209,1.3781774430724454,0.056952886675711523
Fulford Harbour,0.75629639977091312,8.7311360048118338,0.16141459498383895,1.0612975291333568,2.7758369441910986,0.059520040181866123
Gibsons Landing,0.88514106276398796,11.667962964159436,0.21127568544894629,1.0724512398035349,4.8856429428683441,0.099585010929277046
Halfmoon Bay,0.90977978756628342,11.15090552488607,0.1987120375393723,1.0805671023162791,4.0315842070249914,0.095749913286030608
Irvines Landing,0.90231886330439204,10.779083550101497,0.2009878831056697,1.0814460148559983,3.5755172636457928,0.091636660762571501
Kelsey Bay,1.1142799420214089,-7.286203976888487,0.20618409664784565,1.1259861182414781,-7.9940720497186248,0.11211649927916897
Lund,0.9155180651360274,8.8099452901869668,0.17325871261899145,1.0937454324792801,2.6147987331766558,0.093517468599611631
Maude Island E,0.83305424684871443,-12.452522923372442,0.14398795512521531,1.0529563819245658,-1.3070522536546036,0.046956251115846087
Nymphe Cove,0.80542511059443556,-13.443179686158317,0.17610399388964096,1.04888475175163,-1.2445102537153616,0.041355209795342171
Patos Island,0.94043733023236509,10.869383499781406,0.13131453722307504,1.1079095826737357,1.7626684141779378,0.089003842556766216
Pedder Bay,0.83381713177013894,-13.818796355939241,0.094211406061767811,1.0482536916077494,1.6433242270340997,0.035416776628354553
Point Atkinson,0.91226647322355991,10.28612284724095,0.17662971249281953,1.0864356304969058,3.6175132009245203,0.093639500659890768
Point Grey,0.88615144410810942,7.4806428012848087,0.15825783857014977,1.027150470782926,3.2666218564385758,0.057835267660446485
Port Renfrew,1.0107984513990216,1.7026528258801079,0.02249135515513229,1.0677510467634617,-1.357121461624871,0.032632433144201133
Powell River,0.90395524862637489,9.0545539236081964,0.17944126090028317,1.0668799923418748,3.7690560558149855,0.08617927178897189
Sandheads,0.9244011471432747,9.3872422454044013,0.15169816898183736,1.105805877752567,3.2627661322439394,0.10175619183804017
Seymour Narrows,0.4821006267817754,23.07663311517166,0.55595009825542019,1.2332216709929258,9.934537652020083,0.20918029166123375
Sheringham Point,1.0280697103024217,-5.05662872847671,0.045659355880768498,1.039641172997676,-0.69998027264978191,0.022770645646794308
Tsawwassen,0.90771200637012917,11.543889424185476,0.17249727571844969,1.082835528909126,3.7312280777528599,0.089250869524853393
Tumbo Channel,0.94920936723902372,11.971877738695355,0.15206396338699749,1.1086399256739248,4.6533875266629821,0.1121159163462609
Twin Islets,0.91825281092112543,9.0929547266995101,0.17475796039534586,1.0750552441297754,3.4582178691007925,0.088335785959458374
Victoria,0.7782913874791898,-2.9269348693557049,0.084388172156370123,1.089006970750048,2.2296246876679788,0.061340791726188552
Whaler Bay,0.907939342298962,9.6913225047223719,0.15466060292357198,1.0826869497959819,3.2351282782472026,0.085910918814139856
Yorke Island,1.1085483140539782,-3.9540827728978911,0.15294999204403426,1.1625050334895806,-6.5570739261168001,0.11383297338085922
Mean Difference,0.09966225176575956,9.5935696052044719,0.16855547603885968,0.063024244269184543,3.543939571336908,0.080913039700654443
RMS Difference,0.12957487502883958,10.489900450407337,0.19094824386935402,0.068555313153743136,4.1553142131215566,0.088410478166388182
