Station Name,R (M2),Delta phi (M2),D (M2),R (K1),Delta phi (K1),D (K1)
Port Renfrew,0.96928067230581072,-15.184296822445816,0.18546642955293577,0.95522174349538136,5.6802112404448906,0.048336874485299532
Sheringham Point,0.88994745104869688,-22.176983279399877,0.18466491786697573,0.95613261109013137,4.1627276705859799,0.045747585468831203
Pedder Bay,0.57265256666235431,-19.266500548227157,0.16989166235618072,0.97761470621184821,3.7805459643700488,0.043239595953294532
Esquimalt,0.57824817479273538,-8.0037294707607884,0.15960914984358415,0.97471135746127502,4.5638350300966408,0.053103187930645321
Victoria,0.58815181265497951,-0.46702114107802117,0.15363706810358202,1.0156777966383101,4.1998245975781856,0.047339910032452075
Clover Point,0.56864852271542798,0.81906466577703441,0.17388892081703264,1.0044311812772413,3.6616540498710606,0.04121099662356878
Finnerty Cove,0.8047684336276163,6.8302964336789387,0.099490023318333315,0.99960196814485791,0.95369731909170241,0.011785660072559212
Fulford Harbour,0.83997481970329224,5.7174021670755799,0.10726057275301162,0.98377334130271832,1.5788902293394926,0.023934434480984271
Tumbo Channel,1.0619791956111797,2.670638293840625,0.056926391441625986,1.0265103764853982,1.4103610447895107,0.029518081679624861
Patos Island,1.0454482355685413,2.3618894789041178,0.042148133270077458,1.0213983101728688,-1.0671625049585032,0.022514444675541593
Whaler Bay,1.0097020546537689,0.033443867000848115,0.0081062861837935818,1.0007091731498885,0.015618236284581144,0.00064354409343158822
Tsawwassen,1.007921773472217,2.0863392355790431,0.030334574698265337,0.99873764917543806,0.58528100491969326,0.0085788067705135015
Sandheads,1.0218283858002082,-0.50548649416341362,0.020490933856517686,1.0177104661920227,0.052000932987482429,0.014843456173242637
Point Grey,0.98242157021675192,-2.2894619586195617,0.040946085264569825,0.94815193291809907,-0.25733006289459581,0.047141153453157288
Point Atkinson,1.0087494179965579,0.46242113594194123,0.01094921281336878,1.0053681992336545,0.69404398227732145,0.011446657821993649
Gibsons Landing,0.97638588813830385,1.8019735882777681,0.036961098876235686,0.98867317637073304,1.6611310783168278,0.027007601550880132
Halfmoon Bay,1.0046663696583225,1.1326457539985313,0.019623387609591817,0.99545094964735459,0.83221504565648274,0.013366239679051132
Irvines Landing,0.99473851522368606,0.72322550482679304,0.013480842769633846,0.99702112591725722,0.32906047047885068,0.0056867041066035948
Powell River,0.99498708238393885,-1.1152532918298874,0.020192753539499661,0.98279988626093606,0.4636867101572193,0.017157230081922221
Lund,1.0054710299087097,-1.5076247474937858,0.027538202988013578,1.0070870859028145,-0.70963566270040701,0.012719600513385693
Twin Islets,1.0077349993526068,-1.3280371213716293,0.024838339311501013,0.99005396419420033,0.13890477225032782,0.0092518833079352943
Campbell River,0.95090418244183483,3.4514391513163005,0.063153923385753347,1.0246675550677533,0.40865548362091886,0.021744237709232266
Maude Island E,0.88440265928866035,4.0191875059003674,0.073997908175491942,1.0479866155826267,1.2927688416631895,0.04319071476664231
Nymphe Cove,0.78296166874915241,1.9720865313733498,0.13478622168387167,1.0109707238853869,0.97948775096961072,0.015701290879495632
Seymour Narrows,0.42887417548627055,58.014448623048338,0.80802972715692267,1.2793883652547626,18.662921483754076,0.31907472303128065
Brown Bay,0.86923766400305735,-7.7640953275918037,0.16994361539383798,1.0677180919681339,-2.1967745579545976,0.053270670520822669
Chatham Point,0.98204230932650116,-10.622516632260272,0.16645852005795289,1.068781125703431,-6.2178155648756501,0.086033710747681208
Kelsey Bay,1.037013142662448,-9.7331846915078017,0.20674298113510506,1.1017281982927647,-6.5754112796128368,0.090944723624720961
Yorke Island,1.0321122601499741,-6.6611866094772267,0.1432541969263417,1.1351727102860929,-5.2391448384572925,0.09296455424892977
Mean Difference,0.071263084556169309,6.8524786231988477,0.11561420969481404,0.025526826519984166,2.7024412900330335,0.043362009464955983
RMS Difference,0.12556355028940155,13.105455566492115,0.18665979162890048,0.044743526443070419,4.5210479753120776,0.072116879281577659
Mean Difference no North,0.053043335538423733,4.7577848939459759,0.078080332396141455,0.012231483316362635,1.8329456418899739,0.026266088282349144
RMS Difference no North,0.078473597746520241,7.9662265787125062,0.10232310172696027,0.01628495582790427,2.5245105306213138,0.030977824927146833
