Station Name,R (M2),Delta phi (M2),D (M2),R (K1),Delta phi (K1),D (K1)
Brown Bay,0.9157396136041821,-12.601422837259236,0.21160288431248442,1.0888185312552097,-0.51597725638134762,0.06064436742736954
Campbell River,0.83672883519215713,11.015970951976307,0.19781544805834181,1.1029543630053016,6.5562514191611854,0.13383313841355785
Chatham Point,1.0536288506765517,-13.237359962622861,0.21908930357745901,1.087650836217759,-4.8655228757617692,0.081478366481685327
Clover Point,0.67534175690794118,1.2228508731508327,0.13102805552328475,1.1068337093156104,7.4326236786724849,0.1112225174249729
Esquimalt,0.71688049267533815,-5.5754024918513778,0.10821179679476528,1.0743838417002025,8.2662352931752707,0.10731971593341436
Finnerty Cove,0.78300362700824933,8.5980037881266185,0.11368824126737044,1.1043278423090062,6.1012991223218478,0.10829195645113984
Fulford Harbour,0.78671564039465247,10.584073038308521,0.15644856821656183,1.0875825303584532,7.1607825725255907,0.11819085202166679
Gibsons Landing,0.91515814978329835,11.110811425509517,0.19293020020623308,1.097297940044901,8.381901161447729,0.15818719558199582
Halfmoon Bay,0.94077295439326891,10.578956151348734,0.18160278577663005,1.1048583717989202,7.5472972894999657,0.15277203325572036
Irvines Landing,0.93234056112322838,10.206602910208154,0.18240850072606715,1.1060469689053329,7.0863382668011354,0.14762849502034184
Kelsey Bay,1.084549405452941,-8.6722304247485908,0.20912495692913796,1.1061455163163041,-5.8380021613173483,0.087012288104746024
Lund,0.94443506483631834,8.2219970560927109,0.15330818625451961,1.1176088498191363,6.1122641052716631,0.14482424372915403
Maude Island E,0.794681350631262,-3.8421662631539224,0.11889557938646357,1.0828914554185292,4.2361403254358834,0.09171020054524566
Nymphe Cove,0.74481432548552029,-6.5808780377140579,0.16835144851712136,1.0618384998553998,3.1674115687249582,0.064736028772255233
Patos Island,0.97505969578738128,10.765852633274108,0.12711918031962402,1.133058093485281,5.4174039860513403,0.13178195389507588
Pedder Bay,0.7426113272207604,-12.500810619811205,0.10893609149029825,1.0760340803140818,7.2711897851468166,0.095270298348128862
Point Atkinson,0.94388010224538355,9.7433848970301717,0.16000411394771355,1.1123173025170316,7.2016871418831556,0.14971353362413584
Point Grey,0.91697967568902439,6.9434303975161029,0.13478312647360624,1.0519684538734535,6.6811105039828362,0.11808774056909845
Port Renfrew,0.99080384378017672,-0.94386326978778357,0.013310484786198302,1.0766693573917676,6.3057057653659569,0.062286825771382143
Powell River,0.93345028837895694,8.4748312667906731,0.15862764652684566,1.0905729322916156,7.2611241051067736,0.14490900009989027
Sandheads,0.95622676038549614,8.8581492122760679,0.13664781001164192,1.1309212508780264,6.7579793470022196,0.15171529131551614
Seymour Narrows,0.42535867338133099,36.114005259520013,0.66468300942235481,1.2882179812023715,16.874230579282766,0.30479440590621859
Sheringham Point,0.97394912341895601,-7.4195591951013284,0.063474864583151963,1.0610667231534379,6.0847359016661358,0.068630914344200711
Tsawwassen,0.94108095616383147,11.058271214226306,0.15896070087700448,1.1079568596501643,7.2573128218248257,0.14301759009012649
Tumbo Channel,0.98643892330729366,11.552926953492033,0.14547954986322417,1.1360051475700035,8.140713733714847,0.1649977466945457
Twin Islets,0.94684573122106364,8.4658162405901081,0.15515535546333539,1.0989448951007643,6.9509020780863011,0.14560883692199092
Victoria,0.7154192533553112,0.67663836829382262,0.10621398619369431,1.1184936020976755,7.8260172912175108,0.11709262000857336
Whaler Bay,0.94061480736693281,9.1672218366198663,0.1384401708010688,1.1085108568647184,6.7384993801568953,0.13940736611483012
Yorke Island,1.079825500450212,-5.4404314585202656,0.14858634828525719,1.1406370786191116,-4.4166617698595019,0.090927054022496331
Mean Difference,0.090080039305588194,9.316342035686942,0.16430787567556759,0.079389512906469367,6.7052869409257259,0.12400319230653363
RMS Difference,0.13005578634156539,11.113229221329705,0.1944085561988633,0.085364538413373728,7.162907875721082,0.13231568589862275
