Station Name,R (M2),Delta phi (M2),D (M2),R (K1),Delta phi (K1),D (K1)
Port Renfrew,0.96486312518987205,-5.1390065630987181,0.067135014056704426,1.0957232788434625,10.171990495297706,0.094597824482678838
Sheringham Point,0.89549152705271018,-11.507140720285292,0.10549037052031619,1.0947310485693988,8.6998155178607135,0.1012912502504975
Pedder Bay,0.60361372961405568,-9.3347830075505271,0.14229373152415725,1.1165039008468196,8.4706794145206459,0.12211572462816707
Esquimalt,0.61669154803966186,0.8733627428255204,0.14074277997320972,1.1145401780061752,9.2403636129110964,0.13184693394518823
Victoria,0.62362015886073852,8.0810470421421314,0.1463979223177321,1.1619232804791293,8.949677118267175,0.14638960072015275
Clover Point,0.59989148151815064,8.8924659450366903,0.16834983227939579,1.1482633073677815,8.3935632884180791,0.13856006058326581
Finnerty Cove,0.8142977120029653,14.062472229581601,0.1290058664660883,1.1432024571149642,5.6967415317968744,0.12625250464569679
Fulford Harbour,0.83697798928192668,13.133268533465799,0.1543779934785979,1.1261277381753538,6.2661399605046881,0.12903355478996426
Tumbo Channel,1.0463340414293758,10.893217837648649,0.14493557293897016,1.1734177365653213,6.0818855137756032,0.16872483574119695
Patos Island,1.0326145106468949,10.595247327629181,0.12951208790635388,1.1683745404884878,3.6314693973131398,0.14360184983154753
Whaler Bay,0.9940055225212785,8.3983102628709858,0.12187274392895446,1.1444216513281826,4.7112629141230968,0.14321820446037847
Tsawwassen,0.99404828449183003,10.363705013697039,0.14613754888524774,1.1426102795113404,5.3055660238599671,0.14476139551229816
Sandheads,1.0084175078257909,7.9526775521050936,0.12124778385283072,1.1646964044589947,4.7174175631624848,0.15662388584508607
Point Grey,0.96705282346507604,6.2047042164150312,0.10529575985596015,1.0860961307965917,4.3944070331151011,0.10642425076431231
Point Atkinson,0.99391272211142889,8.930675646040914,0.14261736206046996,1.1503434681125855,5.3694267740235091,0.15587306022959033
Gibsons Landing,0.962535000234502,10.260424840243807,0.16990340920827662,1.1317943534789452,6.3317794402690311,0.15397106145387018
Halfmoon Bay,0.98991605713295305,9.6803939338444707,0.16214807559626129,1.1391932396549431,5.5430287368205882,0.1524931938565105
Irvines Landing,0.98006480348695635,9.334033220899336,0.16038015106518322,1.1407557289687877,5.0549472457806246,0.14904445573883299
Powell River,0.98031964167878338,7.5782052743435457,0.13325915346655182,1.1243478716564956,5.2167506141117315,0.14229547905965947
Lund,0.99050537831285423,7.2974612408416775,0.12982293751962082,1.1520584602255606,4.0667631104668089,0.151190998475249
Twin Islets,0.992273164703668,7.5153020351483306,0.13249414176724217,1.1329085008187174,4.9058975354291761,0.1456688579914211
Campbell River,0.89467490285675355,13.072738478068494,0.19777076685803899,1.1510063197918714,5.6262597782044281,0.15574832513282191
Maude Island E,0.76722673261090113,16.389008508228336,0.18979980233025007,1.1670813749823552,7.2451670365620089,0.17498270926426243
Nymphe Cove,0.62718291952407279,11.102822538002101,0.24789178196421305,1.1223819057891395,6.0943025901399324,0.1280693114462533
Seymour Narrows,0.37651087971225194,76.484125143047891,0.92966733720473049,1.4375868338455458,25.621230323914119,0.47652191196582722
Brown Bay,0.80085008308611316,-9.277073498048992,0.23018941167829418,1.1229396678225425,1.9694597923024162,0.087062605092037768
Chatham Point,0.93120608638454472,-13.063506961589496,0.20775200089451251,1.1144500160234219,-2.4918245805774291,0.080647442438555858
Kelsey Bay,1.039289552020537,-11.349542705692727,0.24032202435965705,1.1087463516260221,-3.5213798907411729,0.073013893193944551
Yorke Island,1.0371848366274083,-8.2438632184196763,0.17688571133741812,1.1423899808067199,-2.2169540619051418,0.08273661803486082
Mean Difference,0.08333498030702842,11.896916766786623,0.18185169225155995,0.10983653249286056,6.4140052033163615,0.14354351033014232
RMS Difference,0.14084627369240282,17.291671204619149,0.23379663453873381,0.11882236413833663,7.6537224894355518,0.15904309143730166
