Station Name	R (M2)	Delta phi (M2)	D (M2)	R (K1)	Delta phi (K1)	D (K1)
Brown Bay	0.9934181074	-14.4693280746	0.2347999155	1.0652300173	-2.0795882687	0.0510746518
Campbell River	0.8002933386	9.6550738685	0.2063400911	1.0729925966	7.2977300104	0.1274951017
Chatham Point	1.1328340389	-13.4746871726	0.255426153	1.0702572421	-6.3387089312	0.0877967117
Clover Point	0.7294692966	-2.7896565734	0.1103041196	1.0796844815	6.810385698	0.0943238946
Esquimalt	0.785273934	-8.6655551002	0.092870326	1.0478008586	7.5301782922	0.0917429306
Finnerty Cove	0.7672069243	4.8551798873	0.1092166411	1.0776432954	6.3139933521	0.0978531293
Fulford Harbour	0.7558931966	8.6837516535	0.1614125644	1.0613394581	7.7264083373	0.1142815187
Gibsons Landing	0.8845660337	11.6322469891	0.2110335232	1.073422272	9.8063467268	0.1671837866
Halfmoon Bay	0.9093570151	11.1271648959	0.198512984	1.0810085674	8.9627347846	0.1597651661
Irvines Landing	0.9018067281	10.740449006	0.2006359275	1.0820924873	8.505496421	0.1537901071
Kelsey Bay	1.1148918014	-7.2468768183	0.2060396993	1.1029304526	-7.2165372422	0.0966684902
Lund	0.915009956	8.7792211697	0.1730297318	1.093803303	7.5461381607	0.1480791567
Maude Island E	0.8333541028	-12.6365064298	0.1451389775	1.0427976304	2.7889443006	0.0531927691
Nymphe Cove	0.8063571134	-13.5041156287	0.1761994181	1.0276141339	2.416351836	0.0391866496
Patos Island	0.9384358138	10.8382596356	0.1312769198	1.1084745847	6.6576198375	0.1291265618
Pedder Bay	0.8335118315	-13.8851310102	0.0945497068	1.0488554467	6.4237523422	0.0782044542
Point Atkinson	0.9117160515	10.2498037099	0.1763268635	1.087339106	8.55871089	0.1538267634
Point Grey	0.8853712541	7.4341649163	0.158197292	1.0286761492	8.1848987419	0.1337046874
Port Renfrew	1.0106724301	1.7372732746	0.0228653634	1.0684407296	3.5095702148	0.0422327888
Powell River	0.9033891859	9.0198535687	0.1792237511	1.0672210537	8.6915674662	0.1540260781
Sandheads	0.9237308313	9.3808667611	0.1518233838	1.1072932201	8.1881664941	0.1545349219
Seymour Narrows	0.4827833094	22.771662159	0.5538541064	1.2264636739	13.9665590069	0.2434839888
Sheringham Point	1.0286931119	-5.0240889542	0.0454969579	1.0411122427	4.1321532573	0.0461849022
Tsawwassen	0.9070539309	11.4937027548	0.1720734514	1.0841435902	8.6331412501	0.148366333
Tumbo Channel	0.9482031247	11.9241177958	0.151599128	1.1103220924	9.5577245992	0.1681649711
Twin Islets	0.9177297356	9.0535370962	0.1743862146	1.0753187043	8.3866363517	0.1530699447
Victoria	0.7794660838	-2.9857795659	0.0840297632	1.0907474708	7.1051612242	0.0991121013
Whaler Bay	0.9068586142	9.6370606342	0.1543926791	1.0837178953	8.156341165	0.1440724614
Yorke Island	1.1094691221	-3.9112312046	0.1533587907	1.1383006645	-5.7751394908	0.0977409076
Mean Difference	0.0999504039	9.5726326313	0.1684280843	0.0604302954	7.1471270584	0.1182167562
RMS Difference	0.1297399877	10.4588133646	0.1907022499	0.0662644375	7.546053138	0.1270726609
