Station Name,R (M2),Delta phi (M2),D (M2),R (K1),Delta phi (K1),D (K1)
Brown Bay,0.96870749067133666,-12.340193968255846,0.19997084115910557,1.1101676834294634,-1.7687314075899394,0.077995761488245274
Campbell River,0.88707030880582294,15.295291121618085,0.22682964972136069,1.1582446682883036,6.5717679660000385,0.16975402525111905
Chatham Point,1.1043959097883185,-12.217479592575557,0.22288666098260573,1.1106978716294273,-5.8703653593419176,0.1011130317641568
Clover Point,0.86856914279655484,-2.0940958340269731,0.054716348786137681,1.1828146487827236,4.3294349566791652,0.12867505947381719
Esquimalt,0.94637572387177338,-7.2526834831145948,0.049264737395697311,1.1501061120489435,4.8095330173650268,0.11253614981313254
Finnerty Cove,0.86458528907277576,4.992636922538054,0.070532303929180459,1.1763392558422687,4.1801510844007908,0.13683673705722027
Fulford Harbour,0.83614206004318514,9.7081875686741235,0.13117299645419492,1.1567217417360447,5.7585385112507197,0.14333987335171908
Gibsons Landing,0.97819030832347964,14.633667987466559,0.23945981045494291,1.1671815344963603,8.5701228747223581,0.20266196297556616
Halfmoon Bay,1.0056726702658076,14.133007829919507,0.2379197460695319,1.1758138527958899,7.714131845263239,0.20104187733294646
Irvines Landing,0.99843845295633793,13.777526349870733,0.23682556876916797,1.1764777104759627,7.279349957815441,0.19698794462738253
Kelsey Bay,1.0998375100283078,-7.3250145084278415,0.1954963028058859,1.1257945964416589,-6.5105528834343431,0.10051201627131127
Lund,1.0157726234237363,11.893936805249531,0.21404600095230294,1.1898475517288105,6.3446875037268455,0.20001031537802458
Maude Island E,0.8688159480992097,-3.0081261660962699,0.07784701919959626,1.1162157629540492,2.524728571411174,0.1015309779795755
Nymphe Cove,0.79465423280538627,-4.8658049133184704,0.13459173152646467,1.1026031126286995,2.2779030658948045,0.085292773979839198
Patos Island,1.0336796550951532,13.650688204285359,0.16591422202996173,1.205332771681751,5.3442535026110249,0.18125391453632653
Pedder Bay,1.0028956005254122,-11.505490083960865,0.068667572049232239,1.1480401577609318,3.9238126665895834,0.10359374578451348
Point Atkinson,1.0067281633865477,13.245149646217204,0.21254407993926633,1.1807126920391975,7.2084297267624606,0.1952790393099498
Point Grey,0.97760126154407123,10.468016461471997,0.17177998000431463,1.118422750865669,7.0157577964101847,0.15893035314487686
Port Renfrew,1.1567292505941653,6.0575311061111279,0.13706960641463486,1.1913100887970798,0.15099325297626365,0.086673265128945479
Powell River,1.0015988533129987,12.102804980537556,0.21249295128832763,1.1608895312169569,7.4771172099515297,0.19310026844513625
Sandheads,1.0223487687900044,12.365471712643377,0.19025616993377917,1.2049603499690316,6.9060443643222129,0.20415514853198194
Seymour Narrows,0.48429235384332225,32.875715642303192,0.61386085659250555,1.3039299064874463,13.887933749507056,0.28414907066368972
Sheringham Point,1.2004238818551338,-0.6194586638094961,0.097776756299013765,1.1528641109279969,1.0031933446692847,0.084400640069893465
Tsawwassen,0.99892104478208354,14.403779852664524,0.20323574004809927,1.1780403243412114,7.3935380019856325,0.18887395423340153
Tumbo Channel,1.046144373607828,14.923960210716132,0.19575821313891065,1.2059070082482775,8.265106497865645,0.21062273553323657
Twin Islets,1.0191293600476301,12.188889039041136,0.21800619291243037,1.1698334935181758,7.1762545092344681,0.1963388507481999
Victoria,0.93302897192581069,-1.9404981579262994,0.027800999865945461,1.1957533420847597,4.5194398059931018,0.13411849171002366
Whaler Bay,1.001040845080519,12.80347350454506,0.18607921224639196,1.1781710910091785,6.9508825837770019,0.18761277213957706
Yorke Island,1.0943512686990566,-4.0310064944811757,0.14011284896689949,1.1619779067196605,-5.0856834657050456,0.10496584215025084
Mean Difference,0.060822154226424126,10.576537476271266,0.17699707310123755,0.12610751228396891,5.7523599821812521,0.15421919306462273
RMS Difference,0.10916211761034038,12.214911349474267,0.20532533572900832,0.13119014296013545,6.3386080355698367,0.1624923648936854
