Station Name,R (M2),Delta phi (M2),D (M2),R (K1),Delta phi (K1),D (K1)
Brown Bay,1.0002444980317178,-14.588225273707053,0.23744935723274183,1.0656367328302543,-2.2621985301253176,0.052459849404168389
Campbell River,0.80391336435032112,8.6967487258151905,0.19685545400993196,1.0700616734873234,6.9093658965234113,0.12098355034087808
Chatham Point,1.1373913950561119,-13.604284046546752,0.25967967388391044,1.0697616283073921,-6.4796148609642614,0.08903486795266527
Clover Point,0.72049049979120772,-1.9205999465116861,0.11322439693911569,1.0819121220844392,6.8272533068912367,0.095338857980000552
Esquimalt,0.77515504902446475,-7.7876561901115338,0.093461631947345858,1.0494167643299637,7.469407513949875,0.091504685443125192
Finnerty Cove,0.77058005861369094,5.5678609486012647,0.10940523159596127,1.0768397840579205,6.2318484153388454,0.096638559311325464
Fulford Harbour,0.76136504726739429,8.828706712957274,0.15937509147249809,1.06104676984934,7.6084470920700369,0.11272275167674443
Gibsons Landing,0.88812552292387392,11.367326132819038,0.20608798881649243,1.0714427264509869,9.6140352131745317,0.1636029930734158
Halfmoon Bay,0.91314709549798212,10.811387633593881,0.19270398350073928,1.0791009225757329,8.7481146803559113,0.15584788457247534
Irvines Landing,0.90467412411727577,10.44181635546105,0.19524141609561962,1.0800538452441459,8.3035731475178522,0.14999674802758037
Kelsey Bay,1.1095212596841881,-7.4002773831042532,0.20425913078279997,1.1039381731379931,-7.1411278891026768,0.096429339313181733
Lund,0.91716686772241107,8.4631575146262108,0.16742073035056193,1.0918349343458009,7.3146649700058788,0.14390986873773179
Maude Island E,0.82958411570319113,-12.967372465070582,0.14851931938282981,1.0415695647938974,2.6120555790191702,0.050597589294878384
Nymphe Cove,0.81190628783615204,-14.023249289651005,0.17800287757945751,1.0257407235696259,2.1986913587281265,0.035893069046224024
Patos Island,0.94205832142498158,10.704995658992914,0.12928455251397611,1.1063012208305849,6.479618514806134,0.12598931530363236
Pedder Bay,0.82010923449949158,-13.329972878244007,0.09462393182767638,1.050149268338753,6.4061324830085482,0.078385656930893902
Point Atkinson,0.91489015630261283,9.9679657081871262,0.17141002843923678,1.0848629182510667,8.3370841970799461,0.14962853960365355
Point Grey,0.88831676405186488,7.150852184155589,0.15323015253910224,1.0271171172598841,8.0006045972448305,0.13044519076559785
Port Renfrew,1.0049982276864495,1.5389150252891284,0.019388830015125983,1.0740802568327659,3.4770999369560798,0.044018905401948999
Powell River,0.90593551774671299,8.7183818000255116,0.17378771627307663,1.0651552272321478,8.464450349568267,0.14977471452704355
Sandheads,0.92698510270097945,9.1488049062769292,0.14777097418463109,1.1054268933570555,7.9934921649517037,0.15111448551959283
Seymour Narrows,0.48075056093326352,22.868949221112814,0.55580834531639178,1.2275170153761676,13.911731286790712,0.24345896681716589
Sheringham Point,1.0195132533674163,-5.0180508593824698,0.044088880094607562,1.0470980721122387,3.8566664313642605,0.04571999506380197
Tsawwassen,0.91054914701270373,11.207993966899789,0.16765031143992365,1.082090632985053,8.443311344048368,0.14492195498284957
Tumbo Channel,0.95352081351329321,11.634266707615438,0.14761355644559171,1.1082481836433307,9.3199793689009311,0.16416884420155028
Twin Islets,0.92020828227387708,8.7261245818459443,0.16850511325553005,1.0734741836459396,8.1640862299557284,0.14897315644360762
Victoria,0.76940165209948086,-2.1721787601064761,0.086902854581495659,1.0926971683434401,7.0977662410147104,0.099809213643408196
Whaler Bay,0.91019367241338467,9.4032316732500263,0.15041119144383644,1.0815334790304483,7.943524602383377,0.14021070642193925
Yorke Island,1.1035282918732874,-4.0816852047450425,0.14957715958983406,1.1390122965092297,-5.6949487726118377,0.097559105799253351
Mean Difference,0.098138570499462188,9.3841737156795162,0.16626689246724283,0.059869464053170243,7.0107205163604336,0.1161772195034598
RMS Difference,0.12885765038126834,10.327541980343733,0.18895017161269129,0.065577399438499176,7.4076701218468042,0.12477717730537007
