Station Name,R (M2),Delta phi (M2),D (M2),R (K1),Delta phi (K1),D (K1)
Port Renfrew,0.96346147127984949,-19.976073212371602,0.24245012751567496,0.97061288493874975,8.5127461393481951,0.067571704434565324
Sheringham Point,0.82499085361116475,-29.283037158829956,0.23931110951237189,0.97907038244880951,6.6462495756364319,0.063901154326281448
Pedder Bay,0.398694441705923,-18.108943128583462,0.21658761892902506,1.0017343661368068,5.6192022397578398,0.061530384463236124
Esquimalt,0.42939906823188329,1.4860595157450689,0.20950341105000445,1.0068440488480774,6.3219503567876245,0.071290101010299978
Victoria,0.4589413955107447,10.459029193663582,0.20700494056460939,1.0450481302949728,5.5672965151979383,0.068364425905442852
Clover Point,0.45441051731001375,13.834264849493195,0.22940275783245101,1.0339400797318823,5.0546378892385633,0.061557191781393794
Finnerty Cove,0.82509266116122115,14.906742446269845,0.13118381672503573,1.0301001069761775,1.4373956670337407,0.027912612200285604
Fulford Harbour,0.89829288412883646,10.04186536923287,0.11325388044863278,1.0177974331221094,1.0711826108235982,0.019527059801772738
Tumbo Channel,1.139645761301217,2.0145216585549974,0.10498084425776237,1.0522579212592014,-0.61280009716710993,0.043305107949723684
Patos Island,1.1202479789192685,2.688896529950398,0.088469008622767908,1.0458882130234142,-2.6158144689276241,0.051715359540952036
Whaler Bay,1.0776060639646181,-0.50748474449371628,0.065176127897908651,1.0271704143330522,-1.932342034833141,0.036982486632984909
Tsawwassen,1.0754085254015857,1.6741302543876593,0.065908487164374363,1.0281089266909711,-1.3329928333077419,0.030604124896706907
Sandheads,1.0872232082877229,-1.0585297847975639,0.077623484318759581,1.0461850137685849,-1.8889108483691643,0.047863080515541161
Point Grey,1.0421807564274013,-3.0750985578048571,0.065338611016862058,0.97567977614641443,-2.1618227035437485,0.040317593663042182
Point Atkinson,1.0725275416949012,-0.24585876016244512,0.066705147085287714,1.0309722556193108,-1.3164653780880826,0.033424425915620011
Gibsons Landing,1.0382267800706098,1.1150568653366335,0.040781510060742515,1.0153876588733988,-0.26240713159751294,0.014008510031668758
Halfmoon Bay,1.068832913705273,0.13997480681655361,0.066399583685787023,1.0225449063044458,-1.1205406875124595,0.026390676958007307
Irvines Landing,1.0542594555684801,-0.17981448904858865,0.053702796098098922,1.0241067105958157,-1.5824523991780097,0.032480012977758453
Powell River,1.0524143980060698,-2.1637153912698039,0.065632582097332109,1.0085878853171275,-1.5471165507591422,0.025713862003448797
Lund,1.0614178215551147,-2.7359462160200323,0.080419884657075016,1.0334749822361453,-2.7430141769499414,0.05250992815491607
Twin Islets,1.0633817148490354,-2.6241822711317226,0.080068691138201337,1.016154988262596,-1.8824140014365867,0.033310029824498898
Campbell River,0.98808197077206561,0.87508294116012308,0.015923179363647521,1.0538824449562245,-1.3462321048272088,0.049943448061308633
Maude Island E,1.0080858388998475,-10.883336251859077,0.10597441041779311,1.0388393011714347,-1.9011453694960778,0.041765660359723185
Nymphe Cove,0.98180082825372939,-10.971622947095852,0.11704853125824277,1.0342548978089063,-4.9834599424881389,0.073019163261326916
Seymour Narrows,0.60006588397201999,24.965591121826549,0.4934511357777811,1.2403334371466577,9.0928702033926925,0.20636631679614056
Brown Bay,0.74772725697233455,-4.7848679707764177,0.24534319705415003,1.1132556087521772,-1.7822392856721194,0.080064176730685804
Chatham Point,0.84923576316599325,-12.298911903156409,0.22431949021068953,1.1071536382776892,-5.0994939614678287,0.093057699891574072
Kelsey Bay,0.98236771425724267,-16.114548744601507,0.32573080293451845,1.1058841354158442,-3.3168246905162846,0.070470692766741658
Yorke Island,0.98286390207869878,-13.336175857107946,0.2703529009793772,1.1374518173922821,-2.1258497853715426,0.079812888478611468
Mean Difference,0.094102729518778336,8.0189435497085668,0.14855338167844703,0.034090894346266117,3.1337196430595204,0.055337237218422736
RMS Difference,0.1269324464148896,11.341722201557468,0.18185576464079847,0.046670397106125,3.9197839031096704,0.065408048745495342
