Depth,Major-Axis (M2),Minor-Axis (M2),Theta (M2),Major-Axis (K1),Minor-Axis (K1),Theta (K1)
0.5,0.3872183593291072,-0.17430815817427672,126.76537248614991,0.094845790965149945,0.004864522876276714,109.52013975075801
1.5,0.37127084955338091,-0.16301428349583763,126.51522044128197,0.097661265292904004,0.0057285982284873693,112.78696583683289
2.50001,0.34296883134651956,-0.13975513261326208,126.34713905845572,0.10294384452034877,0.0051733825033457928,116.73563570719871
3.50003,0.31806747451571826,-0.11145796585425044,125.94713672956838,0.10890853595200176,0.0020136553022255116,120.42591076106771
4.50007,0.2965951552576227,-0.084654621571531502,125.1156439334181,0.11491970773420258,-0.0030324351958745943,123.1380170500355
5.50015,0.27921373611980915,-0.061611036649359713,124.07480698193643,0.12113195439176455,-0.0087179897716051849,124.95425027522904
6.50031,0.26587698255215819,-0.043217423432791155,122.8674008274067,0.12637300106632993,-0.013995927257173274,126.13324101745921
7.50062,0.25636504341004873,-0.028984044237654522,121.49144365537971,0.13050658129413398,-0.018016768067554673,127.03938798591358
8.50124,0.2507019723022007,-0.018732788779628223,120.01754000355349,0.13423556899547784,-0.02096047284786999,127.60255057415374
9.50243,0.24832984789485507,-0.012201580124686015,118.58872982307388,0.13721863848460372,-0.023004602099552268,128.01731283032944
10.5048,0.24830375149864592,-0.0091259605074883593,117.41352426176154,0.13968883364997028,-0.024498915891434464,128.40619461637573
11.5093,0.24983821969771794,-0.0085378693192190991,116.58972499316442,0.14185267513725652,-0.025377463079126354,128.82466952851016
12.5182,0.25257813940481844,-0.0095422893782363544,116.14435715054137,0.14366054236564357,-0.025945209633165281,129.24165314023566
13.5354,0.25608721675338714,-0.011543081796218338,116.00458873433421,0.14499709697915331,-0.026405764559349523,129.61953810160756
14.569,0.25996779825198385,-0.014106555757395112,116.12134134928282,0.14603972786633174,-0.026829481824792265,129.91661235250109
15.6343,0.2640853701279201,-0.017025139729203914,116.45509209412802,0.14689633515709655,-0.02729176192738602,130.09541450846493
16.7612,0.2683840487797734,-0.020138536941515378,116.9740177706181,0.14767988118133143,-0.027834430921144813,130.16530901720088
18.0071,0.27293998667082342,-0.023420554870204613,117.67726073513515,0.14853345939267401,-0.028438523436290032,130.14370790449706
19.4818,0.27810144195674791,-0.027113681967269293,118.60634278276288,0.14938412006847585,-0.028966429232412924,130.01362817010997
21.39,0.28407561646090107,-0.031482587152662833,119.89256799865598,0.15028353809991493,-0.029345062299163567,129.71706133324216
24.1003,0.29067367730750193,-0.036538162665850665,121.63892494856405,0.15176995479651559,-0.029187838454711339,129.41336288886652
28.2299,0.29538968664949938,-0.039667122355587198,123.84433035658489,0.15489612079753939,-0.028759163857211903,129.25758781311185
34.6858,0.29318892925165818,-0.036595973850916369,126.40693602798704,0.15985642136877787,-0.029015303339503126,129.62770240623033
44.5177,0.2886441528399295,-0.029396627364794287,130.04148915416675,0.16516929099518329,-0.026216412835113292,129.78008166598599
58.4843,0.28956387510322512,-0.026367820839278078,135.36571590837298,0.16565650976313975,-0.021218119728480311,128.9764853999784
76.5856,0.31743207625000291,-0.044662349085329039,141.51119107714601,0.16938798624771439,-0.019597504818526096,129.35250309423972
98.063,0.34549046884828555,-0.056873162238011088,142.76619654178231,0.19441691405303013,-0.022481569827491332,130.66817053418754
121.867,0.2910631626816178,-0.011770211820114146,142.40610246408758,0.18257594717634223,-0.022325646790218104,130.7046290968359
147.089,0.24346903403654818,0.079720024985275376,123.86997372412127,0.11400875205274098,0.010561402983972012,144.52722922299338
173.114,0.0,0.0,0.0,0.0,0.0,0.0
199.573,0.0,0.0,0.0,0.0,0.0,0.0
226.26,0.0,0.0,0.0,0.0,0.0,0.0
253.067,0.0,0.0,0.0,0.0,0.0,0.0
279.935,0.0,0.0,0.0,0.0,0.0,0.0
306.834,0.0,0.0,0.0,0.0,0.0,0.0
333.75,0.0,0.0,0.0,0.0,0.0,0.0
360.675,0.0,0.0,0.0,0.0,0.0,0.0
387.603,0.0,0.0,0.0,0.0,0.0,0.0
414.534,0.0,0.0,0.0,0.0,0.0,0.0
