#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2014 12 06 20 20 215  7.3 210 10.0 1934
2014 12 06 20 10 216  7.9 999 99.0 9999
2014 12 06 20 00 212  7.4 999 99.0 9999
2014 12 06 19 50 212  8.1 200 12.0 1904
2014 12 06 19 40 213  8.1 999 99.0 9999
2014 12 06 19 30 222  7.2 999 99.0 9999
2014 12 06 19 20 221  7.1 200 12.0 1904
2014 12 06 19 10 211  8.6 999 99.0 9999
2014 12 06 19 00 223  8.0 999 99.0 9999
2014 12 06 18 50 219  7.7 200 11.0 1753
2014 12 06 18 40 207  8.6 999 99.0 9999
2014 12 06 18 30 205  9.0 999 99.0 9999
2014 12 06 18 20 207  8.2 200 12.0 1726
2014 12 06 18 10 202  8.9 999 99.0 9999
2014 12 06 18 00 204  9.4 999 99.0 9999
2014 12 06 17 50 203  9.3 190 12.0 1709
2014 12 06 17 40 203  9.2 999 99.0 9999
2014 12 06 17 30 204  9.3 999 99.0 9999
2014 12 06 17 20 203  9.5 210 13.0 1620
2014 12 06 17 10 199  9.2 999 99.0 9999
2014 12 06 17 00 199  9.8 999 99.0 9999
2014 12 06 16 50 194  9.4 200 14.0 1618
2014 12 06 16 40 198  9.8 999 99.0 9999
2014 12 06 16 30 201 10.7 999 99.0 9999
2014 12 06 16 20 202 10.2 200 14.0 1618
2014 12 06 16 10 202 10.2 999 99.0 9999
2014 12 06 16 00 200 10.4 999 99.0 9999
2014 12 06 15 50 197 10.1 190 13.0 1533
2014 12 06 15 40 196 11.3 999 99.0 9999
2014 12 06 15 30 187  8.1 999 99.0 9999
2014 12 06 15 20 155  6.3 200 12.0 1519
2014 12 06 15 10 102  6.2 999 99.0 9999
2014 12 06 15 00 105  6.7 999 99.0 9999
2014 12 06 14 50 102  6.4 100  8.0 1416
2014 12 06 14 40 096  6.3 999 99.0 9999
2014 12 06 14 30 092  6.5 999 99.0 9999
2014 12 06 14 20 095  6.6 100  8.0 1416
2014 12 06 14 10 099  6.0 999 99.0 9999
2014 12 06 14 00 102  5.6 999 99.0 9999
2014 12 06 13 50 109  4.9 120  7.0 1330
2014 12 06 13 40 115  5.3 999 99.0 9999
2014 12 06 13 30 119  3.9 999 99.0 9999
2014 12 06 13 20 106  2.7 120  4.0 1226
2014 12 06 13 10 116  2.7 999 99.0 9999
2014 12 06 13 00 119  2.3 999 99.0 9999
2014 12 06 12 50 110  1.9  90  7.0 1151
2014 12 06 12 40 114  2.9 999 99.0 9999
2014 12 06 12 30 114  3.4 999 99.0 9999
2014 12 06 12 20 116  3.9  90  7.0 1141
2014 12 06 12 10 103  4.3 999 99.0 9999
2014 12 06 12 00 094  5.2 999 99.0 9999
2014 12 06 11 50 094  5.5  90  7.0 1141
2014 12 06 11 40 095  5.4 999 99.0 9999
2014 12 06 11 30 100  5.4 999 99.0 9999
2014 12 06 11 20 100  5.3 100  6.0 1117
2014 12 06 11 10 105  5.0 999 99.0 9999
2014 12 06 11 00 110  4.9 999 99.0 9999
2014 12 06 10 50 111  4.8 110  7.0 1000
2014 12 06 10 40 112  4.6 999 99.0 9999
2014 12 06 10 30 109  5.0 999 99.0 9999
2014 12 06 10 20 109  5.0 110  7.0 1000
2014 12 06 10 10 108  5.8 999 99.0 9999
2014 12 06 10 00 115  4.8 999 99.0 9999
2014 12 06 09 50 105  4.7  90  8.0 0859
2014 12 06 09 40 114  4.1 999 99.0 9999
2014 12 06 09 30 113  5.3 999 99.0 9999
2014 12 06 09 20 110  5.5 110  9.0 0843
2014 12 06 09 10 111  5.8 999 99.0 9999
2014 12 06 09 00 099  6.8 999 99.0 9999
2014 12 06 08 50 109  6.8 120  9.0 0752
2014 12 06 08 40 115  6.7 999 99.0 9999
2014 12 06 08 30 115  6.9 999 99.0 9999
2014 12 06 08 20 113  7.5 100 10.0 0721
2014 12 06 08 10 112  7.5 999 99.0 9999
2014 12 06 08 00 113  7.9 999 99.0 9999
2014 12 06 07 50 105  8.4 100 12.0 0657
2014 12 06 07 40 110  7.7 999 99.0 9999
2014 12 06 07 30 109  8.0 999 99.0 9999
2014 12 06 07 20 109  7.9 100 12.0 0657
2014 12 06 07 10 101  8.3 999 99.0 9999
2014 12 06 07 00 101  9.2 999 99.0 9999
