#YY  MM DD hh mm CHILL  HEAT   ICE WSPD10 WSPD20
#yr  mo dy hr mn  degC  degC cm/hr    m/s    m/s
2015 06 11 20 50    MM    MM    MM      8      8
2015 06 11 19 50    MM    MM    MM      8      9
2015 06 11 18 50    MM    MM    MM      7      8
2015 06 11 17 50    MM    MM    MM      7      8
2015 06 11 16 50    MM    MM    MM      7      8
2015 06 11 15 50    MM    MM    MM      6      6
2015 06 11 14 50    MM    MM    MM      7      8
2015 06 11 13 50    MM    MM    MM      7      7
2015 06 11 12 50    MM    MM    MM      6      6
2015 06 11 11 50   9.5    MM    MM      7      8
2015 06 11 10 50   9.1    MM    MM     10     10
2015 06 11 09 50    MM    MM    MM      9     10
2015 06 11 08 50    MM    MM    MM      8      9
2015 06 11 07 50    MM    MM    MM      8      8
2015 06 11 06 50    MM    MM    MM      8      8
2015 06 11 05 50    MM    MM    MM      8      8
2015 06 11 04 50    MM    MM    MM      8      8
2015 06 11 03 50    MM    MM    MM      7      8
2015 06 11 02 50    MM    MM    MM      7      8
2015 06 11 01 50    MM    MM    MM      8      9
2015 06 11 00 50    MM    MM    MM      8      8
2015 06 10 23 50    MM    MM    MM      9     10
2015 06 10 22 50    MM    MM    MM      8      9
2015 06 10 21 50    MM    MM    MM      7      8
2015 06 10 20 50    MM    MM    MM      5      6
2015 06 10 19 50    MM    MM    MM      5      6
2015 06 10 18 50    MM    MM    MM      5      6
2015 06 10 17 50    MM    MM    MM      6      6
2015 06 10 16 50  10.1    MM    MM      5      6
2015 06 10 15 50  10.1    MM    MM      5      6
2015 06 10 14 50  10.1    MM    MM      6      6
2015 06 10 13 50    MM    MM    MM      6      6
2015 06 10 12 50  10.1    MM    MM      6      6
2015 06 10 11 50  10.1    MM    MM      6      6
2015 06 10 10 50    MM    MM    MM      7      8
2015 06 10 09 50    MM    MM    MM      7      8
2015 06 10 08 50    MM    MM    MM      7      7
2015 06 10 07 50    MM    MM    MM      7      7
2015 06 10 06 50    MM    MM    MM      7      8
2015 06 10 05 50    MM    MM    MM      9      9
2015 06 10 04 50    MM    MM    MM     10     10
2015 06 10 03 50    MM    MM    MM      9     10
2015 06 10 02 50    MM    MM    MM      9     10
2015 06 10 01 50    MM    MM    MM      9     10
2015 06 10 00 50    MM    MM    MM      9     10
2015 06 09 23 50    MM    MM    MM      9     10
2015 06 09 22 50    MM    MM    MM      9     10
2015 06 09 21 50    MM    MM    MM      8      9
2015 06 09 20 50    MM    MM    MM      8      9
2015 06 09 19 50    MM    MM    MM      9      9
2015 06 09 18 50    MM    MM    MM      9      9
2015 06 09 17 50    MM    MM    MM      8      9
2015 06 09 16 50    MM    MM    MM      7      7
2015 06 09 15 50    MM    MM    MM      7      8
2015 06 09 14 50    MM    MM    MM      8      8
2015 06 09 13 50    MM    MM    MM      8      8
2015 06 09 12 50    MM    MM    MM      8      9
2015 06 09 11 50    MM    MM    MM      8      8
2015 06 09 10 50    MM    MM    MM      8      9
2015 06 09 09 50    MM    MM    MM      7      8
2015 06 09 08 50    MM    MM    MM      7      8
2015 06 09 07 50    MM    MM    MM      7      8
2015 06 09 06 50    MM    MM    MM      8      9
2015 06 09 05 50    MM    MM    MM      8      9
2015 06 09 04 50    MM    MM    MM      9     10
2015 06 09 03 50    MM    MM    MM      9     10
2015 06 09 02 50    MM    MM    MM      9     10
2015 06 09 01 50    MM    MM    MM     10     10
2015 06 09 00 50    MM    MM    MM     10     10
2015 06 08 23 50    MM    MM    MM      9     10
2015 06 08 22 50    MM    MM    MM      9     10
2015 06 08 21 50    MM    MM    MM      9     10
2015 06 08 20 50    MM    MM    MM      9     10
2015 06 08 19 50    MM    MM    MM      9     10
2015 06 08 18 50    MM    MM    MM      8      8
2015 06 08 17 50    MM    MM    MM      8      9
2015 06 08 16 50   9.1    MM    MM      9      9
2015 06 08 15 50   8.9    MM    MM      8      8
2015 06 08 14 50   8.5    MM    MM      9      9
2015 06 08 13 50   8.4    MM    MM     10     10
2015 06 08 12 50   8.5    MM    MM     10     11
2015 06 08 11 50   8.2    MM    MM     10     11
2015 06 08 10 50   8.3    MM    MM      9     10
2015 06 08 09 50   8.1    MM    MM     10     11
2015 06 08 08 50   7.9    MM    MM     11     12
2015 06 08 07 50   7.9    MM    MM     11     11
2015 06 08 06 50   8.3    MM    MM     10     11
2015 06 08 05 50   8.2    MM    MM     11     11
2015 06 08 04 50   8.5    MM    MM     11     12
2015 06 08 03 50   8.5    MM    MM     11     12
2015 06 08 02 50    MM    MM    MM     11     11
2015 06 08 01 50    MM    MM    MM     10     11
2015 06 08 00 50    MM    MM    MM     11     11
2015 06 07 23 50    MM    MM    MM      8      9
2015 06 07 22 50    MM    MM    MM     10     11
2015 06 07 21 50    MM    MM    MM      9     10
2015 06 07 20 50    MM    MM    MM      8      8
2015 06 07 19 50    MM    MM    MM      7      7
2015 06 07 18 50    MM    MM    MM      5      5
2015 06 07 17 50    MM    MM    MM      4      5
2015 06 07 16 50    MM    MM    MM      3      4
2015 06 07 15 50    MM    MM    MM      2      2
2015 06 07 14 50    MM    MM    MM      3      3
2015 06 07 13 50    MM    MM    MM      4      4
2015 06 07 12 50    MM    MM    MM      4      4
2015 06 07 11 50    MM    MM    MM      4      5
2015 06 07 10 50    MM    MM    MM      6      6
2015 06 07 09 50    MM    MM    MM      6      6
2015 06 07 08 50    MM    MM    MM      5      6
2015 06 07 07 50    MM    MM    MM      5      5
2015 06 07 06 50    MM    MM    MM      6      7
2015 06 07 05 50    MM    MM    MM      6      7
2015 06 07 04 50    MM    MM    MM      8      9
2015 06 07 03 50    MM    MM    MM      9     10
2015 06 07 02 50    MM    MM    MM      9     10
2015 06 07 01 50    MM    MM    MM      8      9
2015 06 07 00 50    MM    MM    MM      9     10
2015 06 06 23 50    MM    MM    MM      8      9
2015 06 06 22 50    MM    MM    MM      8      8
2015 06 06 21 50    MM    MM    MM      7      7
2015 06 06 20 50    MM    MM    MM      6      7
2015 06 06 19 50    MM    MM    MM      6      7
2015 06 06 18 50    MM    MM    MM      5      5
2015 06 06 17 50    MM    MM    MM      5      6
2015 06 06 16 50    MM    MM    MM      6      7
2015 06 06 15 50  10.1    MM    MM      6      6
2015 06 06 14 50   9.5    MM    MM      6      7
2015 06 06 13 50   9.4    MM    MM      7      8
2015 06 06 12 50    MM    MM    MM      6      7
2015 06 06 11 50  10.1    MM    MM      4      4
2015 06 06 10 50   9.6    MM    MM      5      5
2015 06 06 09 50   9.7    MM    MM      6      6
2015 06 06 08 50   9.4    MM    MM      6      7
2015 06 06 07 50   9.4    MM    MM      6      7
2015 06 06 06 50   9.3    MM    MM      7      8
2015 06 06 05 50   9.0    MM    MM      9     10
2015 06 06 04 50   9.3    MM    MM      8      9
2015 06 06 03 50   9.1    MM    MM      8      9
2015 06 06 02 50   9.1    MM    MM      9      9
2015 06 06 01 50   8.8    MM    MM     10     10
2015 06 06 00 50    MM    MM    MM     10     11
2015 06 05 23 50   8.7    MM    MM     12     12
2015 06 05 22 50    MM    MM    MM      9      9
2015 06 05 21 50   9.3    MM    MM      8      9
2015 06 05 20 50   9.1    MM    MM      8      9
2015 06 05 19 50   9.0    MM    MM      6      7
2015 06 05 18 50   9.0    MM    MM      6      7
2015 06 05 17 50  10.0    MM    MM      5      6
2015 06 05 16 50  10.0    MM    MM      6      6
2015 06 05 15 50   9.0    MM    MM      6      6
2015 06 05 14 50   9.0    MM    MM      6      7
2015 06 05 13 50   9.1    MM    MM      7      7
2015 06 05 12 50   9.1    MM    MM      7      8
2015 06 05 11 50   9.5    MM    MM      8      8
2015 06 05 10 50   9.8    MM    MM      6      7
2015 06 05 09 50    MM    MM    MM      7      7
2015 06 05 08 50    MM    MM    MM      6      6
2015 06 05 07 50    MM    MM    MM      6      7
2015 06 05 06 50    MM    MM    MM      7      8
2015 06 05 05 50    MM    MM    MM      8      9
2015 06 05 04 50    MM    MM    MM      7      8
2015 06 05 03 50    MM    MM    MM      7      8
2015 06 05 02 50    MM    MM    MM      8      8
2015 06 05 01 50    MM    MM    MM      8      8
2015 06 05 00 50    MM    MM    MM      8      9
2015 06 04 23 50    MM    MM    MM      7      8
2015 06 04 22 50    MM    MM    MM      7      8
2015 06 04 21 50    MM    MM    MM      7      7
2015 06 04 20 50    MM    MM    MM      6      6
2015 06 04 19 50    MM    MM    MM      5      5
2015 06 04 18 50    MM    MM    MM      4      5
2015 06 04 17 50    MM    MM    MM      4      4
2015 06 04 16 50    MM    MM    MM      5      5
2015 06 04 15 50    MM    MM    MM      4      4
2015 06 04 14 50    MM    MM    MM      4      5
2015 06 04 13 50  10.1    MM    MM      6      6
2015 06 04 12 50   9.8    MM    MM      5      6
2015 06 04 11 50   9.8    MM    MM      5      5
2015 06 04 10 50  10.1    MM    MM      5      6
2015 06 04 09 50   9.8    MM    MM      6      6
2015 06 04 08 50  10.1    MM    MM      5      5
2015 06 04 07 50    MM    MM    MM      5      5
2015 06 04 06 50    MM    MM    MM      6      6
2015 06 04 05 50    MM    MM    MM      5      5
2015 06 04 04 50    MM    MM    MM      6      6
2015 06 04 03 50    MM    MM    MM      5      5
2015 06 04 02 50    MM    MM    MM      5      5
2015 06 04 01 50    MM    MM    MM      5      6
2015 06 04 00 50    MM    MM    MM      5      5
2015 06 03 23 50    MM    MM    MM      4      5
2015 06 03 22 50    MM    MM    MM      4      5
2015 06 03 21 50    MM    MM    MM      3      4
2015 06 03 20 50    MM    MM    MM      3      3
2015 06 03 19 50    MM    MM    MM      3      3
2015 06 03 18 50    MM    MM    MM      2      2
2015 06 03 17 50    MM    MM    MM      2      2
2015 06 03 16 50    MM    MM    MM      1      1
2015 06 03 15 50  11.5    MM    MM      2      2
2015 06 03 14 50    MM    MM    MM      2      2
2015 06 03 13 50    MM    MM    MM      2      2
2015 06 03 12 50    MM    MM    MM      2      2
2015 06 03 11 50    MM    MM    MM      2      2
2015 06 03 10 50    MM    MM    MM      2      3
2015 06 03 09 50    MM    MM    MM      3      3
2015 06 03 08 50    MM    MM    MM      2      2
2015 06 03 07 50    MM    MM    MM      0      0
2015 06 03 06 50    MM    MM    MM      1      1
2015 06 03 05 50    MM    MM    MM      2      2
2015 06 03 04 50    MM    MM    MM      3      3
2015 06 03 03 50    MM    MM    MM      3      3
2015 06 03 02 50  11.3    MM    MM      2      2
2015 06 03 01 50    MM    MM    MM      2      2
2015 06 03 00 50    MM    MM    MM      4      4
2015 06 02 23 50    MM    MM    MM      3      3
2015 06 02 22 50    MM    MM    MM      3      3
2015 06 02 21 50  10.9    MM    MM      3      3
2015 06 02 20 50    MM    MM    MM      3      3
2015 06 02 19 50  11.2    MM    MM      2      2
2015 06 02 18 50    MM    MM    MM      2      2
2015 06 02 17 50  11.5    MM    MM      2      3
2015 06 02 16 50  10.9    MM    MM      4      4
2015 06 02 15 50  10.2    MM    MM      4      4
2015 06 02 14 50   9.6    MM    MM      5      5
2015 06 02 13 50  10.1    MM    MM      5      5
2015 06 02 12 50  10.8    MM    MM      3      3
2015 06 02 11 50  10.9    MM    MM      3      3
2015 06 02 10 50  10.8    MM    MM      3      3
2015 06 02 09 50  11.4    MM    MM      2      2
2015 06 02 08 50  11.4    MM    MM      2      2
2015 06 02 07 50    MM    MM    MM      1      1
2015 06 02 06 50    MM    MM    MM      1      1
2015 06 02 05 50    MM    MM    MM      1      1
2015 06 02 04 50    MM    MM    MM      1      1
2015 06 02 03 50    MM    MM    MM      1      2
2015 06 02 02 50  11.5    MM    MM      2      2
2015 06 02 01 50    MM    MM    MM      1      1
2015 06 02 00 50  11.5    MM    MM      2      2
2015 06 01 23 50  11.5    MM    MM      2      3
2015 06 01 22 50  10.9    MM    MM      3      3
2015 06 01 21 50  11.5    MM    MM      2      2
2015 06 01 20 50    MM    MM    MM      2      2
2015 06 01 19 50  10.5    MM    MM      4      4
2015 06 01 18 50  10.9    MM    MM      3      3
2015 06 01 17 50  10.7    MM    MM      3      3
2015 06 01 16 50  11.2    MM    MM      2      3
2015 06 01 15 50  10.9    MM    MM      2      2
2015 06 01 14 50  10.9    MM    MM      2      2
2015 06 01 13 50   9.6    MM    MM      4      4
2015 06 01 12 50   9.1    MM    MM      5      5
2015 06 01 11 50  10.0    MM    MM      3      3
2015 06 01 10 50    MM    MM    MM      1      1
2015 06 01 09 50  10.5    MM    MM      2      2
2015 06 01 08 50  10.1    MM    MM      3      4
2015 06 01 07 50   9.2    MM    MM      5      5
2015 06 01 06 50   9.5    MM    MM      4      4
2015 06 01 05 50   9.6    MM    MM      4      5
2015 06 01 04 50   9.2    MM    MM      5      6
2015 06 01 03 50   9.0    MM    MM      6      6
2015 06 01 02 50   8.7    MM    MM      7      7
2015 06 01 01 50   9.1    MM    MM      7      7
2015 06 01 00 50   9.0    MM    MM      7      8
2015 05 31 23 50   9.3    MM    MM      6      7
2015 05 31 22 50   9.3    MM    MM      6      6
2015 05 31 21 50   9.0    MM    MM      7      7
2015 05 31 20 50   9.0    MM    MM      6      6
2015 05 31 19 50   9.1    MM    MM      5      5
2015 05 31 18 50   9.1    MM    MM      5      5
2015 05 31 17 50   9.2    MM    MM      4      5
2015 05 31 16 50   9.7    MM    MM      3      4
2015 05 31 15 50   8.7    MM    MM      5      5
2015 05 31 14 50   8.1    MM    MM      5      5
2015 05 31 13 50   8.5    MM    MM      4      5
2015 05 31 12 50   8.0    MM    MM      5      5
2015 05 31 11 50   8.4    MM    MM      4      5
2015 05 31 10 50   8.1    MM    MM      5      5
2015 05 31 09 50   8.6    MM    MM      4      4
2015 05 31 08 50   8.3    MM    MM      5      5
2015 05 31 07 50   8.6    MM    MM      6      6
2015 05 31 06 50   8.7    MM    MM      5      6
2015 05 31 05 50   9.2    MM    MM      5      5
2015 05 31 04 50   9.6    MM    MM      4      4
2015 05 31 03 50   9.8    MM    MM      4      4
2015 05 31 02 50  10.4    MM    MM      4      4
2015 05 31 01 50   9.8    MM    MM      5      5
2015 05 31 00 50  10.3    MM    MM      4      4
2015 05 30 23 50  10.2    MM    MM      4      4
2015 05 30 22 50  10.2    MM    MM      4      4
2015 05 30 21 50    MM    MM    MM      4      4
2015 05 30 20 50  10.9    MM    MM      3      3
2015 05 30 19 50  10.8    MM    MM      3      3
2015 05 30 18 50  10.6    MM    MM      3      3
2015 05 30 17 50  10.9    MM    MM      2      2
2015 05 30 16 50  10.1    MM    MM      3      3
2015 05 30 15 50   9.6    MM    MM      4      4
2015 05 30 14 50   9.0    MM    MM      5      6
2015 05 30 13 50   9.4    MM    MM      4      5
2015 05 30 12 50   9.1    MM    MM      5      5
2015 05 30 11 50   9.2    MM    MM      5      5
2015 05 30 10 50   9.5    MM    MM      5      5
2015 05 30 09 50   9.3    MM    MM      5      6
2015 05 30 08 50   9.5    MM    MM      6      6
2015 05 30 07 50   9.3    MM    MM      6      6
2015 05 30 06 50   9.1    MM    MM      6      7
2015 05 30 05 50   9.0    MM    MM      7      8
2015 05 30 04 50   9.0    MM    MM      7      7
2015 05 30 03 50   8.9    MM    MM      8      8
2015 05 30 02 50   9.1    MM    MM      8      8
2015 05 30 01 50   9.3    MM    MM      8      8
2015 05 30 00 50   9.5    MM    MM      7      7
2015 05 29 23 50   9.8    MM    MM      6      7
2015 05 29 22 50   9.7    MM    MM      6      6
2015 05 29 21 50   9.7    MM    MM      5      5
2015 05 29 20 50   9.8    MM    MM      4      4
2015 05 29 19 50   9.8    MM    MM      4      4
2015 05 29 18 50  10.2    MM    MM      3      3
2015 05 29 17 50  10.0    MM    MM      3      3
2015 05 29 16 50   9.6    MM    MM      4      4
2015 05 29 15 50   9.8    MM    MM      3      3
2015 05 29 14 50   9.6    MM    MM      3      3
2015 05 29 13 50  10.2    MM    MM      2      2
2015 05 29 12 50   8.8    MM    MM      3      3
2015 05 29 11 50   9.0    MM    MM      2      2
2015 05 29 10 50   8.8    MM    MM      3      3
2015 05 29 09 50   9.0    MM    MM      3      3
2015 05 29 08 50   9.7    MM    MM      2      2
2015 05 29 07 50    MM    MM    MM      1      1
2015 05 29 06 50   9.5    MM    MM      2      2
2015 05 29 05 50   9.2    MM    MM      3      3
2015 05 29 04 50   9.2    MM    MM      3      3
2015 05 29 03 50   9.5    MM    MM      3      3
2015 05 29 02 50  10.4    MM    MM      2      2
2015 05 29 01 50  10.2    MM    MM      3      3
2015 05 29 00 50  11.3    MM    MM      2      2
2015 05 28 23 50  10.7    MM    MM      3      3
2015 05 28 22 50  10.4    MM    MM      3      3
2015 05 28 21 50  10.8    MM    MM      2      2
2015 05 28 20 50  10.1    MM    MM      3      3
2015 05 28 19 50  10.4    MM    MM      2      2
2015 05 28 18 50    MM    MM    MM      0      0
2015 05 28 17 50   9.7    MM    MM      2      2
2015 05 28 16 50   9.2    MM    MM      2      2
2015 05 28 15 50   8.8    MM    MM      2      2
2015 05 28 14 50    MM    MM    MM      1      1
2015 05 28 13 50    MM    MM    MM      1      1
2015 05 28 12 50   9.2    MM    MM      2      2
2015 05 28 11 50   9.2    MM    MM      2      2
2015 05 28 10 50   9.3    MM    MM      2      2
2015 05 28 09 50   9.2    MM    MM      2      2
2015 05 28 08 50   9.3    MM    MM      2      2
2015 05 28 07 50   9.5    MM    MM      2      2
2015 05 28 06 50  10.1    MM    MM      2      2
2015 05 28 05 50  10.4    MM    MM      2      2
2015 05 28 04 50   9.4    MM    MM      3      4
2015 05 28 03 50   9.4    MM    MM      4      4
2015 05 28 02 50  10.0    MM    MM      4      4
2015 05 28 01 50   9.8    MM    MM      4      4
2015 05 28 00 50  10.1    MM    MM      4      4
2015 05 27 23 50   9.8    MM    MM      4      4
2015 05 27 22 50  10.3    MM    MM      3      3
2015 05 27 21 50  10.8    MM    MM      2      2
2015 05 27 20 50  10.0    MM    MM      3      3
2015 05 27 19 50   9.8    MM    MM      3      3
2015 05 27 18 50  10.5    MM    MM      2      2
2015 05 27 17 50    MM    MM    MM      1      1
2015 05 27 16 50    MM    MM    MM      1      1
2015 05 27 15 50    MM    MM    MM      0      0
2015 05 27 14 50    MM    MM    MM      1      1
2015 05 27 13 50   8.9    MM    MM      3      3
2015 05 27 12 50   8.9    MM    MM      3      4
2015 05 27 11 50   8.5    MM    MM      4      4
2015 05 27 10 50   8.7    MM    MM      4      4
