Mean 	2.773626
Latitude 	50.042000
Constituent 	 freq 	 amp (m) 	 amp error 	 phase (deg PST) 	 phase error 
SA   	 0.000114	 0.043908	 0.036187	 240.899783	 48.581580
SSA  	 0.000228	 0.036232	 0.032580	 310.937141	 69.378926
MSM  	 0.001310	 0.004967	 0.023021	 350.525755	 215.211722
MM   	 0.001512	 0.019391	 0.030528	 189.157979	 103.219544
MSF  	 0.002822	 0.035132	 0.034708	 250.841023	 63.446854
MF   	 0.003050	 0.037008	 0.034943	 141.425965	 64.065824
ALP1 	 0.034397	 0.001426	 0.003787	 231.697897	 160.601701
2Q1  	 0.035706	 0.010097	 0.005226	 149.352741	 32.848913
SIG1 	 0.035909	 0.006033	 0.004363	 218.739173	 51.495812
Q1   	 0.037219	 0.079973	 0.005188	 148.226758	 3.535913
RHO1 	 0.037421	 0.018779	 0.004335	 160.128744	 13.322473
O1   	 0.038731	 0.477345	 0.005271	 151.727324	 0.582966
TAU1 	 0.038959	 0.018710	 0.003834	 241.465605	 11.585366
BET1 	 0.040040	 0.007520	 0.005164	 119.693959	 36.955264
NO1  	 0.040269	 0.017812	 0.004597	 149.743283	 14.979884
CHI1 	 0.040471	 0.004328	 0.004094	 141.660835	 65.530601
PI1  	 0.041439	 0.016040	 0.004977	 166.933659	 15.208503
P1   	 0.041553	 0.253816	 0.003997	 161.669569	 0.982254
S1   	 0.041667	 0.029857	 0.005871	 109.182024	 12.422913
K1   	 0.041781	 0.832746	 0.004735	 163.966995	 0.323918
PSI1 	 0.041895	 0.020050	 0.004193	 157.877726	 11.436459
PHI1 	 0.042009	 0.014314	 0.004121	 163.838151	 19.338206
THE1 	 0.043091	 0.002460	 0.003969	 185.768691	 106.914345
J1   	 0.043293	 0.050798	 0.005365	 193.278479	 5.725647
SO1  	 0.044603	 0.028259	 0.004817	 278.178785	 9.739284
OO1  	 0.044831	 0.039001	 0.008295	 201.876007	 11.776634
UPS1 	 0.046343	 0.004551	 0.005882	 267.328536	 95.940833
OQ2  	 0.075975	 0.005413	 0.002511	 75.025960	 26.060571
EPS2 	 0.076177	 0.004325	 0.002058	 28.273697	 30.356800
2N2  	 0.077487	 0.028151	 0.002310	 92.104661	 4.770171
MU2  	 0.077689	 0.025859	 0.001959	 58.611902	 4.268492
N2   	 0.078999	 0.164318	 0.002113	 120.116399	 0.672571
NU2  	 0.079202	 0.032073	 0.001801	 126.335151	 3.500340
H1   	 0.080397	 0.003026	 0.002177	 349.137181	 39.460659
M2   	 0.080511	 0.768249	 0.001840	 141.934209	 0.158999
H2   	 0.080625	 0.008812	 0.001732	 174.714044	 14.802941
MKS2 	 0.080740	 0.007979	 0.002353	 238.058500	 16.815160
LDA2 	 0.081821	 0.008719	 0.002082	 189.592580	 14.046319
L2   	 0.082024	 0.020343	 0.001740	 181.866415	 5.004798
T2   	 0.083219	 0.011617	 0.001981	 151.446560	 10.897679
S2   	 0.083333	 0.199379	 0.002240	 156.237681	 0.604634
R2   	 0.083447	 0.001526	 0.001616	 165.058927	 64.740604
K2   	 0.083561	 0.047349	 0.002387	 160.625906	 3.035325
MSN2 	 0.084845	 0.001260	 0.001819	 55.224399	 72.086947
ETA2 	 0.085074	 0.005012	 0.002993	 170.082925	 34.561227
MO3  	 0.119242	 0.014269	 0.002388	 176.037540	 10.512573
M3   	 0.120767	 0.004706	 0.002184	 342.909888	 25.002074
SO3  	 0.122064	 0.014650	 0.002889	 200.487606	 10.089305
MK3  	 0.122292	 0.027585	 0.002404	 223.707514	 5.181939
SK3  	 0.125114	 0.007838	 0.002593	 190.057751	 16.443388
MN4  	 0.159511	 0.024323	 0.003470	 240.732621	 8.029665
M4   	 0.161023	 0.073964	 0.003508	 271.733205	 2.546949
SN4  	 0.162333	 0.004815	 0.003264	 216.458674	 38.692030
MS4  	 0.163845	 0.034361	 0.003397	 285.332656	 6.442123
MK4  	 0.164073	 0.015082	 0.004140	 291.835077	 15.553670
S4   	 0.166667	 0.003021	 0.003573	 255.225838	 63.661177
SK4  	 0.166895	 0.004833	 0.003947	 271.637275	 54.246758
2MK5 	 0.202804	 0.009787	 0.003097	 236.952023	 20.094036
2SK5 	 0.208447	 0.001459	 0.002836	 145.222715	 124.634663
2MN6 	 0.240022	 0.010002	 0.001961	 245.796277	 11.129818
M6   	 0.241534	 0.018459	 0.001971	 272.670841	 5.472474
2MS6 	 0.244356	 0.017526	 0.001887	 286.471450	 6.243713
2MK6 	 0.244584	 0.006648	 0.002292	 329.126393	 19.662431
2SM6 	 0.247178	 0.004562	 0.002014	 293.756198	 23.647413
MSK6 	 0.247406	 0.003272	 0.002212	 303.043704	 45.308890
3MK7 	 0.283315	 0.011348	 0.002351	 243.840729	 12.023685
M8   	 0.322046	 0.008488	 0.001518	 271.103172	 10.910012
