Harmonics from: 	wlev_8074_31-Dec-2012_02-Jan-2014.csv
Mean 	2.773626
Latitude 	50.042000
Time_Local 	 pred_8 	 pred_all 
31-Dec-2013 00:00:00 	 -1.464953	 -1.665272
31-Dec-2013 01:00:00 	 -0.737336	 -0.805845
31-Dec-2013 02:00:00 	 0.005711	 0.090498
31-Dec-2013 03:00:00 	 0.630476	 0.750020
31-Dec-2013 04:00:00 	 1.040380	 1.112865
31-Dec-2013 05:00:00 	 1.196612	 1.161557
31-Dec-2013 06:00:00 	 1.124017	 0.971146
31-Dec-2013 07:00:00 	 0.900935	 0.708092
31-Dec-2013 08:00:00 	 0.635737	 0.508876
31-Dec-2013 09:00:00 	 0.436142	 0.468666
31-Dec-2013 10:00:00 	 0.379274	 0.568706
31-Dec-2013 11:00:00 	 0.490211	 0.682447
31-Dec-2013 12:00:00 	 0.734618	 0.818326
31-Dec-2013 13:00:00 	 1.027475	 1.082236
31-Dec-2013 14:00:00 	 1.255774	 1.376703
31-Dec-2013 15:00:00 	 1.309427	 1.457844
31-Dec-2013 16:00:00 	 1.112474	 1.194573
31-Dec-2013 17:00:00 	 0.646461	 0.614917
31-Dec-2013 18:00:00 	 -0.040204	 -0.161322
31-Dec-2013 19:00:00 	 -0.839680	 -1.004914
31-Dec-2013 20:00:00 	 -1.607388	 -1.778348
31-Dec-2013 21:00:00 	 -2.194623	 -2.281646
31-Dec-2013 22:00:00 	 -2.483116	 -2.444932
31-Dec-2013 23:00:00 	 -2.413029	 -2.425177
01-Jan-2014 00:00:00 	 -1.997405	 -2.213536
01-Jan-2014 01:00:00 	 -1.319405	 -1.574738
01-Jan-2014 02:00:00 	 -0.512945	 -0.585131
01-Jan-2014 03:00:00 	 0.268545	 0.348406
01-Jan-2014 04:00:00 	 0.887553	 0.985444
01-Jan-2014 05:00:00 	 1.253375	 1.288445
01-Jan-2014 06:00:00 	 1.340906	 1.251772
01-Jan-2014 07:00:00 	 1.192796	 0.981131
01-Jan-2014 08:00:00 	 0.904656	 0.663508
01-Jan-2014 09:00:00 	 0.597267	 0.448958
01-Jan-2014 10:00:00 	 0.383015	 0.425276
01-Jan-2014 11:00:00 	 0.335212	 0.526290
01-Jan-2014 12:00:00 	 0.468228	 0.616859
01-Jan-2014 13:00:00 	 0.733569	 0.760035
01-Jan-2014 14:00:00 	 1.032942	 1.067451
01-Jan-2014 15:00:00 	 1.245017	 1.376978
01-Jan-2014 16:00:00 	 1.259002	 1.413802
01-Jan-2014 17:00:00 	 1.006390	 1.081044
01-Jan-2014 18:00:00 	 0.482597	 0.443855
01-Jan-2014 19:00:00 	 -0.247294	 -0.378526
01-Jan-2014 20:00:00 	 -1.060446	 -1.257062
01-Jan-2014 21:00:00 	 -1.803184	 -2.014188
01-Jan-2014 22:00:00 	 -2.326389	 -2.442682
01-Jan-2014 23:00:00 	 -2.520686	 -2.539732
02-Jan-2014 00:00:00 	 -2.342674	 -2.470649
02-Jan-2014 01:00:00 	 -1.825667	 -2.150864
02-Jan-2014 02:00:00 	 -1.072204	 -1.366026
02-Jan-2014 03:00:00 	 -0.230145	 -0.304274
02-Jan-2014 04:00:00 	 0.541787	 0.609314
02-Jan-2014 05:00:00 	 1.110488	 1.188094
02-Jan-2014 06:00:00 	 1.398039	 1.407611
02-Jan-2014 07:00:00 	 1.397129	 1.273437
02-Jan-2014 08:00:00 	 1.168707	 0.926879
02-Jan-2014 09:00:00 	 0.822727	 0.570600
02-Jan-2014 10:00:00 	 0.487075	 0.351685
02-Jan-2014 11:00:00 	 0.272733	 0.332044
02-Jan-2014 12:00:00 	 0.244143	 0.407959
02-Jan-2014 13:00:00 	 0.402339	 0.469010
02-Jan-2014 14:00:00 	 0.685168	 0.633116
02-Jan-2014 15:00:00 	 0.984491	 0.983726
02-Jan-2014 16:00:00 	 1.175933	 1.290631
02-Jan-2014 17:00:00 	 1.153506	 1.282114
02-Jan-2014 18:00:00 	 0.860155	 0.908806
02-Jan-2014 19:00:00 	 0.306256	 0.251761
02-Jan-2014 20:00:00 	 -0.428849	 -0.580101
02-Jan-2014 21:00:00 	 -1.212965	 -1.443274
02-Jan-2014 22:00:00 	 -1.890962	 -2.128284
02-Jan-2014 23:00:00 	 -2.321185	 -2.456851
03-Jan-2014 00:00:00 	 -2.409335	 -2.491624
03-Jan-2014 01:00:00 	 -2.131405	 -2.369646
03-Jan-2014 02:00:00 	 -1.539921	 -1.940904
03-Jan-2014 03:00:00 	 -0.751932	 -1.052427
03-Jan-2014 04:00:00 	 0.078312	 0.012340
03-Jan-2014 05:00:00 	 0.795239	 0.856559
03-Jan-2014 06:00:00 	 1.277548	 1.350932
03-Jan-2014 07:00:00 	 1.464778	 1.470639
03-Jan-2014 08:00:00 	 1.368446	 1.239132
03-Jan-2014 09:00:00 	 1.065238	 0.833948
03-Jan-2014 10:00:00 	 0.674245	 0.454878
03-Jan-2014 11:00:00 	 0.324226	 0.227375
03-Jan-2014 12:00:00 	 0.119335	 0.186514
03-Jan-2014 13:00:00 	 0.112060	 0.215749
03-Jan-2014 14:00:00 	 0.290215	 0.249316
03-Jan-2014 15:00:00 	 0.581218	 0.438905
03-Jan-2014 16:00:00 	 0.872444	 0.815413
03-Jan-2014 17:00:00 	 1.042357	 1.102759
03-Jan-2014 18:00:00 	 0.994373	 1.064346
03-Jan-2014 19:00:00 	 0.684688	 0.690015
03-Jan-2014 20:00:00 	 0.136873	 0.054794
03-Jan-2014 21:00:00 	 -0.560665	 -0.737993
03-Jan-2014 22:00:00 	 -1.273886	 -1.523115
03-Jan-2014 23:00:00 	 -1.854304	 -2.087074
04-Jan-2014 00:00:00 	 -2.174458	 -2.308224
04-Jan-2014 01:00:00 	 -2.158830	 -2.290265
04-Jan-2014 02:00:00 	 -1.802541	 -2.113448
04-Jan-2014 03:00:00 	 -1.173142	 -1.592727
04-Jan-2014 04:00:00 	 -0.395079	 -0.663321
04-Jan-2014 05:00:00 	 0.379341	 0.335887
04-Jan-2014 06:00:00 	 1.005290	 1.074173
04-Jan-2014 07:00:00 	 1.378365	 1.466558
04-Jan-2014 08:00:00 	 1.457129	 1.479002
04-Jan-2014 09:00:00 	 1.269846	 1.163202
04-Jan-2014 10:00:00 	 0.904034	 0.721010
04-Jan-2014 11:00:00 	 0.481733	 0.324366
04-Jan-2014 12:00:00 	 0.126933	 0.072107
04-Jan-2014 13:00:00 	 -0.066529	 -0.012032
04-Jan-2014 14:00:00 	 -0.058481	 -0.037354
04-Jan-2014 15:00:00 	 0.128500	 -0.026413
04-Jan-2014 16:00:00 	 0.416574	 0.180985
04-Jan-2014 17:00:00 	 0.694615	 0.561358
