Harmonics from: 	wlev_8074_31-Dec-2012_02-Jan-2014.csv
Mean 	2.773626
Latitude 	50.042000
Time_Local 	 pred_8 	 pred_all 
31-Dec-2013 00:00:00 	 -1.474141	 -1.671931
31-Dec-2013 01:00:00 	 -0.743146	 -0.810102
31-Dec-2013 02:00:00 	 0.002975	 0.085243
31-Dec-2013 03:00:00 	 0.630808	 0.746194
31-Dec-2013 04:00:00 	 1.044082	 1.112528
31-Dec-2013 05:00:00 	 1.204159	 1.164621
31-Dec-2013 06:00:00 	 1.135816	 0.978894
31-Dec-2013 07:00:00 	 0.917057	 0.721912
31-Dec-2013 08:00:00 	 0.655685	 0.527886
31-Dec-2013 09:00:00 	 0.458746	 0.490836
31-Dec-2013 10:00:00 	 0.402739	 0.592355
31-Dec-2013 11:00:00 	 0.512325	 0.706410
31-Dec-2013 12:00:00 	 0.753084	 0.840458
31-Dec-2013 13:00:00 	 1.040291	 1.098508
31-Dec-2013 14:00:00 	 1.261583	 1.383937
31-Dec-2013 15:00:00 	 1.307757	 1.455905
31-Dec-2013 16:00:00 	 1.103815	 1.185126
31-Dec-2013 17:00:00 	 0.632163	 0.600538
31-Dec-2013 18:00:00 	 -0.058192	 -0.177888
31-Dec-2013 19:00:00 	 -0.859159	 -1.021837
31-Dec-2013 20:00:00 	 -1.626288	 -1.793738
31-Dec-2013 21:00:00 	 -2.211310	 -2.294520
31-Dec-2013 22:00:00 	 -2.496585	 -2.457372
31-Dec-2013 23:00:00 	 -2.422942	 -2.437714
01-Jan-2014 00:00:00 	 -2.003979	 -2.222180
01-Jan-2014 01:00:00 	 -1.323201	 -1.578645
01-Jan-2014 02:00:00 	 -0.514611	 -0.588920
01-Jan-2014 03:00:00 	 0.268508	 0.343401
01-Jan-2014 04:00:00 	 0.888932	 0.982193
01-Jan-2014 05:00:00 	 1.256276	 1.287738
01-Jan-2014 06:00:00 	 1.345658	 1.253346
01-Jan-2014 07:00:00 	 1.199771	 0.986739
01-Jan-2014 08:00:00 	 0.914051	 0.674073
01-Jan-2014 09:00:00 	 0.608918	 0.463271
01-Jan-2014 10:00:00 	 0.396287	 0.441867
01-Jan-2014 11:00:00 	 0.349012	 0.543779
01-Jan-2014 12:00:00 	 0.481142	 0.633728
01-Jan-2014 13:00:00 	 0.744089	 0.774313
01-Jan-2014 14:00:00 	 1.039751	 1.076528
01-Jan-2014 15:00:00 	 1.247245	 1.379251
01-Jan-2014 16:00:00 	 1.256413	 1.409592
01-Jan-2014 17:00:00 	 0.999448	 1.071743
01-Jan-2014 18:00:00 	 0.472388	 0.431706
01-Jan-2014 19:00:00 	 -0.259253	 -0.391255
01-Jan-2014 20:00:00 	 -1.072485	 -1.268835
01-Jan-2014 21:00:00 	 -1.813777	 -2.023249
01-Jan-2014 22:00:00 	 -2.334413	 -2.448694
01-Jan-2014 23:00:00 	 -2.525578	 -2.545125
02-Jan-2014 00:00:00 	 -2.344476	 -2.475547
02-Jan-2014 01:00:00 	 -1.824934	 -2.152042
02-Jan-2014 02:00:00 	 -1.069823	 -1.364255
02-Jan-2014 03:00:00 	 -0.227091	 -0.303754
02-Jan-2014 04:00:00 	 0.544675	 0.608507
02-Jan-2014 05:00:00 	 1.112688	 1.188017
02-Jan-2014 06:00:00 	 1.399419	 1.407717
02-Jan-2014 07:00:00 	 1.397917	 1.273875
02-Jan-2014 08:00:00 	 1.169369	 0.929722
02-Jan-2014 09:00:00 	 0.823784	 0.576214
02-Jan-2014 10:00:00 	 0.488913	 0.359102
02-Jan-2014 11:00:00 	 0.275455	 0.340569
02-Jan-2014 12:00:00 	 0.247503	 0.416205
02-Jan-2014 13:00:00 	 0.405776	 0.475432
02-Jan-2014 14:00:00 	 0.687932	 0.636942
02-Jan-2014 15:00:00 	 0.985836	 0.984134
02-Jan-2014 16:00:00 	 1.175319	 1.286894
02-Jan-2014 17:00:00 	 1.150774	 1.274376
02-Jan-2014 18:00:00 	 0.855611	 0.898285
02-Jan-2014 19:00:00 	 0.300660	 0.240696
02-Jan-2014 20:00:00 	 -0.434415	 -0.589666
02-Jan-2014 21:00:00 	 -1.217302	 -1.449799
02-Jan-2014 22:00:00 	 -1.893005	 -2.129958
02-Jan-2014 23:00:00 	 -2.320240	 -2.453994
03-Jan-2014 00:00:00 	 -2.405246	 -2.487186
03-Jan-2014 01:00:00 	 -2.124609	 -2.363816
03-Jan-2014 02:00:00 	 -1.531386	 -1.931525
03-Jan-2014 03:00:00 	 -0.742983	 -1.041543
03-Jan-2014 04:00:00 	 0.086244	 0.020817
03-Jan-2014 05:00:00 	 0.800888	 0.862544
03-Jan-2014 06:00:00 	 1.280045	 1.354832
03-Jan-2014 07:00:00 	 1.463797	 1.471205
03-Jan-2014 08:00:00 	 1.364234	 1.237337
03-Jan-2014 09:00:00 	 1.058527	 0.831910
03-Jan-2014 10:00:00 	 0.666067	 0.452688
03-Jan-2014 11:00:00 	 0.315678	 0.224954
03-Jan-2014 12:00:00 	 0.111356	 0.183930
03-Jan-2014 13:00:00 	 0.105262	 0.211588
03-Jan-2014 14:00:00 	 0.284816	 0.242839
03-Jan-2014 15:00:00 	 0.577085	 0.431235
03-Jan-2014 16:00:00 	 0.869226	 0.807027
03-Jan-2014 17:00:00 	 1.039682	 1.092919
03-Jan-2014 18:00:00 	 0.992035	 1.052888
03-Jan-2014 19:00:00 	 0.682791	 0.678329
03-Jan-2014 20:00:00 	 0.135872	 0.045241
03-Jan-2014 21:00:00 	 -0.560036	 -0.743490
03-Jan-2014 22:00:00 	 -1.270788	 -1.522808
03-Jan-2014 23:00:00 	 -1.848034	 -2.079246
04-Jan-2014 00:00:00 	 -2.164690	 -2.294208
04-Jan-2014 01:00:00 	 -2.145807	 -2.273676
04-Jan-2014 02:00:00 	 -1.787150	 -2.094643
04-Jan-2014 03:00:00 	 -1.156857	 -1.570699
04-Jan-2014 04:00:00 	 -0.379763	 -0.641410
04-Jan-2014 05:00:00 	 0.391736	 0.353525
04-Jan-2014 06:00:00 	 1.013055	 1.086645
04-Jan-2014 07:00:00 	 1.380346	 1.472812
04-Jan-2014 08:00:00 	 1.452933	 1.477904
04-Jan-2014 09:00:00 	 1.259906	 1.156626
04-Jan-2014 10:00:00 	 0.889518	 0.710979
