Harmonics from: ,wlev_7277_31-Dec-2012_02-Jan-2014.csv,
Mean ,2.250044,
Latitude ,48.6536,
Time_Local , pred_8 , pred_all 
31-Dec-2013 00:00:00 ,-1.233524,-1.178914
31-Dec-2013 01:00:00 ,-0.627933,-0.613659
31-Dec-2013 02:00:00 ,-0.009564,-0.044617
31-Dec-2013 03:00:00 ,0.516353,0.469047
31-Dec-2013 04:00:00 ,0.873873,0.844996
31-Dec-2013 05:00:00 ,1.031983,1.023126
31-Dec-2013 06:00:00 ,1.0088,1.008278
31-Dec-2013 07:00:00 ,0.863456,0.862074
31-Dec-2013 08:00:00 ,0.677862,0.680427
31-Dec-2013 09:00:00 ,0.533153,0.558115
31-Dec-2013 10:00:00 ,0.486896,0.548013
31-Dec-2013 11:00:00 ,0.556995,0.652602
31-Dec-2013 12:00:00 ,0.716495,0.830693
31-Dec-2013 13:00:00 ,0.900701,1.009354
31-Dec-2013 14:00:00 ,1.024854,1.117117
31-Dec-2013 15:00:00 ,1.007877,1.091524
31-Dec-2013 16:00:00 ,0.796067,0.861998
31-Dec-2013 17:00:00 ,0.380529,0.392555
31-Dec-2013 18:00:00 ,-0.19631,-0.260343
31-Dec-2013 19:00:00 ,-0.847106,-0.977754
31-Dec-2013 20:00:00 ,-1.457628,-1.632473
31-Dec-2013 21:00:00 ,-1.912183,-2.096021
31-Dec-2013 22:00:00 ,-2.120272,-2.261616
31-Dec-2013 23:00:00 ,-2.037909,-2.099929
01-Jan-2014 00:00:00 ,-1.678314,-1.675674
01-Jan-2014 01:00:00 ,-1.109257,-1.101149
01-Jan-2014 02:00:00 ,-0.437622,-0.471815
01-Jan-2014 03:00:00 ,0.215047,0.147257
01-Jan-2014 04:00:00 ,0.740064,0.678669
01-Jan-2014 05:00:00 ,1.065427,1.028864
01-Jan-2014 06:00:00 ,1.17018,1.148978
01-Jan-2014 07:00:00 ,1.085878,1.065705
01-Jan-2014 08:00:00 ,0.885012,0.85943
01-Jan-2014 09:00:00 ,0.659494,0.637411
01-Jan-2014 10:00:00 ,0.494827,0.497127
01-Jan-2014 11:00:00 ,0.446641,0.488351
01-Jan-2014 12:00:00 ,0.525644,0.606057
01-Jan-2014 13:00:00 ,0.694888,0.79743
01-Jan-2014 14:00:00 ,0.88008,0.98151
01-Jan-2014 15:00:00 ,0.990294,1.083444
01-Jan-2014 16:00:00 ,0.943767,1.033299
01-Jan-2014 17:00:00 ,0.692079,0.757378
01-Jan-2014 18:00:00 ,0.236385,0.234768
01-Jan-2014 19:00:00 ,-0.368696,-0.458239
01-Jan-2014 20:00:00 ,-1.024805,-1.193001
01-Jan-2014 21:00:00 ,-1.611036,-1.83361
01-Jan-2014 22:00:00 ,-2.011501,-2.243495
01-Jan-2014 23:00:00 ,-2.14252,-2.325767
02-Jan-2014 00:00:00 ,-1.972692,-2.077262
02-Jan-2014 01:00:00 ,-1.530851,-1.581717
02-Jan-2014 02:00:00 ,-0.899851,-0.95222
02-Jan-2014 03:00:00 ,-0.197672,-0.280945
02-Jan-2014 04:00:00 ,0.449561,0.357319
02-Jan-2014 05:00:00 ,0.936013,0.870047
02-Jan-2014 06:00:00 ,1.199091,1.164594
02-Jan-2014 07:00:00 ,1.231359,1.209805
02-Jan-2014 08:00:00 ,1.078643,1.051459
02-Jan-2014 09:00:00 ,0.825039,0.784563
02-Jan-2014 10:00:00 ,0.568817,0.52532
02-Jan-2014 11:00:00 ,0.395473,0.370928
02-Jan-2014 12:00:00 ,0.35487,0.364424
02-Jan-2014 13:00:00 ,0.448317,0.491882
02-Jan-2014 14:00:00 ,0.628864,0.691715
02-Jan-2014 15:00:00 ,0.814719,0.879023
02-Jan-2014 16:00:00 ,0.912283,0.976871
02-Jan-2014 17:00:00 ,0.842849,0.909736
02-Jan-2014 18:00:00 ,0.56602,0.606376
02-Jan-2014 19:00:00 ,0.0937,0.063197
02-Jan-2014 20:00:00 ,-0.509116,-0.62879
02-Jan-2014 21:00:00 ,-1.137215,-1.337267
02-Jan-2014 22:00:00 ,-1.668669,-1.923775
02-Jan-2014 23:00:00 ,-1.993261,-2.25478
03-Jan-2014 00:00:00 ,-2.038792,-2.251931
03-Jan-2014 01:00:00 ,-1.788739,-1.933167
03-Jan-2014 02:00:00 ,-1.286853,-1.389169
03-Jan-2014 03:00:00 ,-0.627485,-0.729974
03-Jan-2014 04:00:00 ,0.065988,-0.048631
03-Jan-2014 05:00:00 ,0.669358,0.571469
03-Jan-2014 06:00:00 ,1.085494,1.032653
03-Jan-2014 07:00:00 ,1.265144,1.250822
03-Jan-2014 08:00:00 ,1.215652,1.211368
03-Jan-2014 09:00:00 ,0.995649,0.97577
03-Jan-2014 10:00:00 ,0.697283,0.651931
03-Jan-2014 11:00:00 ,0.420685,0.360716
03-Jan-2014 12:00:00 ,0.247244,0.192691
03-Jan-2014 13:00:00 ,0.218526,0.181892
03-Jan-2014 14:00:00 ,0.326153,0.308811
03-Jan-2014 15:00:00 ,0.515157,0.508326
03-Jan-2014 16:00:00 ,0.699837,0.694965
03-Jan-2014 17:00:00 ,0.787989,0.791296
03-Jan-2014 18:00:00 ,0.707187,0.720083
03-Jan-2014 19:00:00 ,0.426316,0.417742
03-Jan-2014 20:00:00 ,-0.033288,-0.103129
03-Jan-2014 21:00:00 ,-0.60009,-0.745001
03-Jan-2014 22:00:00 ,-1.167606,-1.380827
03-Jan-2014 23:00:00 ,-1.61897,-1.87876
04-Jan-2014 00:00:00 ,-1.854757,-2.117214
04-Jan-2014 01:00:00 ,-1.81716,-2.036905
04-Jan-2014 02:00:00 ,-1.504488,-1.668191
04-Jan-2014 03:00:00 ,-0.972364,-1.102342
04-Jan-2014 04:00:00 ,-0.321294,-0.446671
04-Jan-2014 05:00:00 ,0.326358,0.206585
