Harmonics from: ,wlev_7277_31-Dec-2012_02-Jan-2014.csv,
Mean ,2.250044,
Latitude ,48.6536,
Time_Local , pred_8 , pred_all 
31-Dec-2013 00:00:00 ,-1.241522,-1.185574
31-Dec-2013 01:00:00 ,-0.632451,-0.618167
31-Dec-2013 02:00:00 ,-0.010834,-0.047057
31-Dec-2013 03:00:00 ,0.518275,0.468631
31-Dec-2013 04:00:00 ,0.879122,0.84706
31-Dec-2013 05:00:00 ,1.040776,1.028543
31-Dec-2013 06:00:00 ,1.021259,1.017739
31-Dec-2013 07:00:00 ,0.879406,0.87605
31-Dec-2013 08:00:00 ,0.696679,0.698947
31-Dec-2013 09:00:00 ,0.553694,0.579829
31-Dec-2013 10:00:00 ,0.507561,0.57023
31-Dec-2013 11:00:00 ,0.575906,0.672647
31-Dec-2013 12:00:00 ,0.731769,0.846745
31-Dec-2013 13:00:00 ,0.910748,1.02027
31-Dec-2013 14:00:00 ,1.028653,1.121997
31-Dec-2013 15:00:00 ,1.005152,1.089618
31-Dec-2013 16:00:00 ,0.787331,0.853412
31-Dec-2013 17:00:00 ,0.366995,0.378893
31-Dec-2013 18:00:00 ,-0.212949,-0.276796
31-Dec-2013 19:00:00 ,-0.864965,-0.995158
31-Dec-2013 20:00:00 ,-1.474931,-1.649222
31-Dec-2013 21:00:00 ,-1.927514,-2.110427
31-Dec-2013 22:00:00 ,-2.132723,-2.272692
31-Dec-2013 23:00:00 ,-2.047118,-2.107966
01-Jan-2014 00:00:00 ,-1.68438,-1.681598
01-Jan-2014 01:00:00 ,-1.112571,-1.105586
01-Jan-2014 02:00:00 ,-0.438678,-0.474925
01-Jan-2014 03:00:00 ,0.215838,0.145384
01-Jan-2014 04:00:00 ,0.742477,0.678048
01-Jan-2014 05:00:00 ,1.069451,1.029984
01-Jan-2014 06:00:00 ,1.175948,1.152578
01-Jan-2014 07:00:00 ,1.093533,1.072398
01-Jan-2014 08:00:00 ,0.894547,0.869737
01-Jan-2014 09:00:00 ,0.670621,0.651253
01-Jan-2014 10:00:00 ,0.506908,0.513024
01-Jan-2014 11:00:00 ,0.458709,0.503969
01-Jan-2014 12:00:00 ,0.53652,0.619492
01-Jan-2014 13:00:00 ,0.703366,0.807465
01-Jan-2014 14:00:00 ,0.885144,0.987267
01-Jan-2014 15:00:00 ,0.991321,1.084283
01-Jan-2014 16:00:00 ,0.940657,1.028987
01-Jan-2014 17:00:00 ,0.6853,0.748611
01-Jan-2014 18:00:00 ,0.2269,0.223304
01-Jan-2014 19:00:00 ,-0.379587,-0.470528
01-Jan-2014 20:00:00 ,-1.035693,-1.204777
01-Jan-2014 21:00:00 ,-1.620639,-1.843619
01-Jan-2014 22:00:00 ,-2.018869,-2.250559
01-Jan-2014 23:00:00 ,-2.147162,-2.329593
02-Jan-2014 00:00:00 ,-1.974609,-2.078578
02-Jan-2014 01:00:00 ,-1.530464,-1.581521
02-Jan-2014 02:00:00 ,-0.89786,-0.951225
02-Jan-2014 03:00:00 ,-0.194864,-0.279604
02-Jan-2014 04:00:00 ,0.452488,0.358638
02-Jan-2014 05:00:00 ,0.938591,0.871199
02-Jan-2014 06:00:00 ,1.201146,1.165833
02-Jan-2014 07:00:00 ,1.232991,1.211596
02-Jan-2014 08:00:00 ,1.080134,1.054399
02-Jan-2014 09:00:00 ,0.82672,0.789349
02-Jan-2014 10:00:00 ,0.570924,0.531989
02-Jan-2014 11:00:00 ,0.39804,0.3783
02-Jan-2014 12:00:00 ,0.357681,0.370946
02-Jan-2014 13:00:00 ,0.450932,0.496489
02-Jan-2014 14:00:00 ,0.630724,0.693646
02-Jan-2014 15:00:00 ,0.815286,0.877694
02-Jan-2014 16:00:00 ,0.911198,0.972135
02-Jan-2014 17:00:00 ,0.840059,0.902014
02-Jan-2014 18:00:00 ,0.561837,0.59684
02-Jan-2014 19:00:00 ,0.088785,0.053613
02-Jan-2014 20:00:00 ,-0.513863,-0.636879
02-Jan-2014 21:00:00 ,-1.140818,-1.342838
02-Jan-2014 22:00:00 ,-1.670281,-1.9259
02-Jan-2014 23:00:00 ,-1.992343,-2.25285
03-Jan-2014 00:00:00 ,-2.035244,-2.246282
03-Jan-2014 01:00:00 ,-1.782945,-1.924943
03-Jan-2014 02:00:00 ,-1.279622,-1.379749
03-Jan-2014 03:00:00 ,-0.619914,-0.720641
03-Jan-2014 04:00:00 ,0.072717,-0.040438
03-Jan-2014 05:00:00 ,0.674197,0.577723
03-Jan-2014 06:00:00 ,1.087714,1.036429
03-Jan-2014 07:00:00 ,1.264454,1.251913
03-Jan-2014 08:00:00 ,1.212226,1.210016
03-Jan-2014 09:00:00 ,0.990057,0.972831
03-Jan-2014 10:00:00 ,0.690347,0.64857
03-Jan-2014 11:00:00 ,0.413297,0.357419
03-Jan-2014 12:00:00 ,0.240186,0.188999
03-Jan-2014 13:00:00 ,0.212334,0.17726
03-Jan-2014 14:00:00 ,0.321065,0.302947
03-Jan-2014 15:00:00 ,0.511137,0.500866
03-Jan-2014 16:00:00 ,0.696681,0.685762
03-Jan-2014 17:00:00 ,0.785467,0.780827
03-Jan-2014 18:00:00 ,0.705194,0.709316
03-Jan-2014 19:00:00 ,0.424971,0.408094
03-Jan-2014 20:00:00 ,-0.033611,-0.10999
03-Jan-2014 21:00:00 ,-0.598821,-0.747812
03-Jan-2014 22:00:00 ,-1.164119,-1.378854
03-Jan-2014 23:00:00 ,-1.612771,-1.871471
04-Jan-2014 00:00:00 ,-1.845674,-2.104581
04-Jan-2014 01:00:00 ,-1.805484,-2.019867
04-Jan-2014 02:00:00 ,-1.491028,-1.648483
04-Jan-2014 03:00:00 ,-0.958393,-1.082095
04-Jan-2014 04:00:00 ,-0.308378,-0.427979
04-Jan-2014 05:00:00 ,0.336597,0.222052
