Mean 	3.056307
Latitude 	49.337000
Constituent 	 freq 	 amp (m) 	 amp error 	 phase (deg PST) 	 phase error 
SA   	 0.000114	 0.060376	 0.033140	 215.498740	 30.243615
SSA  	 0.000228	 0.026848	 0.030689	 302.668128	 77.336330
MSM  	 0.001310	 0.006373	 0.022838	 283.327637	 176.115680
MM   	 0.001512	 0.006420	 0.024129	 222.814135	 198.065660
MSF  	 0.002822	 0.023518	 0.029940	 302.013503	 88.548299
MF   	 0.003050	 0.037547	 0.027084	 139.111735	 54.645305
ALP1 	 0.034397	 0.001267	 0.004550	 208.073937	 182.771461
2Q1  	 0.035706	 0.009950	 0.005853	 152.583481	 32.862975
SIG1 	 0.035909	 0.011072	 0.005313	 199.061938	 28.965824
Q1   	 0.037219	 0.080655	 0.006147	 150.429319	 3.848840
RHO1 	 0.037421	 0.018309	 0.005306	 164.320109	 15.547194
O1   	 0.038731	 0.478466	 0.006388	 153.200937	 0.674978
TAU1 	 0.038959	 0.019668	 0.004074	 250.349418	 13.734758
BET1 	 0.040040	 0.007749	 0.005358	 128.214809	 46.098969
NO1  	 0.040269	 0.019338	 0.006238	 162.935461	 17.618188
CHI1 	 0.040471	 0.005132	 0.004820	 144.287419	 66.143347
PI1  	 0.041439	 0.015791	 0.005588	 166.047886	 19.038781
P1   	 0.041553	 0.266712	 0.005556	 165.077797	 1.047583
S1   	 0.041667	 0.039819	 0.006432	 105.898713	 10.755143
K1   	 0.041781	 0.863979	 0.005489	 166.624056	 0.413903
PSI1 	 0.041895	 0.021868	 0.004499	 155.669394	 13.553915
PHI1 	 0.042009	 0.015153	 0.004891	 161.709233	 19.866549
THE1 	 0.043091	 0.003752	 0.005436	 170.532244	 84.384853
J1   	 0.043293	 0.055170	 0.006084	 196.223906	 6.612576
SO1  	 0.044603	 0.032697	 0.005701	 277.418845	 9.611146
OO1  	 0.044831	 0.040031	 0.009358	 202.073914	 13.017619
UPS1 	 0.046343	 0.002823	 0.006672	 243.826385	 145.277745
OQ2  	 0.075975	 0.005365	 0.002376	 86.922334	 27.700143
EPS2 	 0.076177	 0.003184	 0.002133	 35.501937	 35.145758
2N2  	 0.077487	 0.030131	 0.002195	 107.980963	 4.422664
MU2  	 0.077689	 0.019309	 0.002077	 70.800925	 5.689409
N2   	 0.078999	 0.191780	 0.001965	 136.883178	 0.627598
NU2  	 0.079202	 0.038432	 0.002113	 140.393950	 3.451986
H1   	 0.080397	 0.003851	 0.001882	 332.351194	 29.245356
M2   	 0.080511	 0.920950	 0.001934	 158.764071	 0.109465
H2   	 0.080625	 0.011427	 0.002159	 158.522466	 10.612965
MKS2 	 0.080740	 0.006566	 0.002576	 250.599281	 19.594992
LDA2 	 0.081821	 0.010066	 0.002116	 188.360446	 10.749795
L2   	 0.082024	 0.024896	 0.001720	 188.901420	 3.832501
T2   	 0.083219	 0.015822	 0.002326	 172.251148	 7.635255
S2   	 0.083333	 0.233272	 0.002221	 179.598391	 0.577410
R2   	 0.083447	 0.000654	 0.001232	 340.828976	 141.396453
K2   	 0.083561	 0.061505	 0.002768	 181.073233	 2.252635
MSN2 	 0.084845	 0.002052	 0.001606	 13.915255	 57.712830
ETA2 	 0.085074	 0.005299	 0.002873	 177.524951	 35.134883
MO3  	 0.119242	 0.001659	 0.000762	 318.429659	 27.354587
M3   	 0.120767	 0.001331	 0.000728	 23.947658	 33.129783
SO3  	 0.122064	 0.001837	 0.000843	 153.522194	 28.815012
MK3  	 0.122292	 0.006299	 0.000736	 173.904122	 7.045187
SK3  	 0.125114	 0.002582	 0.000860	 216.449951	 16.530521
MN4  	 0.159511	 0.002981	 0.000555	 137.414447	 10.057083
M4   	 0.161023	 0.007052	 0.000649	 164.608501	 5.194027
SN4  	 0.162333	 0.000785	 0.000628	 134.796031	 46.387087
MS4  	 0.163845	 0.003765	 0.000633	 172.904414	 10.624079
MK4  	 0.164073	 0.002257	 0.000759	 259.264253	 19.229001
S4   	 0.166667	 0.000756	 0.000598	 196.988410	 45.853395
SK4  	 0.166895	 0.000148	 0.000566	 244.777863	 180.616373
2MK5 	 0.202804	 0.005122	 0.001103	 80.043426	 13.175903
2SK5 	 0.208447	 0.000214	 0.000739	 68.926841	 169.556574
2MN6 	 0.240022	 0.004563	 0.000736	 41.643900	 8.983329
M6   	 0.241534	 0.008724	 0.000764	 66.351005	 4.779673
2MS6 	 0.244356	 0.007581	 0.000687	 92.192797	 5.167262
2MK6 	 0.244584	 0.001426	 0.000895	 104.421175	 34.505657
2SM6 	 0.247178	 0.001753	 0.000757	 110.436044	 22.669483
MSK6 	 0.247406	 0.000812	 0.000867	 117.581492	 56.009676
3MK7 	 0.283315	 0.000304	 0.000397	 335.197546	 96.138305
M8   	 0.322046	 0.000681	 0.000369	 86.464308	 29.910615
