Harmonics from: 	wlev_7795_31-Dec-2012_02-Jan-2014.csv
Mean 	3.056307
Latitude 	49.337000
Time_Local 	 pred_8 	 pred_all 
31-Dec-2013 00:00:00 	 -1.899768	 -1.893758
31-Dec-2013 01:00:00 	 -1.132442	 -1.113925
31-Dec-2013 02:00:00 	 -0.263228	 -0.245025
31-Dec-2013 03:00:00 	 0.542595	 0.565030
31-Dec-2013 04:00:00 	 1.143655	 1.148914
31-Dec-2013 05:00:00 	 1.454285	 1.414804
31-Dec-2013 06:00:00 	 1.462150	 1.391889
31-Dec-2013 07:00:00 	 1.227438	 1.171194
31-Dec-2013 08:00:00 	 0.863968	 0.840559
31-Dec-2013 09:00:00 	 0.507126	 0.500248
31-Dec-2013 10:00:00 	 0.276891	 0.291279
31-Dec-2013 11:00:00 	 0.245432	 0.319710
31-Dec-2013 12:00:00 	 0.417643	 0.558931
31-Dec-2013 13:00:00 	 0.729679	 0.893224
31-Dec-2013 14:00:00 	 1.065985	 1.216405
31-Dec-2013 15:00:00 	 1.290547	 1.421408
31-Dec-2013 16:00:00 	 1.284421	 1.373315
31-Dec-2013 17:00:00 	 0.979868	 0.990812
31-Dec-2013 18:00:00 	 0.382210	 0.321148
31-Dec-2013 19:00:00 	 -0.426503	 -0.512002
31-Dec-2013 20:00:00 	 -1.303353	 -1.393920
31-Dec-2013 21:00:00 	 -2.076331	 -2.204397
31-Dec-2013 22:00:00 	 -2.584379	 -2.760311
31-Dec-2013 23:00:00 	 -2.715828	 -2.879501
01-Jan-2014 00:00:00 	 -2.435667	 -2.529808
01-Jan-2014 01:00:00 	 -1.794775	 -1.837239
01-Jan-2014 02:00:00 	 -0.918675	 -0.950605
01-Jan-2014 03:00:00 	 0.021526	 0.001054
01-Jan-2014 04:00:00 	 0.848916	 0.845178
01-Jan-2014 05:00:00 	 1.421489	 1.399270
01-Jan-2014 06:00:00 	 1.663770	 1.592439
01-Jan-2014 07:00:00 	 1.581596	 1.488053
01-Jan-2014 08:00:00 	 1.256548	 1.189436
