Mean 	1.847537
Latitude 	48.424666
Constituent 	 freq 	 amp (m) 	 amp error 	 phase (deg PST) 	 phase error 
SA   	 0.000114	 0.041645	 0.031217	 247.953714	 40.212221
SSA  	 0.000228	 0.028171	 0.027331	 315.883930	 59.607785
MSM  	 0.001310	 0.003340	 0.021926	 241.464701	 231.565958
MM   	 0.001512	 0.012052	 0.023158	 204.813776	 130.368664
MSF  	 0.002822	 0.023406	 0.025310	 279.778910	 70.114002
MF   	 0.003050	 0.030265	 0.032421	 142.870720	 56.971960
ALP1 	 0.034397	 0.001099	 0.002558	 63.787868	 141.482082
2Q1  	 0.035706	 0.008844	 0.003295	 141.319653	 22.411765
SIG1 	 0.035909	 0.006138	 0.003241	 152.198526	 30.736133
Q1   	 0.037219	 0.064764	 0.003481	 131.341802	 3.030177
RHO1 	 0.037421	 0.014315	 0.003466	 136.234516	 13.131023
O1   	 0.038731	 0.374245	 0.003379	 136.915617	 0.467407
TAU1 	 0.038959	 0.005026	 0.002458	 234.908400	 29.284934
BET1 	 0.040040	 0.003125	 0.003149	 135.893943	 62.602180
NO1  	 0.040269	 0.019272	 0.003810	 120.736868	 11.751006
CHI1 	 0.040471	 0.004305	 0.003094	 131.903525	 47.291815
PI1  	 0.041439	 0.013241	 0.003175	 158.371779	 13.644403
P1   	 0.041553	 0.194422	 0.002590	 146.501764	 0.928558
S1   	 0.041667	 0.020980	 0.004595	 113.046112	 11.658193
K1   	 0.041781	 0.634286	 0.003420	 149.174749	 0.284849
PSI1 	 0.041895	 0.013127	 0.003042	 163.082806	 13.812293
PHI1 	 0.042009	 0.009797	 0.003122	 144.433206	 16.076551
THE1 	 0.043091	 0.005952	 0.003268	 138.747052	 28.501891
J1   	 0.043293	 0.038854	 0.003188	 168.889389	 5.014858
SO1  	 0.044603	 0.010708	 0.003084	 263.399576	 18.546924
OO1  	 0.044831	 0.025905	 0.005733	 178.592326	 11.564848
UPS1 	 0.046343	 0.002948	 0.004330	 212.754990	 113.283714
OQ2  	 0.075975	 0.002783	 0.002667	 63.716759	 59.937504
EPS2 	 0.076177	 0.005183	 0.002341	 359.735223	 26.845907
2N2  	 0.077487	 0.016580	 0.002271	 54.890299	 8.969931
MU2  	 0.077689	 0.023743	 0.002154	 22.140334	 5.460209
N2   	 0.078999	 0.087442	 0.002300	 61.822505	 1.589800
NU2  	 0.079202	 0.015947	 0.002194	 67.049789	 8.166263
H1   	 0.080397	 0.011620	 0.002398	 18.281434	 12.188367
M2   	 0.080511	 0.374625	 0.002349	 84.326396	 0.361621
H2   	 0.080625	 0.007314	 0.002228	 243.670715	 17.614574
MKS2 	 0.080740	 0.004592	 0.002628	 253.961282	 32.501095
LDA2 	 0.081821	 0.005656	 0.002439	 185.801682	 23.581404
L2   	 0.082024	 0.008573	 0.001880	 170.852660	 12.404904
T2   	 0.083219	 0.004550	 0.002177	 112.767501	 26.398872
S2   	 0.083333	 0.105290	 0.002823	 91.604028	 1.208469
R2   	 0.083447	 0.001221	 0.001592	 101.594343	 96.389176
K2   	 0.083561	 0.018769	 0.003116	 98.893272	 9.540769
MSN2 	 0.084845	 0.003673	 0.002237	 74.751808	 29.824660
ETA2 	 0.085074	 0.002752	 0.002993	 109.593163	 65.234733
MO3  	 0.119242	 0.021681	 0.002836	 35.496881	 6.468624
M3   	 0.120767	 0.005749	 0.002237	 161.876848	 19.389687
SO3  	 0.122064	 0.012987	 0.003092	 37.082409	 11.239328
MK3  	 0.122292	 0.020928	 0.002782	 24.120507	 6.356135
SK3  	 0.125114	 0.009072	 0.002378	 52.664966	 16.919931
MN4  	 0.159511	 0.008172	 0.001328	 330.587487	 8.235211
M4   	 0.161023	 0.017969	 0.001181	 357.357545	 3.457534
SN4  	 0.162333	 0.002337	 0.001159	 345.520869	 28.550770
MS4  	 0.163845	 0.010698	 0.001079	 10.330986	 6.297277
MK4  	 0.164073	 0.005260	 0.001487	 19.178799	 17.375998
S4   	 0.166667	 0.002352	 0.001027	 13.602480	 29.330049
SK4  	 0.166895	 0.002372	 0.001528	 73.702007	 40.036667
2MK5 	 0.202804	 0.011169	 0.001902	 195.205561	 9.518521
2SK5 	 0.208447	 0.001112	 0.001657	 317.846406	 108.924553
2MN6 	 0.240022	 0.008243	 0.000869	 199.970431	 6.969248
M6   	 0.241534	 0.014784	 0.000928	 223.430541	 3.907193
2MS6 	 0.244356	 0.012279	 0.000932	 248.517271	 4.470511
2MK6 	 0.244584	 0.003655	 0.001088	 221.988882	 20.659793
2SM6 	 0.247178	 0.002765	 0.000947	 274.466228	 18.633011
MSK6 	 0.247406	 0.001597	 0.001245	 230.877046	 47.826224
3MK7 	 0.283315	 0.000439	 0.000539	 346.560869	 94.381951
M8   	 0.322046	 0.000498	 0.000442	 311.161926	 50.401968
