Harmonics from: 	wlev_7120_31-Dec-2012_02-Jan-2014.csv
Mean 	1.847537
Latitude 	48.424666
Time_Local 	 pred_8 	 pred_all 
31-Dec-2013 00:00:00 	 -0.380098	 -0.325894
31-Dec-2013 01:00:00 	 -0.011226	 0.028806
31-Dec-2013 02:00:00 	 0.270707	 0.252730
31-Dec-2013 03:00:00 	 0.441574	 0.352614
31-Dec-2013 04:00:00 	 0.508313	 0.424248
31-Dec-2013 05:00:00 	 0.504062	 0.500405
31-Dec-2013 06:00:00 	 0.476637	 0.530244
31-Dec-2013 07:00:00 	 0.473421	 0.522453
31-Dec-2013 08:00:00 	 0.526688	 0.579013
31-Dec-2013 09:00:00 	 0.643256	 0.748046
31-Dec-2013 10:00:00 	 0.801247	 0.943645
31-Dec-2013 11:00:00 	 0.954927	 1.062862
31-Dec-2013 12:00:00 	 1.046484	 1.094639
31-Dec-2013 13:00:00 	 1.021778	 1.048011
31-Dec-2013 14:00:00 	 0.846027	 0.869381
31-Dec-2013 15:00:00 	 0.515336	 0.522562
31-Dec-2013 16:00:00 	 0.060943	 0.062951
31-Dec-2013 17:00:00 	 -0.455131	 -0.446228
31-Dec-2013 18:00:00 	 -0.952195	 -0.989077
31-Dec-2013 19:00:00 	 -1.347961	 -1.495338
31-Dec-2013 20:00:00 	 -1.576503	 -1.793432
31-Dec-2013 21:00:00 	 -1.602735	 -1.762228
31-Dec-2013 22:00:00 	 -1.429889	 -1.468034
31-Dec-2013 23:00:00 	 -1.098155	 -1.069992
01-Jan-2014 00:00:00 	 -0.674844	 -0.645215
01-Jan-2014 01:00:00 	 -0.238506	 -0.208204
01-Jan-2014 02:00:00 	 0.139065	 0.159603
01-Jan-2014 03:00:00 	 0.408507	 0.360883
01-Jan-2014 04:00:00 	 0.552455	 0.435455
01-Jan-2014 05:00:00 	 0.586715	 0.499211
01-Jan-2014 06:00:00 	 0.552966	 0.558504
01-Jan-2014 07:00:00 	 0.505004	 0.545329
01-Jan-2014 08:00:00 	 0.492224	 0.502204
01-Jan-2014 09:00:00 	 0.544687	 0.563445
01-Jan-2014 10:00:00 	 0.663719	 0.753210
01-Jan-2014 11:00:00 	 0.820565	 0.945574
01-Jan-2014 12:00:00 	 0.963500	 1.044097
01-Jan-2014 13:00:00 	 1.031655	 1.065244
01-Jan-2014 14:00:00 	 0.971998	 1.008213
01-Jan-2014 15:00:00 	 0.755097	 0.793443
01-Jan-2014 16:00:00 	 0.385514	 0.396230
01-Jan-2014 17:00:00 	 -0.096012	 -0.098851
01-Jan-2014 18:00:00 	 -0.619365	 -0.628428
01-Jan-2014 19:00:00 	 -1.099369	 -1.184439
01-Jan-2014 20:00:00 	 -1.454229	 -1.672748
01-Jan-2014 21:00:00 	 -1.623651	 -1.898176
01-Jan-2014 22:00:00 	 -1.582212	 -1.769548
01-Jan-2014 23:00:00 	 -1.344726	 -1.407792
02-Jan-2014 00:00:00 	 -0.962300	 -0.978977
02-Jan-2014 01:00:00 	 -0.510080	 -0.528076
02-Jan-2014 02:00:00 	 -0.069735	 -0.070061
02-Jan-2014 03:00:00 	 0.289005	 0.283104
02-Jan-2014 04:00:00 	 0.523232	 0.443662
02-Jan-2014 05:00:00 	 0.624579	 0.494289
02-Jan-2014 06:00:00 	 0.618035	 0.549771
02-Jan-2014 07:00:00 	 0.552355	 0.575483
02-Jan-2014 08:00:00 	 0.484715	 0.504865
02-Jan-2014 09:00:00 	 0.463673	 0.429910
02-Jan-2014 10:00:00 	 0.514906	 0.499394
02-Jan-2014 11:00:00 	 0.633469	 0.694929
02-Jan-2014 12:00:00 	 0.784590	 0.865921
02-Jan-2014 13:00:00 	 0.912840	 0.943880
02-Jan-2014 14:00:00 	 0.957321	 0.963882
02-Jan-2014 15:00:00 	 0.868957	 0.898976
02-Jan-2014 16:00:00 	 0.625391	 0.654585
02-Jan-2014 17:00:00 	 0.239563	 0.234441
02-Jan-2014 18:00:00 	 -0.240395	 -0.257582
02-Jan-2014 19:00:00 	 -0.740107	 -0.774561
02-Jan-2014 20:00:00 	 -1.174708	 -1.309989
02-Jan-2014 21:00:00 	 -1.467604	 -1.739386
02-Jan-2014 22:00:00 	 -1.567685	 -1.867013
02-Jan-2014 23:00:00 	 -1.460775	 -1.655442
03-Jan-2014 00:00:00 	 -1.172535	 -1.263335
03-Jan-2014 01:00:00 	 -0.762134	 -0.830101
03-Jan-2014 02:00:00 	 -0.308282	 -0.368769
03-Jan-2014 03:00:00 	 0.108919	 0.084580
03-Jan-2014 04:00:00 	 0.425823	 0.395127
03-Jan-2014 05:00:00 	 0.608470	 0.508997
03-Jan-2014 06:00:00 	 0.658045	 0.543360
03-Jan-2014 07:00:00 	 0.607419	 0.582548
03-Jan-2014 08:00:00 	 0.509869	 0.553585
03-Jan-2014 09:00:00 	 0.423027	 0.419068
03-Jan-2014 10:00:00 	 0.392285	 0.319844
03-Jan-2014 11:00:00 	 0.437968	 0.391042
03-Jan-2014 12:00:00 	 0.549579	 0.568177
03-Jan-2014 13:00:00 	 0.688577	 0.702891
03-Jan-2014 14:00:00 	 0.798965	 0.763995
03-Jan-2014 15:00:00 	 0.822916	 0.786707
