Harmonics from: ,wlev_7120_31-Dec-2012_02-Jan-2014.csv,
Mean ,1.847537,
Latitude ,48.424666,
Time_Local , pred_8 , pred_all 
31-Dec-2013 00:00:00 ,-0.386911,-0.331673
31-Dec-2013 01:00:00 ,-0.014899,0.025288
31-Dec-2013 02:00:00 ,0.270496,0.251281
31-Dec-2013 03:00:00 ,0.445123,0.35421
31-Dec-2013 04:00:00 ,0.515781,0.429539
31-Dec-2013 05:00:00 ,0.515345,0.509176
31-Dec-2013 06:00:00 ,0.491263,0.542421
31-Dec-2013 07:00:00 ,0.490505,0.538158
31-Dec-2013 08:00:00 ,0.544972,0.597297
31-Dec-2013 09:00:00 ,0.661225,0.766579
31-Dec-2013 10:00:00 ,0.817314,0.960011
31-Dec-2013 11:00:00 ,0.967653,1.075595
31-Dec-2013 12:00:00 ,1.05478,1.10296
31-Dec-2013 13:00:00 ,1.025056,1.051504
31-Dec-2013 14:00:00 ,0.844272,0.868429
31-Dec-2013 15:00:00 ,0.509076,0.518098
31-Dec-2013 16:00:00 ,0.051134,0.055314
31-Dec-2013 17:00:00 ,-0.467279,-0.457073
31-Dec-2013 18:00:00 ,-0.965418,-1.001933
31-Dec-2013 19:00:00 ,-1.361122,-1.507875
31-Dec-2013 20:00:00 ,-1.58872,-1.804315
31-Dec-2013 21:00:00 ,-1.613435,-1.771968
31-Dec-2013 22:00:00 ,-1.43879,-1.477355
31-Dec-2013 23:00:00 ,-1.105187,-1.078279
01-Jan-2014 00:00:00 ,-0.68004,-0.651297
01-Jan-2014 01:00:00 ,-0.241898,-0.2121
01-Jan-2014 02:00:00 ,0.137513,0.156913
01-Jan-2014 03:00:00 ,0.40892,0.35934
01-Jan-2014 04:00:00 ,0.555001,0.436192
01-Jan-2014 05:00:00 ,0.591524,0.50287
01-Jan-2014 06:00:00 ,0.560023,0.5647
01-Jan-2014 07:00:00 ,0.514062,0.553815
01-Jan-2014 08:00:00 ,0.50275,0.513139
01-Jan-2014 09:00:00 ,0.555878,0.576212
01-Jan-2014 10:00:00 ,0.674583,0.765944
01-Jan-2014 11:00:00 ,0.830048,0.956301
01-Jan-2014 12:00:00 ,0.970655,1.0518
01-Jan-2014 13:00:00 ,1.035792,1.069564
01-Jan-2014 14:00:00 ,0.972803,1.008943
01-Jan-2014 15:00:00 ,0.752687,0.790887
01-Jan-2014 16:00:00 ,0.380408,0.391243
01-Jan-2014 17:00:00 ,-0.102988,-0.105659
01-Jan-2014 18:00:00 ,-0.627229,-0.636628
01-Jan-2014 19:00:00 ,-1.107148,-1.192775
01-Jan-2014 20:00:00 ,-1.461118,-1.679445
01-Jan-2014 21:00:00 ,-1.629119,-1.902604
01-Jan-2014 22:00:00 ,-1.586049,-1.772681
01-Jan-2014 23:00:00 ,-1.347017,-1.410619
02-Jan-2014 00:00:00 ,-0.963344,-0.981123
02-Jan-2014 01:00:00 ,-0.510273,-0.528725
02-Jan-2014 02:00:00 ,-0.069449,-0.069732
02-Jan-2014 03:00:00 ,0.289517,0.283084
02-Jan-2014 04:00:00 ,0.523883,0.443301
02-Jan-2014 05:00:00 ,0.625439,0.494902
02-Jan-2014 06:00:00 ,0.619273,0.551827
02-Jan-2014 07:00:00 ,0.554151,0.578189
02-Jan-2014 08:00:00 ,0.487161,0.507907
02-Jan-2014 09:00:00 ,0.466699,0.433978
02-Jan-2014 10:00:00 ,0.518254,0.50461
02-Jan-2014 11:00:00 ,0.636719,0.699959
02-Jan-2014 12:00:00 ,0.787234,0.86921
02-Jan-2014 13:00:00 ,0.914396,0.944913
02-Jan-2014 14:00:00 ,0.95745,0.962696
02-Jan-2014 15:00:00 ,0.867563,0.895445
02-Jan-2014 16:00:00 ,0.622669,0.64903
02-Jan-2014 17:00:00 ,0.235986,0.228026
02-Jan-2014 18:00:00 ,-0.244147,-0.263717
02-Jan-2014 19:00:00 ,-0.743276,-0.779664
02-Jan-2014 20:00:00 ,-1.176606,-1.31299
02-Jan-2014 21:00:00 ,-1.467752,-1.739048
02-Jan-2014 22:00:00 ,-1.565916,-1.863299
02-Jan-2014 23:00:00 ,-1.457271,-1.649854
03-Jan-2014 00:00:00 ,-1.167798,-1.257299
03-Jan-2014 01:00:00 ,-0.756892,-0.823657
03-Jan-2014 02:00:00 ,-0.303347,-0.361761
03-Jan-2014 03:00:00 ,0.112799,0.090789
03-Jan-2014 04:00:00 ,0.428098,0.398797
03-Jan-2014 05:00:00 ,0.608872,0.510344
03-Jan-2014 06:00:00 ,0.656609,0.543779
03-Jan-2014 07:00:00 ,0.604442,0.582006
03-Jan-2014 08:00:00 ,0.505816,0.550893
03-Jan-2014 09:00:00 ,0.418412,0.414419
03-Jan-2014 10:00:00 ,0.387557,0.315026
03-Jan-2014 11:00:00 ,0.433434,0.387006
03-Jan-2014 12:00:00 ,0.54537,0.563987
03-Jan-2014 13:00:00 ,0.684681,0.697448
03-Jan-2014 14:00:00 ,0.795298,0.757373
03-Jan-2014 15:00:00 ,0.819422,0.779247
03-Jan-2014 16:00:00 ,0.714139,0.705856
03-Jan-2014 17:00:00 ,0.464672,0.448911
03-Jan-2014 18:00:00 ,0.090779,0.046183
03-Jan-2014 19:00:00 ,-0.355478,-0.399614
03-Jan-2014 20:00:00 ,-0.800171,-0.865763
03-Jan-2014 21:00:00 ,-1.163698,-1.335917
03-Jan-2014 22:00:00 ,-1.378772,-1.664244
03-Jan-2014 23:00:00 ,-1.405817,-1.685608
04-Jan-2014 00:00:00 ,-1.242003,-1.420077
04-Jan-2014 01:00:00 ,-0.921725,-1.02972
04-Jan-2014 02:00:00 ,-0.508441,-0.608074
04-Jan-2014 03:00:00 ,-0.079909,-0.155928
04-Jan-2014 04:00:00 ,0.289524,0.258425
04-Jan-2014 05:00:00 ,0.54526,0.502476
04-Jan-2014 06:00:00 ,0.663475,0.570945
04-Jan-2014 07:00:00 ,0.654269,0.588634
04-Jan-2014 08:00:00 ,0.556373,0.588804
04-Jan-2014 09:00:00 ,0.424968,0.483213
04-Jan-2014 10:00:00 ,0.315853,0.286275
04-Jan-2014 11:00:00 ,0.270075,0.167994
04-Jan-2014 12:00:00 ,0.30297,0.224943
04-Jan-2014 13:00:00 ,0.400354,0.360495
04-Jan-2014 14:00:00 ,0.522791,0.45335
04-Jan-2014 15:00:00 ,0.616757,0.503217
04-Jan-2014 16:00:00 ,0.629776,0.529117
04-Jan-2014 17:00:00 ,0.525598,0.455682
04-Jan-2014 18:00:00 ,0.295465,0.217974
04-Jan-2014 19:00:00 ,-0.037474,-0.124806
04-Jan-2014 20:00:00 ,-0.42183,-0.490157
04-Jan-2014 21:00:00 ,-0.788892,-0.873952
04-Jan-2014 22:00:00 ,-1.068154,-1.244535
04-Jan-2014 23:00:00 ,-1.203659,-1.456899
05-Jan-2014 00:00:00 ,-1.167122,-1.393948
05-Jan-2014 01:00:00 ,-0.964651,-1.110919
05-Jan-2014 02:00:00 ,-0.635409,-0.743441
05-Jan-2014 03:00:00 ,-0.242595,-0.346665
05-Jan-2014 04:00:00 ,0.141029,0.070034
05-Jan-2014 05:00:00 ,0.449508,0.418886
05-Jan-2014 06:00:00 ,0.638005,0.594897
05-Jan-2014 07:00:00 ,0.691625,0.62856
05-Jan-2014 08:00:00 ,0.626777,0.621125
05-Jan-2014 09:00:00 ,0.484911,0.562065
05-Jan-2014 10:00:00 ,0.320417,0.379634
05-Jan-2014 11:00:00 ,0.185835,0.136523
05-Jan-2014 12:00:00 ,0.118157,-0.000928
05-Jan-2014 13:00:00 ,0.129668,0.021795
05-Jan-2014 14:00:00 ,0.205553,0.104795
05-Jan-2014 15:00:00 ,0.308755,0.163082
05-Jan-2014 16:00:00 ,0.390751,0.208292
05-Jan-2014 17:00:00 ,0.405388,0.239673
05-Jan-2014 18:00:00 ,0.322197,0.182821
05-Jan-2014 19:00:00 ,0.135747,-0.000883
05-Jan-2014 20:00:00 ,-0.131381,-0.251346
05-Jan-2014 21:00:00 ,-0.432811,-0.513673
05-Jan-2014 22:00:00 ,-0.708754,-0.791116
05-Jan-2014 23:00:00 ,-0.900025,-1.042204
06-Jan-2014 00:00:00 ,-0.962223,-1.145158
06-Jan-2014 01:00:00 ,-0.876586,-1.029015
06-Jan-2014 02:00:00 ,-0.654854,-0.755291
06-Jan-2014 03:00:00 ,-0.336961,-0.422569
06-Jan-2014 04:00:00 ,0.017869,-0.066258
06-Jan-2014 05:00:00 ,0.344448,0.289843
06-Jan-2014 06:00:00 ,0.586123,0.559989
06-Jan-2014 07:00:00 ,0.706987,0.67416
06-Jan-2014 08:00:00 ,0.698907,0.674169
06-Jan-2014 09:00:00 ,0.581829,0.625142
06-Jan-2014 10:00:00 ,0.397428,0.496501
06-Jan-2014 11:00:00 ,0.197849,0.249601
06-Jan-2014 12:00:00 ,0.032404,-0.026163
06-Jan-2014 13:00:00 ,-0.06444,-0.188886
06-Jan-2014 14:00:00 ,-0.080856,-0.211005
06-Jan-2014 15:00:00 ,-0.029392,-0.175368
06-Jan-2014 16:00:00 ,0.057618,-0.139064
06-Jan-2014 17:00:00 ,0.137691,-0.092414
06-Jan-2014 18:00:00 ,0.170325,-0.046208
06-Jan-2014 19:00:00 ,0.128494,-0.06168
06-Jan-2014 20:00:00 ,0.006575,-0.16344
06-Jan-2014 21:00:00 ,-0.177314,-0.30682
06-Jan-2014 22:00:00 ,-0.385141,-0.458562
06-Jan-2014 23:00:00 ,-0.568026,-0.620885
07-Jan-2014 00:00:00 ,-0.678256,-0.75551
07-Jan-2014 01:00:00 ,-0.681307,-0.774892
07-Jan-2014 02:00:00 ,-0.564848,-0.637198
07-Jan-2014 03:00:00 ,-0.342541,-0.389695
07-Jan-2014 04:00:00 ,-0.051652,-0.100621
07-Jan-2014 05:00:00 ,0.254934,0.199586
07-Jan-2014 06:00:00 ,0.520397,0.480559
07-Jan-2014 07:00:00 ,0.696556,0.673121
07-Jan-2014 08:00:00 ,0.754346,0.732378
07-Jan-2014 09:00:00 ,0.689745,0.692542
07-Jan-2014 10:00:00 ,0.523835,0.590247
07-Jan-2014 11:00:00 ,0.297083,0.396794
07-Jan-2014 12:00:00 ,0.059334,0.102784
07-Jan-2014 13:00:00 ,-0.141998,-0.198492
07-Jan-2014 14:00:00 ,-0.272664,-0.390537
07-Jan-2014 15:00:00 ,-0.318702,-0.452984
07-Jan-2014 16:00:00 ,-0.288331,-0.447897
07-Jan-2014 17:00:00 ,-0.208287,-0.418743
07-Jan-2014 18:00:00 ,-0.115698,-0.359684
07-Jan-2014 19:00:00 ,-0.047603,-0.280154
07-Jan-2014 20:00:00 ,-0.030805,-0.231169
07-Jan-2014 21:00:00 ,-0.074614,-0.240356
07-Jan-2014 22:00:00 ,-0.168281,-0.281366
07-Jan-2014 23:00:00 ,-0.283721,-0.329858
08-Jan-2014 00:00:00 ,-0.38284,-0.386109
