Mean 	3.056307
Latitude 	49.337000
Constituent 	 freq 	 amp (m) 	 amp error 	 phase (deg PST) 	 phase error 
SA   	 0.000114	 0.060376	 0.031952	 215.498740	 31.322981
SSA  	 0.000228	 0.026848	 0.025706	 302.668128	 67.367145
MSM  	 0.001310	 0.006373	 0.021133	 283.327637	 194.590434
MM   	 0.001512	 0.006420	 0.022101	 222.814135	 186.726284
MSF  	 0.002822	 0.023518	 0.029966	 302.013503	 86.395551
MF   	 0.003050	 0.037547	 0.033190	 139.111735	 49.830416
ALP1 	 0.034397	 0.001267	 0.004077	 208.073937	 190.162279
2Q1  	 0.035706	 0.009950	 0.005824	 152.583481	 38.512326
SIG1 	 0.035909	 0.011072	 0.004918	 199.061938	 27.671637
Q1   	 0.037219	 0.080655	 0.006252	 150.429319	 4.194674
RHO1 	 0.037421	 0.018309	 0.005087	 164.320109	 15.293652
O1   	 0.038731	 0.478466	 0.005800	 153.200937	 0.691029
TAU1 	 0.038959	 0.019668	 0.004508	 250.349418	 12.945422
BET1 	 0.040040	 0.007749	 0.005317	 128.214809	 44.119330
NO1  	 0.040269	 0.019338	 0.005459	 162.935461	 20.354038
CHI1 	 0.040471	 0.005132	 0.005985	 144.287419	 59.286521
PI1  	 0.041439	 0.015791	 0.005249	 166.047886	 18.461840
P1   	 0.041553	 0.266712	 0.004671	 165.077797	 1.222637
S1   	 0.041667	 0.039819	 0.006475	 105.898713	 9.711282
K1   	 0.041781	 0.863979	 0.005256	 166.624056	 0.348504
PSI1 	 0.041895	 0.021868	 0.004567	 155.669394	 14.049950
PHI1 	 0.042009	 0.015153	 0.004806	 161.709233	 16.669433
THE1 	 0.043091	 0.003752	 0.004522	 170.532244	 89.329831
J1   	 0.043293	 0.055170	 0.005698	 196.223906	 6.128932
SO1  	 0.044603	 0.032697	 0.004868	 277.418845	 8.879267
OO1  	 0.044831	 0.040031	 0.008659	 202.073914	 14.030993
UPS1 	 0.046343	 0.002823	 0.006493	 243.826385	 140.589157
OQ2  	 0.075975	 0.005365	 0.002346	 86.922334	 28.547398
EPS2 	 0.076177	 0.003184	 0.002090	 35.501937	 38.200259
2N2  	 0.077487	 0.030131	 0.002052	 107.980963	 4.537454
MU2  	 0.077689	 0.019309	 0.001734	 70.800925	 5.716610
N2   	 0.078999	 0.191780	 0.002017	 136.883178	 0.596772
NU2  	 0.079202	 0.038432	 0.002050	 140.393950	 3.085346
H1   	 0.080397	 0.003851	 0.002003	 332.351194	 30.916860
M2   	 0.080511	 0.920950	 0.002264	 158.764071	 0.111798
H2   	 0.080625	 0.011427	 0.002089	 158.522466	 10.856947
MKS2 	 0.080740	 0.006566	 0.002562	 250.599281	 20.399797
LDA2 	 0.081821	 0.010066	 0.002151	 188.360446	 10.861595
L2   	 0.082024	 0.024896	 0.001802	 188.901420	 3.701232
T2   	 0.083219	 0.015822	 0.002128	 172.251148	 7.135850
S2   	 0.083333	 0.233272	 0.002299	 179.598391	 0.509170
R2   	 0.083447	 0.000654	 0.001195	 340.828976	 127.666604
K2   	 0.083561	 0.061505	 0.002460	 181.073233	 2.163836
MSN2 	 0.084845	 0.002052	 0.002054	 13.915255	 50.947649
ETA2 	 0.085074	 0.005299	 0.003407	 177.524951	 30.719145
MO3  	 0.119242	 0.001659	 0.000768	 318.429659	 30.581513
M3   	 0.120767	 0.001331	 0.000800	 23.947658	 32.047995
SO3  	 0.122064	 0.001837	 0.000766	 153.522194	 24.539170
MK3  	 0.122292	 0.006299	 0.000748	 173.904122	 7.106955
SK3  	 0.125114	 0.002582	 0.000727	 216.449951	 15.139568
MN4  	 0.159511	 0.002981	 0.000603	 137.414447	 13.742625
M4   	 0.161023	 0.007052	 0.000544	 164.608501	 5.158288
SN4  	 0.162333	 0.000785	 0.000686	 134.796031	 46.649822
MS4  	 0.163845	 0.003765	 0.000663	 172.904414	 11.395447
MK4  	 0.164073	 0.002257	 0.000736	 259.264253	 19.840320
S4   	 0.166667	 0.000756	 0.000575	 196.988410	 49.964372
SK4  	 0.166895	 0.000148	 0.000511	 244.777863	 217.575949
2MK5 	 0.202804	 0.005122	 0.001104	 80.043426	 11.632801
2SK5 	 0.208447	 0.000214	 0.000721	 68.926841	 212.022668
2MN6 	 0.240022	 0.004563	 0.000657	 41.643900	 7.786954
M6   	 0.241534	 0.008724	 0.000698	 66.351005	 4.597630
2MS6 	 0.244356	 0.007581	 0.000842	 92.192797	 4.956924
2MK6 	 0.244584	 0.001426	 0.000881	 104.421175	 33.935105
2SM6 	 0.247178	 0.001753	 0.000697	 110.436044	 22.440825
MSK6 	 0.247406	 0.000812	 0.000850	 117.581492	 62.091947
3MK7 	 0.283315	 0.000304	 0.000400	 335.197546	 91.658475
M8   	 0.322046	 0.000681	 0.000356	 86.464308	 31.367367
