Harmonics from: ,wlev_7795_31-Dec-2012_02-Jan-2014.csv,
Mean ,3.056307,
Latitude ,49.337,
Time_Local , pred_8 , pred_all 
31-Dec-2013 00:00:00 ,-1.908045,-1.900857
31-Dec-2013 01:00:00 ,-1.136872,-1.118943
31-Dec-2013 02:00:00 ,-0.264595,-0.24849
31-Dec-2013 03:00:00 ,0.543853,0.562661
31-Dec-2013 04:00:00 ,1.147568,1.148126
31-Dec-2013 05:00:00 ,1.46128,1.417136
31-Dec-2013 06:00:00 ,1.472824,1.398876
31-Dec-2013 07:00:00 ,1.242226,1.183624
31-Dec-2013 08:00:00 ,0.882817,0.85857
31-Dec-2013 09:00:00 ,0.52927,0.523404
31-Dec-2013 10:00:00 ,0.300786,0.317957
31-Dec-2013 11:00:00 ,0.2689,0.34671
31-Dec-2013 12:00:00 ,0.438183,0.582585
31-Dec-2013 13:00:00 ,0.744898,0.910835
31-Dec-2013 14:00:00 ,1.074035,1.226144
31-Dec-2013 15:00:00 ,1.290484,1.421957
31-Dec-2013 16:00:00 ,1.276386,1.364851
31-Dec-2013 17:00:00 ,0.965073,0.975573
31-Dec-2013 18:00:00 ,0.362705,0.302057
31-Dec-2013 19:00:00 ,-0.448211,-0.532808
31-Dec-2013 20:00:00 ,-1.324744,-1.414732
31-Dec-2013 21:00:00 ,-2.095289,-2.222962
31-Dec-2013 22:00:00 ,-2.599492,-2.774481
31-Dec-2013 23:00:00 ,-2.726509,-2.888984
01-Jan-2014 00:00:00 ,-2.442096,-2.536181
01-Jan-2014 01:00:00 ,-1.797676,-1.841968
01-Jan-2014 02:00:00 ,-0.919006,-0.954149
01-Jan-2014 03:00:00 ,0.022885,-0.001618
01-Jan-2014 04:00:00 ,0.851405,0.843091
01-Jan-2014 05:00:00 ,1.424981,1.398387
01-Jan-2014 06:00:00 ,1.668523,1.594209
01-Jan-2014 07:00:00 ,1.588083,1.493719
01-Jan-2014 08:00:00 ,1.265207,1.199463
01-Jan-2014 09:00:00 ,0.832611,0.798561
01-Jan-2014 10:00:00 ,0.437506,0.40992
01-Jan-2014 11:00:00 ,0.202003,0.198343
01-Jan-2014 12:00:00 ,0.190748,0.258431
01-Jan-2014 13:00:00 ,0.394089,0.529377
01-Jan-2014 14:00:00 ,0.731113,0.882515
01-Jan-2014 15:00:00 ,1.071806,1.214243
01-Jan-2014 16:00:00 ,1.272681,1.404921
01-Jan-2014 17:00:00 ,1.216729,1.306366
01-Jan-2014 18:00:00 ,0.847363,0.853052
01-Jan-2014 19:00:00 ,0.187484,0.121504
01-Jan-2014 20:00:00 ,-0.661513,-0.754889
01-Jan-2014 21:00:00 ,-1.540902,-1.662319
01-Jan-2014 22:00:00 ,-2.27095,-2.460646
01-Jan-2014 23:00:00 ,-2.693518,-2.940034
02-Jan-2014 00:00:00 ,-2.710357,-2.932577
02-Jan-2014 01:00:00 ,-2.30754,-2.455781
02-Jan-2014 02:00:00 ,-1.559832,-1.6638
02-Jan-2014 03:00:00 ,-0.613806,-0.702418
02-Jan-2014 04:00:00 ,0.346206,0.290071
02-Jan-2014 05:00:00 ,1.140974,1.116318
02-Jan-2014 06:00:00 ,1.637448,1.596364
02-Jan-2014 07:00:00 ,1.777986,1.69536
02-Jan-2014 08:00:00 ,1.590595,1.504021
02-Jan-2014 09:00:00 ,1.177862,1.125144
02-Jan-2014 10:00:00 ,0.687604,0.649144
02-Jan-2014 11:00:00 ,0.27284,0.220625
02-Jan-2014 12:00:00 ,0.051364,0.017709
02-Jan-2014 13:00:00 ,0.075221,0.108858
02-Jan-2014 14:00:00 ,0.317871,0.403794
02-Jan-2014 15:00:00 ,0.682247,0.774334
02-Jan-2014 16:00:00 ,1.027623,1.11948
02-Jan-2014 17:00:00 ,1.208341,1.302211
02-Jan-2014 18:00:00 ,1.114426,1.168786
02-Jan-2014 19:00:00 ,0.703585,0.678817
02-Jan-2014 20:00:00 ,0.016214,-0.068574
02-Jan-2014 21:00:00 ,-0.830641,-0.942503
02-Jan-2014 22:00:00 ,-1.669154,-1.829524
02-Jan-2014 23:00:00 ,-2.320107,-2.566948
03-Jan-2014 00:00:00 ,-2.636071,-2.933848
03-Jan-2014 01:00:00 ,-2.5376,-2.797073
03-Jan-2014 02:00:00 ,-2.033371,-2.220706
03-Jan-2014 03:00:00 ,-1.219183,-1.367963
03-Jan-2014 04:00:00 ,-0.25597,-0.375677
03-Jan-2014 05:00:00 ,0.667753,0.604077
03-Jan-2014 06:00:00 ,1.379761,1.358615
03-Jan-2014 07:00:00 ,1.763467,1.72969
03-Jan-2014 08:00:00 ,1.783128,1.72111
03-Jan-2014 09:00:00 ,1.48881,1.436667
03-Jan-2014 10:00:00 ,1.000167,0.973031
03-Jan-2014 11:00:00 ,0.473363,0.431249
03-Jan-2014 12:00:00 ,0.059673,-0.02093
03-Jan-2014 13:00:00 ,-0.133664,-0.210288
03-Jan-2014 14:00:00 ,-0.070421,-0.101491
03-Jan-2014 15:00:00 ,0.206578,0.200481
03-Jan-2014 16:00:00 ,0.588275,0.5791
03-Jan-2014 17:00:00 ,0.929653,0.93171
03-Jan-2014 18:00:00 ,1.089615,1.105529
03-Jan-2014 19:00:00 ,0.970195,0.955717
03-Jan-2014 20:00:00 ,0.544961,0.470971
03-Jan-2014 21:00:00 ,-0.130754,-0.241109
03-Jan-2014 22:00:00 ,-0.930581,-1.06181
03-Jan-2014 23:00:00 ,-1.686263,-1.874925
04-Jan-2014 00:00:00 ,-2.228032,-2.501247
04-Jan-2014 01:00:00 ,-2.426135,-2.73189
04-Jan-2014 02:00:00 ,-2.223134,-2.481014
04-Jan-2014 03:00:00 ,-1.648894,-1.844285
04-Jan-2014 04:00:00 ,-0.814461,-0.975988
04-Jan-2014 05:00:00 ,0.11366,-0.004025
04-Jan-2014 06:00:00 ,0.952483,0.906266
04-Jan-2014 07:00:00 ,1.545126,1.544495
04-Jan-2014 08:00:00 ,1.796534,1.788249
04-Jan-2014 09:00:00 ,1.693614,1.67149
04-Jan-2014 10:00:00 ,1.305034,1.297303
04-Jan-2014 11:00:00 ,0.761008,0.757574
04-Jan-2014 12:00:00 ,0.218408,0.167793
04-Jan-2014 13:00:00 ,-0.179845,-0.293855
04-Jan-2014 14:00:00 ,-0.340839,-0.474531
04-Jan-2014 15:00:00 ,-0.244129,-0.366139
04-Jan-2014 16:00:00 ,0.054928,-0.07129
04-Jan-2014 17:00:00 ,0.441592,0.307928
04-Jan-2014 18:00:00 ,0.773535,0.66272
04-Jan-2014 19:00:00 ,0.919781,0.834103
04-Jan-2014 20:00:00 ,0.796752,0.698926
04-Jan-2014 21:00:00 ,0.392183,0.268327
04-Jan-2014 22:00:00 ,-0.229248,-0.357595
04-Jan-2014 23:00:00 ,-0.940085,-1.075508
05-Jan-2014 00:00:00 ,-1.580547,-1.765503
05-Jan-2014 01:00:00 ,-1.997652,-2.24721
05-Jan-2014 02:00:00 ,-2.083228,-2.344101
05-Jan-2014 03:00:00 ,-1.801299,-2.014948
05-Jan-2014 04:00:00 ,-1.197982,-1.365765
05-Jan-2014 05:00:00 ,-0.391438,-0.531574
05-Jan-2014 06:00:00 ,0.455632,0.366055
05-Jan-2014 07:00:00 ,1.17413,1.156872
05-Jan-2014 08:00:00 ,1.627929,1.650962
05-Jan-2014 09:00:00 ,1.744799,1.76426
05-Jan-2014 10:00:00 ,1.531413,1.546766
05-Jan-2014 11:00:00 ,1.068967,1.093993
05-Jan-2014 12:00:00 ,0.490773,0.497131
05-Jan-2014 13:00:00 ,-0.052322,-0.118659
05-Jan-2014 14:00:00 ,-0.429936,-0.580842
05-Jan-2014 15:00:00 ,-0.564018,-0.761789
05-Jan-2014 16:00:00 ,-0.446727,-0.666748
05-Jan-2014 17:00:00 ,-0.140058,-0.385412
05-Jan-2014 18:00:00 ,0.242424,-0.009296
05-Jan-2014 19:00:00 ,0.566881,0.347483
05-Jan-2014 20:00:00 ,0.715415,0.533299
05-Jan-2014 21:00:00 ,0.617954,0.450847
05-Jan-2014 22:00:00 ,0.271687,0.119392
05-Jan-2014 23:00:00 ,-0.256843,-0.37961
06-Jan-2014 00:00:00 ,-0.847509,-0.956639
06-Jan-2014 01:00:00 ,-1.356225,-1.492904
06-Jan-2014 02:00:00 ,-1.650984,-1.825052
06-Jan-2014 03:00:00 ,-1.645247,-1.817436
06-Jan-2014 04:00:00 ,-1.32034,-1.45844
