Mean 	2.846286
Latitude 	50.042000
Constituent 	 freq 	 amp (m) 	 amp error 	 phase (deg PST) 	 phase error 
SA   	 0.000114	 0.053032	 0.036255	 317.616276	 40.258527
SSA  	 0.000228	 0.070271	 0.038911	 235.988804	 31.076854
MSM  	 0.001310	 0.005373	 0.022984	 314.905466	 196.471788
MM   	 0.001512	 0.053926	 0.034571	 208.606871	 36.618675
MSF  	 0.002822	 0.016538	 0.029653	 152.850485	 109.513522
MF   	 0.003050	 0.053591	 0.035504	 139.420325	 37.750823
ALP1 	 0.034397	 0.005532	 0.003632	 250.385781	 38.444102
2Q1  	 0.035706	 0.006206	 0.003914	 161.098398	 34.025714
SIG1 	 0.035909	 0.010889	 0.003369	 205.850251	 23.767425
Q1   	 0.037219	 0.079988	 0.003959	 145.811489	 2.649444
RHO1 	 0.037421	 0.013073	 0.003529	 162.977995	 17.720216
O1   	 0.038731	 0.476615	 0.003682	 150.399185	 0.503461
TAU1 	 0.038959	 0.030480	 0.006088	 233.602714	 11.435660
BET1 	 0.040040	 0.005210	 0.003527	 117.150373	 40.605272
NO1  	 0.040269	 0.062473	 0.006848	 176.232817	 5.849781
CHI1 	 0.040471	 0.005870	 0.003853	 165.808221	 36.502581
PI1  	 0.041439	 0.014658	 0.005313	 162.327141	 18.163049
P1   	 0.041553	 0.261042	 0.004221	 162.138902	 1.004570
S1   	 0.041667	 0.040044	 0.006775	 122.605793	 10.954626
K1   	 0.041781	 0.837069	 0.004061	 163.230695	 0.285627
PSI1 	 0.041895	 0.009287	 0.004075	 165.670487	 26.453663
PHI1 	 0.042009	 0.016050	 0.004485	 164.174845	 19.342746
THE1 	 0.043091	 0.006080	 0.003955	 232.573579	 39.321609
J1   	 0.043293	 0.041575	 0.003597	 184.363565	 5.006740
SO1  	 0.044603	 0.025918	 0.003842	 276.880212	 8.020804
OO1  	 0.044831	 0.033570	 0.003129	 199.652823	 5.188176
UPS1 	 0.046343	 0.004997	 0.002774	 243.574139	 32.351265
OQ2  	 0.075975	 0.003759	 0.001772	 36.736190	 27.257229
EPS2 	 0.076177	 0.005133	 0.002051	 16.316732	 20.711426
2N2  	 0.077487	 0.020324	 0.001908	 76.191784	 5.170506
MU2  	 0.077689	 0.025894	 0.002114	 52.703492	 4.278807
N2   	 0.078999	 0.165971	 0.002219	 119.043275	 0.704320
NU2  	 0.079202	 0.031809	 0.002123	 124.150331	 3.441732
H1   	 0.080397	 0.004350	 0.001994	 311.483985	 27.663901
M2   	 0.080511	 0.771334	 0.002307	 142.267270	 0.153241
H2   	 0.080625	 0.004864	 0.002215	 181.614502	 23.397715
MKS2 	 0.080740	 0.005637	 0.001774	 241.565566	 16.099194
LDA2 	 0.081821	 0.008919	 0.002287	 187.198235	 14.429101
L2   	 0.082024	 0.021187	 0.001718	 168.957857	 4.209743
T2   	 0.083219	 0.012420	 0.002007	 150.175996	 10.086820
S2   	 0.083333	 0.200625	 0.002272	 156.318732	 0.607148
R2   	 0.083447	 0.001438	 0.001648	 97.344933	 71.611509
K2   	 0.083561	 0.050327	 0.001596	 158.062656	 1.932861
MSN2 	 0.084845	 0.003965	 0.001936	 34.565253	 37.287377
ETA2 	 0.085074	 0.002562	 0.001398	 158.971849	 31.052461
MO3  	 0.119242	 0.014570	 0.002592	 189.062873	 10.095536
M3   	 0.120767	 0.001474	 0.002232	 144.343581	 107.219117
SO3  	 0.122064	 0.011900	 0.002652	 210.239407	 11.510138
MK3  	 0.122292	 0.029895	 0.002489	 230.030733	 4.881733
SK3  	 0.125114	 0.007775	 0.002399	 203.900813	 18.298444
MN4  	 0.159511	 0.026193	 0.003244	 240.788564	 8.809807
M4   	 0.161023	 0.072815	 0.004175	 272.414687	 2.970957
SN4  	 0.162333	 0.005909	 0.003611	 219.037816	 32.501109
MS4  	 0.163845	 0.035120	 0.003555	 288.322909	 6.207155
MK4  	 0.164073	 0.014621	 0.002950	 296.238018	 11.848380
S4   	 0.166667	 0.003247	 0.003381	 258.453210	 57.449740
SK4  	 0.166895	 0.004363	 0.002596	 264.840170	 37.602937
2MK5 	 0.202804	 0.009580	 0.003362	 249.303054	 22.226030
2SK5 	 0.208447	 0.001133	 0.002483	 146.163503	 158.876459
2MN6 	 0.240022	 0.010173	 0.002132	 243.437486	 10.993128
M6   	 0.241534	 0.017563	 0.001927	 265.599761	 5.581874
2MS6 	 0.244356	 0.016817	 0.001934	 286.671594	 6.437553
2MK6 	 0.244584	 0.005872	 0.001527	 335.996389	 15.109603
2SM6 	 0.247178	 0.003849	 0.001802	 299.892503	 29.837459
MSK6 	 0.247406	 0.002723	 0.001428	 317.947339	 35.396619
3MK7 	 0.283315	 0.009783	 0.002411	 249.306315	 15.700974
M8   	 0.322046	 0.008365	 0.001944	 262.432375	 10.727259
