Harmonics from: ,wlev_8074_31-Dec-2004_02-Jan-2006.csv,
Mean ,2.882884,
Latitude ,50.042,
Time_Local , pred_8 , pred_all 
31-Dec-2005 00:00:00 ,-2.388403,-2.364912
31-Dec-2005 01:00:00 ,-1.775082,-1.871924
31-Dec-2005 02:00:00 ,-0.982154,-0.983403
31-Dec-2005 03:00:00 ,-0.149588,-0.007682
31-Dec-2005 04:00:00 ,0.585733,0.77006
31-Dec-2005 05:00:00 ,1.11988,1.282602
31-Dec-2005 06:00:00 ,1.402956,1.489907
31-Dec-2005 07:00:00 ,1.446379,1.41167
31-Dec-2005 08:00:00 ,1.3148,1.206931
31-Dec-2005 09:00:00 ,1.105018,1.031822
31-Dec-2005 10:00:00 ,0.917469,0.971417
31-Dec-2005 11:00:00 ,0.827761,1.026963
31-Dec-2005 12:00:00 ,0.86565,1.105518
31-Dec-2005 13:00:00 ,1.006927,1.181289
31-Dec-2005 14:00:00 ,1.180342,1.325728
31-Dec-2005 15:00:00 ,1.287804,1.477716
31-Dec-2005 16:00:00 ,1.232642,1.446669
31-Dec-2005 17:00:00 ,0.948578,1.131717
31-Dec-2005 18:00:00 ,0.421769,0.552262
31-Dec-2005 19:00:00 ,-0.299988,-0.215162
31-Dec-2005 20:00:00 ,-1.113655,-1.056234
31-Dec-2005 21:00:00 ,-1.881724,-1.831348
31-Dec-2005 22:00:00 ,-2.462487,-2.368157
31-Dec-2005 23:00:00 ,-2.742479,-2.57935
01-Jan-2006 00:00:00 ,-2.663091,-2.561406
01-Jan-2006 01:00:00 ,-2.234766,-2.330191
01-Jan-2006 02:00:00 ,-1.535185,-1.706249
01-Jan-2006 03:00:00 ,-0.691822,-0.729238
01-Jan-2006 04:00:00 ,0.146901,0.245449
01-Jan-2006 05:00:00 ,0.84481,0.976189
01-Jan-2006 06:00:00 ,1.30744,1.414311
01-Jan-2006 07:00:00 ,1.500617,1.517541
01-Jan-2006 08:00:00 ,1.453816,1.345784
01-Jan-2006 09:00:00 ,1.247758,1.091196
01-Jan-2006 10:00:00 ,0.989679,0.90366
01-Jan-2006 11:00:00 ,0.782791,0.849977
01-Jan-2006 12:00:00 ,0.697857,0.904457
01-Jan-2006 13:00:00 ,0.754207,0.967286
01-Jan-2006 14:00:00 ,0.915068,1.045586
01-Jan-2006 15:00:00 ,1.098375,1.21843
01-Jan-2006 16:00:00 ,1.200248,1.38556
01-Jan-2006 17:00:00 ,1.125011,1.337917
01-Jan-2006 18:00:00 ,0.813955,0.993058
01-Jan-2006 19:00:00 ,0.265252,0.386538
01-Jan-2006 20:00:00 ,-0.46033,-0.400464
01-Jan-2006 21:00:00 ,-1.249708,-1.242129
01-Jan-2006 22:00:00 ,-1.961496,-1.973269
01-Jan-2006 23:00:00 ,-2.458,-2.4231
02-Jan-2006 00:00:00 ,-2.637335,-2.555378
02-Jan-2006 01:00:00 ,-2.457757,-2.479712
02-Jan-2006 02:00:00 ,-1.948127,-2.159396
02-Jan-2006 03:00:00 ,-1.201878,-1.428533
02-Jan-2006 04:00:00 ,-0.355919,-0.414841
02-Jan-2006 05:00:00 ,0.440395,0.515285
02-Jan-2006 06:00:00 ,1.058608,1.172205
02-Jan-2006 07:00:00 ,1.41874,1.513098
02-Jan-2006 08:00:00 ,1.504442,1.502539
02-Jan-2006 09:00:00 ,1.362266,1.247291
02-Jan-2006 10:00:00 ,1.085547,0.952897
02-Jan-2006 11:00:00 ,0.787261,0.745313
02-Jan-2006 12:00:00 ,0.568921,0.674084
02-Jan-2006 13:00:00 ,0.493527,0.699496
02-Jan-2006 14:00:00 ,0.569442,0.731442
02-Jan-2006 15:00:00 ,0.749262,0.811306
02-Jan-2006 16:00:00 ,0.943858,1.011145
02-Jan-2006 17:00:00 ,1.047889,1.190285
02-Jan-2006 18:00:00 ,0.970146,1.136575
02-Jan-2006 19:00:00 ,0.660809,0.790991
02-Jan-2006 20:00:00 ,0.128493,0.196679
02-Jan-2006 21:00:00 ,-0.557497,-0.563522
02-Jan-2006 22:00:00 ,-1.280536,-1.350068
02-Jan-2006 23:00:00 ,-1.902537,-1.985422
03-Jan-2006 00:00:00 ,-2.296011,-2.324063
03-Jan-2006 01:00:00 ,-2.374406,-2.377303
03-Jan-2006 02:00:00 ,-2.113215,-2.242761
03-Jan-2006 03:00:00 ,-1.55659,-1.83839
03-Jan-2006 04:00:00 ,-0.807785,-1.039009
03-Jan-2006 05:00:00 ,-0.005747,-0.045123
03-Jan-2006 06:00:00 ,0.706414,0.800628
03-Jan-2006 07:00:00 ,1.213377,1.359224
