Harmonics from: 	wlev_8074_31-Dec-2007_02-Jan-2009.csv
Mean 	2.846286
Latitude 	50.042000
Time_Local 	 pred_8 	 pred_all 
31-Dec-2008 00:00:00 	 -1.841412	 -1.686674
31-Dec-2008 01:00:00 	 -1.858961	 -1.673618
31-Dec-2008 02:00:00 	 -1.616455	 -1.510096
31-Dec-2008 03:00:00 	 -1.149132	 -1.166111
31-Dec-2008 04:00:00 	 -0.537364	 -0.543768
31-Dec-2008 05:00:00 	 0.111144	 0.221430
31-Dec-2008 06:00:00 	 0.685475	 0.858293
31-Dec-2008 07:00:00 	 1.096025	 1.274692
31-Dec-2008 08:00:00 	 1.293441	 1.455571
31-Dec-2008 09:00:00 	 1.277438	 1.352338
31-Dec-2008 10:00:00 	 1.093513	 1.061822
31-Dec-2008 11:00:00 	 0.818646	 0.768732
31-Dec-2008 12:00:00 	 0.539828	 0.546042
31-Dec-2008 13:00:00 	 0.330992	 0.414573
31-Dec-2008 14:00:00 	 0.234280	 0.376906
31-Dec-2008 15:00:00 	 0.250361	 0.378572
31-Dec-2008 16:00:00 	 0.340169	 0.421079
31-Dec-2008 17:00:00 	 0.437428	 0.535187
31-Dec-2008 18:00:00 	 0.468594	 0.619293
31-Dec-2008 19:00:00 	 0.374903	 0.542996
31-Dec-2008 20:00:00 	 0.130686	 0.290008
31-Dec-2008 21:00:00 	 -0.246891	 -0.115153
31-Dec-2008 22:00:00 	 -0.699353	 -0.619427
31-Dec-2008 23:00:00 	 -1.139453	 -1.091670
01-Jan-2009 00:00:00 	 -1.471670	 -1.395110
01-Jan-2009 01:00:00 	 -1.615546	 -1.470832
01-Jan-2009 02:00:00 	 -1.525992	 -1.362383
01-Jan-2009 03:00:00 	 -1.205420	 -1.131394
01-Jan-2009 04:00:00 	 -0.704594	 -0.713724
01-Jan-2009 05:00:00 	 -0.111913	 -0.060102
01-Jan-2009 06:00:00 	 0.466301	 0.632492
01-Jan-2009 07:00:00 	 0.929657	 1.131971
01-Jan-2009 08:00:00 	 1.205897	 1.406011
01-Jan-2009 09:00:00 	 1.266019	 1.442900
01-Jan-2009 10:00:00 	 1.128778	 1.215529
01-Jan-2009 11:00:00 	 0.853620	 0.859303
01-Jan-2009 12:00:00 	 0.524041	 0.540107
01-Jan-2009 13:00:00 	 0.225700	 0.298026
01-Jan-2009 14:00:00 	 0.024867	 0.153157
01-Jan-2009 15:00:00 	 -0.047372	 0.103889
01-Jan-2009 16:00:00 	 -0.001272	 0.098284
01-Jan-2009 17:00:00 	 0.116439	 0.156964
01-Jan-2009 18:00:00 	 0.237020	 0.298055
01-Jan-2009 19:00:00 	 0.289898	 0.394624
01-Jan-2009 20:00:00 	 0.223260	 0.330128
01-Jan-2009 21:00:00 	 0.019681	 0.110005
01-Jan-2009 22:00:00 	 -0.297318	 -0.237943
01-Jan-2009 23:00:00 	 -0.667517	 -0.651432
02-Jan-2009 00:00:00 	 -1.008083	 -0.994212
02-Jan-2009 01:00:00 	 -1.233939	 -1.156252
02-Jan-2009 02:00:00 	 -1.279332	 -1.122681
02-Jan-2009 03:00:00 	 -1.115121	 -0.952966
02-Jan-2009 04:00:00 	 -0.757417	 -0.679365
02-Jan-2009 05:00:00 	 -0.265325	 -0.229419
02-Jan-2009 06:00:00 	 0.271736	 0.390620
02-Jan-2009 07:00:00 	 0.754061	 0.961994
02-Jan-2009 08:00:00 	 1.094176	 1.314030
02-Jan-2009 09:00:00 	 1.236349	 1.450336
02-Jan-2009 10:00:00 	 1.168408	 1.349247
02-Jan-2009 11:00:00 	 0.923067	 1.012706
02-Jan-2009 12:00:00 	 0.568613	 0.602790
02-Jan-2009 13:00:00 	 0.191370	 0.253494
02-Jan-2009 14:00:00 	 -0.125592	 -0.013991
02-Jan-2009 15:00:00 	 -0.322209	 -0.168866
02-Jan-2009 16:00:00 	 -0.374795	 -0.222717
02-Jan-2009 17:00:00 	 -0.299837	 -0.226866
02-Jan-2009 18:00:00 	 -0.147472	 -0.139075
02-Jan-2009 19:00:00 	 0.013497	 0.047951
02-Jan-2009 20:00:00 	 0.115100	 0.187916
02-Jan-2009 21:00:00 	 0.109162	 0.177910
02-Jan-2009 22:00:00 	 -0.019147	 0.034230
02-Jan-2009 23:00:00 	 -0.246627	 -0.219161
03-Jan-2009 00:00:00 	 -0.517422	 -0.516404
03-Jan-2009 01:00:00 	 -0.757107	 -0.729583
03-Jan-2009 02:00:00 	 -0.891908	 -0.780449
03-Jan-2009 03:00:00 	 -0.868214	 -0.679760
03-Jan-2009 04:00:00 	 -0.667423	 -0.482220
03-Jan-2009 05:00:00 	 -0.312355	 -0.198545
03-Jan-2009 06:00:00 	 0.136485	 0.232346
03-Jan-2009 07:00:00 	 0.593941	 0.764332
03-Jan-2009 08:00:00 	 0.969436	 1.193133
03-Jan-2009 09:00:00 	 1.187726	 1.405394
03-Jan-2009 10:00:00 	 1.206168	 1.410707
03-Jan-2009 11:00:00 	 1.024328	 1.177948
03-Jan-2009 12:00:00 	 0.683661	 0.747123
03-Jan-2009 13:00:00 	 0.257402	 0.290808
03-Jan-2009 14:00:00 	 -0.166794	 -0.093609
03-Jan-2009 15:00:00 	 -0.507209	 -0.385334
03-Jan-2009 16:00:00 	 -0.706463	 -0.540786
03-Jan-2009 17:00:00 	 -0.743558	 -0.591286
03-Jan-2009 18:00:00 	 -0.636782	 -0.582416
03-Jan-2009 19:00:00 	 -0.436949	 -0.444077
03-Jan-2009 20:00:00 	 -0.212851	 -0.181995
03-Jan-2009 21:00:00 	 -0.032704	 0.038178
03-Jan-2009 22:00:00 	 0.053733	 0.123466
03-Jan-2009 23:00:00 	 0.027842	 0.090251
04-Jan-2009 00:00:00 	 -0.093471	 -0.048744
04-Jan-2009 01:00:00 	 -0.262762	 -0.230169
04-Jan-2009 02:00:00 	 -0.415079	 -0.339716
