Mean 	2.267549
Latitude 	48.653600
Constituent 	 freq 	 amp (m) 	 amp error 	 phase (deg PST) 	 phase error 
SA   	 0.000114	 0.048055	 0.026478	 315.848769	 37.458965
SSA  	 0.000228	 0.067013	 0.034349	 239.213187	 26.584372
MSM  	 0.001310	 0.001777	 0.019627	 9.899204	 265.520443
MM   	 0.001512	 0.047824	 0.032023	 207.792802	 46.205078
MSF  	 0.002822	 0.018161	 0.027005	 68.198544	 108.124325
MF   	 0.003050	 0.042574	 0.030244	 133.457622	 42.131020
ALP1 	 0.034397	 0.004103	 0.003166	 235.916358	 50.374158
2Q1  	 0.035706	 0.006428	 0.003095	 152.775445	 29.186216
SIG1 	 0.035909	 0.010877	 0.003178	 190.708740	 20.014176
Q1   	 0.037219	 0.074742	 0.003500	 141.471080	 2.628165
RHO1 	 0.037421	 0.011766	 0.003648	 154.876453	 17.079543
O1   	 0.038731	 0.434124	 0.003493	 146.476993	 0.520310
TAU1 	 0.038959	 0.019484	 0.005951	 233.880921	 15.340066
BET1 	 0.040040	 0.003480	 0.003535	 116.479295	 54.045817
NO1  	 0.040269	 0.059229	 0.005681	 169.754566	 5.652596
CHI1 	 0.040471	 0.005520	 0.003440	 163.550692	 34.143133
PI1  	 0.041439	 0.013615	 0.004684	 157.812470	 17.972115
P1   	 0.041553	 0.240273	 0.004437	 159.077121	 0.950313
S1   	 0.041667	 0.042373	 0.005291	 124.279211	 8.637826
K1   	 0.041781	 0.767927	 0.003715	 160.147015	 0.316243
PSI1 	 0.041895	 0.010388	 0.003501	 163.858763	 21.769512
PHI1 	 0.042009	 0.012306	 0.004107	 162.464557	 20.445347
THE1 	 0.043091	 0.005198	 0.003903	 202.428152	 40.111819
J1   	 0.043293	 0.037406	 0.003404	 179.961349	 5.091804
SO1  	 0.044603	 0.020707	 0.003428	 272.266032	 10.284324
OO1  	 0.044831	 0.028374	 0.002833	 198.107219	 5.879981
UPS1 	 0.046343	 0.003805	 0.002378	 236.376286	 42.417055
OQ2  	 0.075975	 0.004613	 0.001614	 39.497690	 17.467638
EPS2 	 0.076177	 0.004783	 0.001540	 17.882777	 20.372102
2N2  	 0.077487	 0.017082	 0.001556	 73.086990	 5.065452
MU2  	 0.077689	 0.022462	 0.001822	 40.156602	 4.247751
N2   	 0.078999	 0.130207	 0.001786	 116.484962	 0.838437
NU2  	 0.079202	 0.026087	 0.001891	 121.303087	 4.260940
H1   	 0.080397	 0.007220	 0.001715	 335.366053	 13.380596
M2   	 0.080511	 0.610823	 0.001614	 141.265093	 0.165724
H2   	 0.080625	 0.006673	 0.002136	 200.146670	 15.253444
MKS2 	 0.080740	 0.003061	 0.001319	 264.798515	 28.010542
LDA2 	 0.081821	 0.008448	 0.001719	 197.592624	 12.639926
L2   	 0.082024	 0.018582	 0.001348	 173.975427	 4.344424
T2   	 0.083219	 0.011592	 0.002040	 155.854156	 9.074489
S2   	 0.083333	 0.149713	 0.001858	 157.853928	 0.717307
R2   	 0.083447	 0.001621	 0.001332	 109.915215	 55.727540
K2   	 0.083561	 0.039332	 0.001408	 159.091200	 2.117048
MSN2 	 0.084845	 0.003660	 0.001890	 38.629089	 30.380440
ETA2 	 0.085074	 0.001473	 0.001057	 176.710164	 39.156613
MO3  	 0.119242	 0.013952	 0.001679	 17.261127	 6.572705
M3   	 0.120767	 0.003325	 0.002078	 59.710006	 37.061785
SO3  	 0.122064	 0.006340	 0.001672	 40.445943	 15.158287
MK3  	 0.122292	 0.011473	 0.001884	 21.372749	 9.043426
SK3  	 0.125114	 0.003436	 0.001828	 57.711465	 29.167430
MN4  	 0.159511	 0.005770	 0.001111	 357.767229	 10.113707
M4   	 0.161023	 0.012197	 0.001238	 11.925751	 4.982379
SN4  	 0.162333	 0.001921	 0.001059	 6.042868	 35.263269
MS4  	 0.163845	 0.008061	 0.001134	 14.856682	 8.999017
MK4  	 0.164073	 0.001892	 0.000885	 66.416544	 28.952639
S4   	 0.166667	 0.002564	 0.001091	 13.349746	 22.108255
SK4  	 0.166895	 0.001400	 0.000798	 86.042453	 38.804585
2MK5 	 0.202804	 0.004558	 0.002211	 109.218096	 25.810050
2SK5 	 0.208447	 0.001478	 0.001613	 332.430980	 68.813627
2MN6 	 0.240022	 0.000845	 0.000837	 28.332989	 62.711007
M6   	 0.241534	 0.002417	 0.000910	 47.809389	 20.571866
2MS6 	 0.244356	 0.002007	 0.000788	 76.786822	 22.474474
2MK6 	 0.244584	 0.001960	 0.000684	 131.427867	 18.928862
2SM6 	 0.247178	 0.000739	 0.000718	 35.526033	 60.378342
MSK6 	 0.247406	 0.000687	 0.000582	 112.950555	 50.187543
3MK7 	 0.283315	 0.000556	 0.000747	 358.072329	 90.518649
M8   	 0.322046	 0.000228	 0.000447	 199.017217	 149.935196
