Harmonics from: ,wlev_7277_31-Dec-2007_02-Jan-2009.csv,
Mean ,2.267549,
Latitude ,48.6536,
Time_Local , pred_8 , pred_all 
31-Dec-2008 00:00:00 ,-1.602975,-1.524614
31-Dec-2008 01:00:00 ,-1.592324,-1.513123
31-Dec-2008 02:00:00 ,-1.368702,-1.270952
31-Dec-2008 03:00:00 ,-0.961692,-0.846872
31-Dec-2008 04:00:00 ,-0.436923,-0.320717
31-Dec-2008 05:00:00 ,0.118015,0.223546
31-Dec-2008 06:00:00 ,0.612719,0.710687
31-Dec-2008 07:00:00 ,0.973517,1.075024
31-Dec-2008 08:00:00 ,1.158682,1.264573
31-Dec-2008 09:00:00 ,1.16567,1.261403
31-Dec-2008 10:00:00 ,1.028813,1.100272
31-Dec-2008 11:00:00 ,0.808235,0.857784
31-Dec-2008 12:00:00 ,0.572995,0.616417
31-Dec-2008 13:00:00 ,0.38284,0.432945
31-Dec-2008 14:00:00 ,0.273242,0.332045
31-Dec-2008 15:00:00 ,0.2475,0.315553
31-Dec-2008 16:00:00 ,0.277778,0.363182
31-Dec-2008 17:00:00 ,0.314703,0.42806
31-Dec-2008 18:00:00 ,0.302846,0.447337
31-Dec-2008 19:00:00 ,0.197961,0.363172
31-Dec-2008 20:00:00 ,-0.01861,0.143916
31-Dec-2008 21:00:00 ,-0.332253,-0.19502
31-Dec-2008 22:00:00 ,-0.69622,-0.591151
31-Dec-2008 23:00:00 ,-1.041467,-0.96411
01-Jan-2009 00:00:00 ,-1.292797,-1.237017
01-Jan-2009 01:00:00 ,-1.387283,-1.33948
01-Jan-2009 02:00:00 ,-1.290335,-1.227304
01-Jan-2009 03:00:00 ,-1.005316,-0.911991
01-Jan-2009 04:00:00 ,-0.574234,-0.457264
01-Jan-2009 05:00:00 ,-0.069225,0.05378
01-Jan-2009 06:00:00 ,0.423129,0.54443
01-Jan-2009 07:00:00 ,0.820858,0.948566
01-Jan-2009 08:00:00 ,1.064392,1.205986
01-Jan-2009 09:00:00 ,1.128806,1.273161
01-Jan-2009 10:00:00 ,1.027609,1.151971
01-Jan-2009 11:00:00 ,0.807335,0.900647
01-Jan-2009 12:00:00 ,0.534442,0.605457
01-Jan-2009 13:00:00 ,0.277937,0.341187
01-Jan-2009 14:00:00 ,0.092159,0.153591
01-Jan-2009 15:00:00 ,0.004032,0.062769
01-Jan-2009 16:00:00 ,0.007917,0.066012
01-Jan-2009 17:00:00 ,0.069206,0.132624
01-Jan-2009 18:00:00 ,0.135577,0.208098
01-Jan-2009 19:00:00 ,0.152843,0.23423
01-Jan-2009 20:00:00 ,0.081232,0.166645
01-Jan-2009 21:00:00 ,-0.092224,-0.012971
01-Jan-2009 22:00:00 ,-0.34843,-0.283084
01-Jan-2009 23:00:00 ,-0.63955,-0.586741
02-Jan-2009 00:00:00 ,-0.900136,-0.856349
02-Jan-2009 01:00:00 ,-1.063284,-1.025364
02-Jan-2009 02:00:00 ,-1.077756,-1.032259
02-Jan-2009 03:00:00 ,-0.92173,-0.847807
02-Jan-2009 04:00:00 ,-0.609642,-0.500229
02-Jan-2009 05:00:00 ,-0.19035,-0.059262
02-Jan-2009 06:00:00 ,0.263047,0.399157
02-Jan-2009 07:00:00 ,0.669291,0.809276
02-Jan-2009 08:00:00 ,0.957054,1.111278
02-Jan-2009 09:00:00 ,1.080659,1.249461
02-Jan-2009 10:00:00 ,1.029641,1.193119
02-Jan-2009 11:00:00 ,0.829912,0.965466
02-Jan-2009 12:00:00 ,0.536364,0.639828
02-Jan-2009 13:00:00 ,0.218842,0.301393
02-Jan-2009 14:00:00 ,-0.054946,0.016403
02-Jan-2009 15:00:00 ,-0.235357,-0.172906
02-Jan-2009 16:00:00 ,-0.301659,-0.247177
02-Jan-2009 17:00:00 ,-0.265232,-0.216352
02-Jan-2009 18:00:00 ,-0.164507,-0.12163
02-Jan-2009 19:00:00 ,-0.053084,-0.018741
02-Jan-2009 20:00:00 ,0.015778,0.043717
02-Jan-2009 21:00:00 ,0.004298,0.031275
02-Jan-2009 22:00:00 ,-0.099011,-0.070842
02-Jan-2009 23:00:00 ,-0.275586,-0.244627
03-Jan-2009 00:00:00 ,-0.481126,-0.443304
03-Jan-2009 01:00:00 ,-0.656849,-0.611132
03-Jan-2009 02:00:00 ,-0.744862,-0.690352
