Harmonics from: 	wlev_7795_31-Dec-2004_02-Jan-2006.csv
Mean 	3.128570
Latitude 	49.337000
Time_Local 	 pred_8 	 pred_all 
31-Dec-2005 00:00:00 	 -2.768358	 -2.701004
31-Dec-2005 01:00:00 	 -2.215626	 -2.110948
31-Dec-2005 02:00:00 	 -1.387648	 -1.281125
31-Dec-2005 03:00:00 	 -0.433224	 -0.338845
31-Dec-2005 04:00:00 	 0.480959	 0.576045
31-Dec-2005 05:00:00 	 1.207569	 1.295976
31-Dec-2005 06:00:00 	 1.650518	 1.708562
31-Dec-2005 07:00:00 	 1.783763	 1.817602
31-Dec-2005 08:00:00 	 1.652555	 1.699358
31-Dec-2005 09:00:00 	 1.357128	 1.435566
31-Dec-2005 10:00:00 	 1.023186	 1.116335
31-Dec-2005 11:00:00 	 0.766893	 0.870268
31-Dec-2005 12:00:00 	 0.663407	 0.810422
31-Dec-2005 13:00:00 	 0.727067	 0.935803
31-Dec-2005 14:00:00 	 0.908341	 1.146353
31-Dec-2005 15:00:00 	 1.108321	 1.341674
31-Dec-2005 16:00:00 	 1.207020	 1.434965
31-Dec-2005 17:00:00 	 1.098157	 1.316118
31-Dec-2005 18:00:00 	 0.721350	 0.904211
31-Dec-2005 19:00:00 	 0.083219	 0.226682
31-Dec-2005 20:00:00 	 -0.738337	 -0.607092
31-Dec-2005 21:00:00 	 -1.608221	 -1.483463
31-Dec-2005 22:00:00 	 -2.363433	 -2.285321
31-Dec-2005 23:00:00 	 -2.850513	 -2.843411
01-Jan-2006 00:00:00 	 -2.961954	 -2.980775
01-Jan-2006 01:00:00 	 -2.662513	 -2.647689
01-Jan-2006 02:00:00 	 -1.998805	 -1.954155
01-Jan-2006 03:00:00 	 -1.089667	 -1.051995
01-Jan-2006 04:00:00 	 -0.099540	 -0.068815
01-Jan-2006 05:00:00 	 0.798675	 0.840214
01-Jan-2006 06:00:00 	 1.462202	 1.499018
01-Jan-2006 07:00:00 	 1.809017	 1.816747
01-Jan-2006 08:00:00 	 1.833113	 1.829641
01-Jan-2006 09:00:00 	 1.600882	 1.627714
01-Jan-2006 10:00:00 	 1.229820	 1.293584
01-Jan-2006 11:00:00 	 0.855200	 0.930089
01-Jan-2006 12:00:00 	 0.593349	 0.682675
01-Jan-2006 13:00:00 	 0.510953	 0.653996
01-Jan-2006 14:00:00 	 0.608235	 0.812331
01-Jan-2006 15:00:00 	 0.820264	 1.044656
01-Jan-2006 16:00:00 	 1.035984	 1.255500
01-Jan-2006 17:00:00 	 1.130020	 1.351388
01-Jan-2006 18:00:00 	 0.998968	 1.209986
01-Jan-2006 19:00:00 	 0.592734	 0.760525
01-Jan-2006 20:00:00 	 -0.067365	 0.055146
01-Jan-2006 21:00:00 	 -0.888657	 -0.786250
01-Jan-2006 22:00:00 	 -1.725681	 -1.651034
01-Jan-2006 23:00:00 	 -2.412909	 -2.410629
02-Jan-2006 00:00:00 	 -2.803628	 -2.879503
02-Jan-2006 01:00:00 	 -2.805356	 -2.895193
02-Jan-2006 02:00:00 	 -2.402955	 -2.451500
02-Jan-2006 03:00:00 	 -1.663607	 -1.685174
02-Jan-2006 04:00:00 	 -0.722313	 -0.744319
02-Jan-2006 05:00:00 	 0.248618	 0.242534
02-Jan-2006 06:00:00 	 1.078624	 1.104904
02-Jan-2006 07:00:00 	 1.636953	 1.669687
02-Jan-2006 08:00:00 	 1.860458	 1.876411
02-Jan-2006 09:00:00 	 1.764468	 1.787415
02-Jan-2006 10:00:00 	 1.434312	 1.496591
02-Jan-2006 11:00:00 	 0.999958	 1.088446
02-Jan-2006 12:00:00 	 0.600383	 0.682039
02-Jan-2006 13:00:00 	 0.346848	 0.431785
02-Jan-2006 14:00:00 	 0.294426	 0.420883
02-Jan-2006 15:00:00 	 0.428962	 0.594030
02-Jan-2006 16:00:00 	 0.672676	 0.839019
02-Jan-2006 17:00:00 	 0.906837	 1.066202
02-Jan-2006 18:00:00 	 1.005566	 1.170476
02-Jan-2006 19:00:00 	 0.871996	 1.023245
02-Jan-2006 20:00:00 	 0.467368	 0.572406
02-Jan-2006 21:00:00 	 -0.174547	 -0.111089
02-Jan-2006 22:00:00 	 -0.951638	 -0.909792
02-Jan-2006 23:00:00 	 -1.715444	 -1.715482
03-Jan-2006 00:00:00 	 -2.305631	 -2.387847
03-Jan-2006 01:00:00 	 -2.588452	 -2.737047
03-Jan-2006 02:00:00 	 -2.489610	 -2.630765
03-Jan-2006 03:00:00 	 -2.013319	 -2.103353
03-Jan-2006 04:00:00 	 -1.242736	 -1.300742
03-Jan-2006 05:00:00 	 -0.321588	 -0.359243
03-Jan-2006 06:00:00 	 0.578553	 0.588906
03-Jan-2006 07:00:00 	 1.297321	 1.363322
03-Jan-2006 08:00:00 	 1.721397	 1.807030
03-Jan-2006 09:00:00 	 1.808434	 1.891855
03-Jan-2006 10:00:00 	 1.593393	 1.695472
03-Jan-2006 11:00:00 	 1.176000	 1.309805
03-Jan-2006 12:00:00 	 0.692775	 0.824739
03-Jan-2006 13:00:00 	 0.280856	 0.373937
03-Jan-2006 14:00:00 	 0.042833	 0.110760
03-Jan-2006 15:00:00 	 0.021451	 0.097575
03-Jan-2006 16:00:00 	 0.190453	 0.268559
03-Jan-2006 17:00:00 	 0.463692	 0.521170
03-Jan-2006 18:00:00 	 0.720003	 0.767757
03-Jan-2006 19:00:00 	 0.837318	 0.891885
03-Jan-2006 20:00:00 	 0.727189	 0.769086
03-Jan-2006 21:00:00 	 0.360793	 0.367620
03-Jan-2006 22:00:00 	 -0.220321	 -0.236496
