Mean 	3.116863
Latitude 	49.337000
Constituent 	 freq 	 amp (m) 	 amp error 	 phase (deg PST) 	 phase error 
SA   	 0.000114	 0.034447	 0.031256	 113.739494	 59.289886
SSA  	 0.000228	 0.038527	 0.033065	 330.775073	 50.505330
MSM  	 0.001310	 0.030540	 0.030032	 339.699830	 56.405152
MM   	 0.001512	 0.012003	 0.026682	 1.432225	 141.922948
MSF  	 0.002822	 0.029860	 0.030495	 284.894182	 54.907020
MF   	 0.003050	 0.022990	 0.029206	 179.196218	 83.457387
ALP1 	 0.034397	 0.002215	 0.004118	 203.938219	 130.032530
2Q1  	 0.035706	 0.012863	 0.005374	 185.376810	 22.138900
SIG1 	 0.035909	 0.013982	 0.005305	 183.242718	 22.311078
Q1   	 0.037219	 0.081779	 0.005040	 143.984774	 3.837217
RHO1 	 0.037421	 0.012843	 0.005750	 121.098139	 22.006877
O1   	 0.038731	 0.477578	 0.005991	 152.646249	 0.639879
TAU1 	 0.038959	 0.024948	 0.004962	 237.960016	 11.436363
BET1 	 0.040040	 0.007682	 0.005062	 104.947780	 39.828403
NO1  	 0.040269	 0.036168	 0.004057	 179.428052	 5.880548
CHI1 	 0.040471	 0.009886	 0.004734	 146.602859	 31.465843
PI1  	 0.041439	 0.015498	 0.006173	 155.787643	 21.420933
P1   	 0.041553	 0.266827	 0.005811	 164.507570	 1.089959
S1   	 0.041667	 0.047911	 0.006919	 107.326929	 9.774382
K1   	 0.041781	 0.860258	 0.005144	 166.870583	 0.396403
PSI1 	 0.041895	 0.020274	 0.004642	 165.665010	 14.234163
PHI1 	 0.042009	 0.018679	 0.004915	 166.091218	 15.281025
THE1 	 0.043091	 0.011371	 0.005800	 155.997709	 28.578885
J1   	 0.043293	 0.047625	 0.005713	 203.830723	 7.006397
SO1  	 0.044603	 0.029821	 0.005332	 278.904446	 9.993784
OO1  	 0.044831	 0.030910	 0.004786	 202.746724	 8.625987
UPS1 	 0.046343	 0.003107	 0.004247	 217.297384	 95.977656
OQ2  	 0.075975	 0.002075	 0.001764	 206.979830	 48.691410
EPS2 	 0.076177	 0.002950	 0.001665	 358.980739	 32.665966
2N2  	 0.077487	 0.016693	 0.001706	 108.696673	 5.900768
MU2  	 0.077689	 0.019422	 0.001661	 70.818612	 5.206320
N2   	 0.078999	 0.196299	 0.001723	 135.745763	 0.528074
NU2  	 0.079202	 0.039441	 0.001838	 143.702381	 2.600240
H1   	 0.080397	 0.002168	 0.001611	 306.920875	 44.619466
M2   	 0.080511	 0.917117	 0.001545	 158.895380	 0.113579
H2   	 0.080625	 0.007479	 0.001703	 162.482177	 14.627934
MKS2 	 0.080740	 0.005574	 0.001741	 278.006197	 18.085180
LDA2 	 0.081821	 0.011878	 0.001599	 187.299217	 8.954447
L2   	 0.082024	 0.027506	 0.002077	 181.593124	 4.978464
T2   	 0.083219	 0.016329	 0.001683	 169.608860	 7.681560
S2   	 0.083333	 0.234853	 0.001899	 179.926531	 0.477057
R2   	 0.083447	 0.000996	 0.001308	 75.094692	 84.305586
K2   	 0.083561	 0.062772	 0.001696	 180.157520	 1.636905
MSN2 	 0.084845	 0.002769	 0.001741	 64.473403	 37.869143
ETA2 	 0.085074	 0.004060	 0.001957	 195.553725	 25.331537
MO3  	 0.119242	 0.001496	 0.000841	 304.717231	 33.135866
M3   	 0.120767	 0.001241	 0.000806	 61.106771	 43.903057
SO3  	 0.122064	 0.001584	 0.000835	 163.170925	 31.924050
MK3  	 0.122292	 0.005593	 0.000811	 178.869438	 8.704950
SK3  	 0.125114	 0.002876	 0.000914	 234.111888	 17.088925
MN4  	 0.159511	 0.003546	 0.000557	 143.484000	 8.392185
M4   	 0.161023	 0.007917	 0.000619	 163.146702	 4.563153
SN4  	 0.162333	 0.000536	 0.000615	 141.873570	 68.273863
MS4  	 0.163845	 0.003945	 0.000640	 169.939550	 9.721102
MK4  	 0.164073	 0.002236	 0.000630	 267.680922	 16.387433
S4   	 0.166667	 0.000600	 0.000570	 147.712626	 56.538832
SK4  	 0.166895	 0.000234	 0.000452	 292.229731	 127.794994
2MK5 	 0.202804	 0.004899	 0.001094	 84.642729	 13.837745
2SK5 	 0.208447	 0.000240	 0.000770	 22.117949	 163.094417
2MN6 	 0.240022	 0.005062	 0.000628	 43.464417	 7.556753
M6   	 0.241534	 0.008867	 0.000749	 66.090923	 4.221580
2MS6 	 0.244356	 0.007885	 0.000617	 94.227072	 4.518685
2MK6 	 0.244584	 0.001323	 0.000693	 95.721176	 29.447262
2SM6 	 0.247178	 0.001939	 0.000655	 113.288463	 18.286378
MSK6 	 0.247406	 0.000798	 0.000625	 132.592862	 44.778230
3MK7 	 0.283315	 0.000325	 0.000455	 321.636440	 87.876912
M8   	 0.322046	 0.000738	 0.000397	 119.738698	 29.909834
