Harmonics from: 	wlev_7795_31-Dec-2007_02-Jan-2009.csv
Mean 	3.071410
Latitude 	49.337000
Time_Local 	 pred_8 	 pred_all 
31-Dec-2008 00:00:00 	 -1.862896	 -1.773656
31-Dec-2008 01:00:00 	 -2.039280	 -1.982896
31-Dec-2008 02:00:00 	 -1.921488	 -1.847970
31-Dec-2008 03:00:00 	 -1.513306	 -1.400482
31-Dec-2008 04:00:00 	 -0.879600	 -0.752407
31-Dec-2008 05:00:00 	 -0.132487	 -0.012869
31-Dec-2008 06:00:00 	 0.593845	 0.713768
31-Dec-2008 07:00:00 	 1.173504	 1.292110
31-Dec-2008 08:00:00 	 1.516940	 1.605556
31-Dec-2008 09:00:00 	 1.589828	 1.635245
31-Dec-2008 10:00:00 	 1.418242	 1.442466
31-Dec-2008 11:00:00 	 1.079073	 1.102688
31-Dec-2008 12:00:00 	 0.678337	 0.696401
31-Dec-2008 13:00:00 	 0.323046	 0.330594
31-Dec-2008 14:00:00 	 0.093879	 0.111929
31-Dec-2008 15:00:00 	 0.025581	 0.079719
31-Dec-2008 16:00:00 	 0.100004	 0.187090
31-Dec-2008 17:00:00 	 0.253372	 0.357738
31-Dec-2008 18:00:00 	 0.395716	 0.519727
31-Dec-2008 19:00:00 	 0.437301	 0.579473
31-Dec-2008 20:00:00 	 0.315050	 0.446085
31-Dec-2008 21:00:00 	 0.012022	 0.112035
31-Dec-2008 22:00:00 	 -0.435214	 -0.349262
31-Dec-2008 23:00:00 	 -0.943370	 -0.857924
01-Jan-2009 00:00:00 	 -1.401796	 -1.334883
01-Jan-2009 01:00:00 	 -1.699558	 -1.661249
01-Jan-2009 02:00:00 	 -1.753434	 -1.710669
01-Jan-2009 03:00:00 	 -1.529700	 -1.440027
01-Jan-2009 04:00:00 	 -1.054145	 -0.918703
01-Jan-2009 05:00:00 	 -0.407705	 -0.260883
01-Jan-2009 06:00:00 	 0.291325	 0.435083
01-Jan-2009 07:00:00 	 0.914123	 1.063078
01-Jan-2009 08:00:00 	 1.350651	 1.492344
01-Jan-2009 09:00:00 	 1.534218	 1.639183
01-Jan-2009 10:00:00 	 1.455334	 1.522707
01-Jan-2009 11:00:00 	 1.161579	 1.218022
01-Jan-2009 12:00:00 	 0.743717	 0.800608
01-Jan-2009 13:00:00 	 0.311727	 0.356980
01-Jan-2009 14:00:00 	 -0.033096	 -0.002552
01-Jan-2009 15:00:00 	 -0.222935	 -0.187506
01-Jan-2009 16:00:00 	 -0.238930	 -0.184150
01-Jan-2009 17:00:00 	 -0.113613	 -0.049709
01-Jan-2009 18:00:00 	 0.080126	 0.143172
01-Jan-2009 19:00:00 	 0.250489	 0.319676
01-Jan-2009 20:00:00 	 0.312995	 0.383019
01-Jan-2009 21:00:00 	 0.214619	 0.260509
01-Jan-2009 22:00:00 	 -0.050425	 -0.030759
01-Jan-2009 23:00:00 	 -0.437361	 -0.416315
02-Jan-2009 00:00:00 	 -0.860925	 -0.827925
02-Jan-2009 01:00:00 	 -1.216305	 -1.186503
02-Jan-2009 02:00:00 	 -1.405682	 -1.375492
02-Jan-2009 03:00:00 	 -1.363628	 -1.297025
02-Jan-2009 04:00:00 	 -1.074926	 -0.947280
02-Jan-2009 05:00:00 	 -0.580231	 -0.411563
02-Jan-2009 06:00:00 	 0.031931	 0.205891
02-Jan-2009 07:00:00 	 0.644938	 0.815612
02-Jan-2009 08:00:00 	 1.140793	 1.311981
02-Jan-2009 09:00:00 	 1.427221	 1.579024
02-Jan-2009 10:00:00 	 1.458527	 1.566825
02-Jan-2009 11:00:00 	 1.245164	 1.320152
02-Jan-2009 12:00:00 	 0.849767	 0.919121
02-Jan-2009 13:00:00 	 0.370802	 0.439817
02-Jan-2009 14:00:00 	 -0.081998	 -0.027198
02-Jan-2009 15:00:00 	 -0.414237	 -0.375459
02-Jan-2009 16:00:00 	 -0.568899	 -0.530339
02-Jan-2009 17:00:00 	 -0.538457	 -0.492597
02-Jan-2009 18:00:00 	 -0.364216	 -0.321832
02-Jan-2009 19:00:00 	 -0.123293	 -0.089423
02-Jan-2009 20:00:00 	 0.093258	 0.125496
02-Jan-2009 21:00:00 	 0.205490	 0.228494
02-Jan-2009 22:00:00 	 0.166329	 0.163709
02-Jan-2009 23:00:00 	 -0.025471	 -0.041988
03-Jan-2009 00:00:00 	 -0.324487	 -0.324470
03-Jan-2009 01:00:00 	 -0.650072	 -0.625872
03-Jan-2009 02:00:00 	 -0.907176	 -0.868193
03-Jan-2009 03:00:00 	 -1.011250	 -0.947153
03-Jan-2009 04:00:00 	 -0.910914	 -0.794305
03-Jan-2009 05:00:00 	 -0.602623	 -0.427919
03-Jan-2009 06:00:00 	 -0.133572	 0.068664
03-Jan-2009 07:00:00 	 0.407985	 0.604525
03-Jan-2009 08:00:00 	 0.912697	 1.096961
03-Jan-2009 09:00:00 	 1.275493	 1.445750
03-Jan-2009 10:00:00 	 1.420184	 1.554423
03-Jan-2009 11:00:00 	 1.317274	 1.400016
03-Jan-2009 12:00:00 	 0.990679	 1.041637
03-Jan-2009 13:00:00 	 0.511764	 0.560703
03-Jan-2009 14:00:00 	 -0.017771	 0.033908
03-Jan-2009 15:00:00 	 -0.489897	 -0.448090
03-Jan-2009 16:00:00 	 -0.815285	 -0.784789
03-Jan-2009 17:00:00 	 -0.943264	 -0.910488
03-Jan-2009 18:00:00 	 -0.871948	 -0.831140
03-Jan-2009 19:00:00 	 -0.646251	 -0.607051
03-Jan-2009 20:00:00 	 -0.344514	 -0.311463
03-Jan-2009 21:00:00 	 -0.057250	 -0.027021
03-Jan-2009 22:00:00 	 0.136540	 0.155485
03-Jan-2009 23:00:00 	 0.189530	 0.188472
04-Jan-2009 00:00:00 	 0.097693	 0.095023
04-Jan-2009 01:00:00 	 -0.099465	 -0.075336
04-Jan-2009 02:00:00 	 -0.330010	 -0.272626
04-Jan-2009 03:00:00 	 -0.509149	 -0.423229
04-Jan-2009 04:00:00 	 -0.562272	 -0.438893
04-Jan-2009 05:00:00 	 -0.445620	 -0.270701
04-Jan-2009 06:00:00 	 -0.159314	 0.059109
04-Jan-2009 07:00:00 	 0.250591	 0.478351
04-Jan-2009 08:00:00 	 0.701667	 0.907921
04-Jan-2009 09:00:00 	 1.094020	 1.271290
04-Jan-2009 10:00:00 	 1.333975	 1.476589
04-Jan-2009 11:00:00 	 1.356762	 1.444588
04-Jan-2009 12:00:00 	 1.142666	 1.169870
04-Jan-2009 13:00:00 	 0.722677	 0.718563
04-Jan-2009 14:00:00 	 0.172232	 0.171932
04-Jan-2009 15:00:00 	 -0.405474	 -0.394029
04-Jan-2009 16:00:00 	 -0.902607	 -0.890230
04-Jan-2009 17:00:00 	 -1.230713	 -1.218041
04-Jan-2009 18:00:00 	 -1.339916	 -1.312203
04-Jan-2009 19:00:00 	 -1.228770	 -1.179358
04-Jan-2009 20:00:00 	 -0.942559	 -0.882193
04-Jan-2009 21:00:00 	 -0.560628	 -0.498001
04-Jan-2009 22:00:00 	 -0.176006	 -0.113179
04-Jan-2009 23:00:00 	 0.127610	 0.181257
05-Jan-2009 00:00:00 	 0.295819	 0.335561
05-Jan-2009 01:00:00 	 0.315589	 0.360519
05-Jan-2009 02:00:00 	 0.216556	 0.291465
05-Jan-2009 03:00:00 	 0.061378	 0.173001
