Harmonics from: ,wlev_7795_31-Dec-2010_02-Jan-2012.csv,
Mean ,3.116863,
Latitude ,49.337,
Time_Local , pred_8 , pred_all 
31-Dec-2011 00:00:00 ,-0.259968,-0.286445
31-Dec-2011 01:00:00 ,-0.550439,-0.574495
31-Dec-2011 02:00:00 ,-0.798935,-0.829402
31-Dec-2011 03:00:00 ,-0.921932,-0.955554
31-Dec-2011 04:00:00 ,-0.86264,-0.888645
31-Dec-2011 05:00:00 ,-0.606816,-0.619013
31-Dec-2011 06:00:00 ,-0.188042,-0.192937
31-Dec-2011 07:00:00 ,0.318861,0.314326
31-Dec-2011 08:00:00 ,0.814662,0.814452
31-Dec-2011 09:00:00 ,1.198639,1.200345
31-Dec-2011 10:00:00 ,1.391962,1.375807
31-Dec-2011 11:00:00 ,1.355857,1.30601
31-Dec-2011 12:00:00 ,1.100195,1.019283
31-Dec-2011 13:00:00 ,0.680544,0.577546
31-Dec-2011 14:00:00 ,0.184569,0.059982
31-Dec-2011 15:00:00 ,-0.288772,-0.444726
31-Dec-2011 16:00:00 ,-0.652067,-0.843715
31-Dec-2011 17:00:00 ,-0.84879,-1.058513
31-Dec-2011 18:00:00 ,-0.864543,-1.063962
31-Dec-2011 19:00:00 ,-0.727714,-0.897639
31-Dec-2011 20:00:00 ,-0.499695,-0.629292
31-Dec-2011 21:00:00 ,-0.257377,-0.341756
31-Dec-2011 22:00:00 ,-0.072495,-0.11606
31-Dec-2011 23:00:00 ,0.006928,-0.001658
01-Jan-2012 00:00:00 ,-0.031586,-0.010379
01-Jan-2012 01:00:00 ,-0.162708,-0.125646
01-Jan-2012 02:00:00 ,-0.33102,-0.29375
01-Jan-2012 03:00:00 ,-0.466621,-0.434283
01-Jan-2012 04:00:00 ,-0.504537,-0.478061
01-Jan-2012 05:00:00 ,-0.402988,-0.384945
01-Jan-2012 06:00:00 ,-0.155835,-0.148164
01-Jan-2012 07:00:00 ,0.20394,0.198893
01-Jan-2012 08:00:00 ,0.610653,0.593489
01-Jan-2012 09:00:00 ,0.980675,0.956169
01-Jan-2012 10:00:00 ,1.23194,1.196638
01-Jan-2012 11:00:00 ,1.303426,1.244332
01-Jan-2012 12:00:00 ,1.169887,1.080531
01-Jan-2012 13:00:00 ,0.848268,0.733088
01-Jan-2012 14:00:00 ,0.394291,0.259976
01-Jan-2012 15:00:00 ,-0.109923,-0.262098
01-Jan-2012 16:00:00 ,-0.574171,-0.751384
01-Jan-2012 17:00:00 ,-0.919998,-1.124461
01-Jan-2012 18:00:00 ,-1.09735,-1.309014
01-Jan-2012 19:00:00 ,-1.094145,-1.282087
01-Jan-2012 20:00:00 ,-0.936683,-1.081074
01-Jan-2012 21:00:00 ,-0.681032,-0.773928
01-Jan-2012 22:00:00 ,-0.39774,-0.437294
01-Jan-2012 23:00:00 ,-0.153768,-0.142343
02-Jan-2012 00:00:00 ,0.003836,0.061982
02-Jan-2012 01:00:00 ,0.058545,0.150415
02-Jan-2012 02:00:00 ,0.026732,0.128525
02-Jan-2012 03:00:00 ,-0.048588,0.046447
02-Jan-2012 04:00:00 ,-0.110916,-0.027117
02-Jan-2012 05:00:00 ,-0.106879,-0.042463
02-Jan-2012 06:00:00 ,-0.002007,0.032133
02-Jan-2012 07:00:00 ,0.208371,0.210924
02-Jan-2012 08:00:00 ,0.495921,0.47256
02-Jan-2012 09:00:00 ,0.804702,0.762713
02-Jan-2012 10:00:00 ,1.063883,1.009312
02-Jan-2012 11:00:00 ,1.204742,1.135798
02-Jan-2012 12:00:00 ,1.177764,1.088399
02-Jan-2012 13:00:00 ,0.965662,0.855476
02-Jan-2012 14:00:00 ,0.589069,0.462204
02-Jan-2012 15:00:00 ,0.10347,-0.035589
02-Jan-2012 16:00:00 ,-0.412016,-0.562478
02-Jan-2012 17:00:00 ,-0.871355,-1.040295
02-Jan-2012 18:00:00 ,-1.199915,-1.38822
02-Jan-2012 19:00:00 ,-1.350073,-1.535312
02-Jan-2012 20:00:00 ,-1.31048,-1.461213
02-Jan-2012 21:00:00 ,-1.106898,-1.205494
02-Jan-2012 22:00:00 ,-0.794577,-0.83631
02-Jan-2012 23:00:00 ,-0.444122,-0.428467
03-Jan-2012 00:00:00 ,-0.124413,-0.052514
03-Jan-2012 01:00:00 ,0.113276,0.23456
03-Jan-2012 02:00:00 ,0.246096,0.394577
03-Jan-2012 03:00:00 ,0.282859,0.428636
03-Jan-2012 04:00:00 ,0.259053,0.386768
03-Jan-2012 05:00:00 ,0.225051,0.329262
03-Jan-2012 06:00:00 ,0.230622,0.297368
03-Jan-2012 07:00:00 ,0.309766,0.327422
03-Jan-2012 08:00:00 ,0.469803,0.444805
03-Jan-2012 09:00:00 ,0.687586,0.634947
