Mean 	1.866223
Latitude 	48.424000
Constituent 	 freq 	 amp (m) 	 amp error 	 phase (deg PST) 	 phase error 
SA   	 0.000114	 0.059798	 0.032338	 323.732690	 31.401832
SSA  	 0.000228	 0.062572	 0.029306	 237.969452	 26.284983
MSM  	 0.001310	 0.002523	 0.021259	 347.541591	 262.828763
MM   	 0.001512	 0.051063	 0.028827	 206.842802	 35.098106
MSF  	 0.002822	 0.017043	 0.026580	 72.087481	 116.602042
MF   	 0.003050	 0.039205	 0.027069	 138.148754	 50.496566
ALP1 	 0.034397	 0.002826	 0.002349	 234.896746	 52.860983
2Q1  	 0.035706	 0.007017	 0.002497	 143.126683	 18.908653
SIG1 	 0.035909	 0.007652	 0.002185	 172.576195	 17.519852
Q1   	 0.037219	 0.065435	 0.002362	 130.381082	 2.073398
RHO1 	 0.037421	 0.011077	 0.002307	 139.543714	 12.738218
O1   	 0.038731	 0.375158	 0.002522	 136.159909	 0.384216
TAU1 	 0.038959	 0.007082	 0.004037	 223.183718	 34.595382
BET1 	 0.040040	 0.002054	 0.002141	 142.999120	 64.271507
NO1  	 0.040269	 0.043799	 0.004845	 152.265596	 5.115567
CHI1 	 0.040471	 0.004252	 0.002753	 156.533135	 38.003404
PI1  	 0.041439	 0.011951	 0.002964	 151.776333	 13.007498
P1   	 0.041553	 0.200888	 0.002727	 146.826008	 0.909020
S1   	 0.041667	 0.032197	 0.004008	 128.254376	 7.308707
K1   	 0.041781	 0.638868	 0.002593	 148.751346	 0.224002
PSI1 	 0.041895	 0.007767	 0.002954	 186.790314	 21.833143
PHI1 	 0.042009	 0.009618	 0.003138	 148.503514	 17.029947
THE1 	 0.043091	 0.004152	 0.002294	 173.119920	 41.370135
J1   	 0.043293	 0.030569	 0.002305	 160.567526	 4.255342
SO1  	 0.044603	 0.009721	 0.002304	 251.358431	 13.077541
OO1  	 0.044831	 0.022339	 0.002085	 181.943489	 4.978449
UPS1 	 0.046343	 0.002771	 0.001707	 211.276388	 38.880410
OQ2  	 0.075975	 0.004052	 0.001630	 29.531891	 21.671749
EPS2 	 0.076177	 0.005764	 0.001638	 2.024121	 15.898512
2N2  	 0.077487	 0.015274	 0.001400	 34.957056	 6.439349
MU2  	 0.077689	 0.025779	 0.001725	 18.321413	 3.731250
N2   	 0.078999	 0.086807	 0.001874	 60.859977	 1.236172
NU2  	 0.079202	 0.015790	 0.001871	 69.028801	 5.846826
H1   	 0.080397	 0.010215	 0.001942	 14.471287	 9.576473
M2   	 0.080511	 0.375381	 0.001965	 85.002318	 0.289453
H2   	 0.080625	 0.008644	 0.001789	 246.647629	 13.235435
MKS2 	 0.080740	 0.003073	 0.001350	 288.502330	 28.680125
LDA2 	 0.081821	 0.005751	 0.001825	 203.754841	 18.897069
L2   	 0.082024	 0.008197	 0.001423	 159.033617	 9.121420
T2   	 0.083219	 0.005744	 0.001750	 110.488130	 18.839060
S2   	 0.083333	 0.105936	 0.001793	 92.894363	 1.067955
R2   	 0.083447	 0.001925	 0.001442	 87.610451	 45.577034
K2   	 0.083561	 0.020398	 0.001433	 100.002738	 3.910277
MSN2 	 0.084845	 0.003354	 0.002055	 50.711453	 33.114970
ETA2 	 0.085074	 0.001020	 0.000856	 132.730093	 72.498350
MO3  	 0.119242	 0.021590	 0.002436	 34.009208	 5.621605
M3   	 0.120767	 0.007774	 0.002956	 12.787346	 20.819110
SO3  	 0.122064	 0.011620	 0.002072	 42.014241	 10.649040
MK3  	 0.122292	 0.020684	 0.002516	 24.168589	 7.429463
SK3  	 0.125114	 0.008495	 0.002146	 57.959943	 15.148104
MN4  	 0.159511	 0.008489	 0.001234	 333.018646	 8.701178
M4   	 0.161023	 0.017563	 0.001076	 352.858158	 3.879603
SN4  	 0.162333	 0.002085	 0.001305	 333.599138	 31.090189
MS4  	 0.163845	 0.010476	 0.001297	 3.026720	 6.948023
MK4  	 0.164073	 0.004769	 0.000979	 23.675947	 11.570664
S4   	 0.166667	 0.002838	 0.001064	 0.954679	 21.062381
SK4  	 0.166895	 0.002653	 0.001021	 67.129727	 19.820457
2MK5 	 0.202804	 0.011203	 0.002271	 199.093278	 9.975746
2SK5 	 0.208447	 0.001275	 0.001793	 294.216513	 90.300720
2MN6 	 0.240022	 0.008270	 0.000998	 201.928326	 7.088900
M6   	 0.241534	 0.014671	 0.001081	 225.629236	 4.278781
2MS6 	 0.244356	 0.012092	 0.001221	 251.876764	 4.980343
2MK6 	 0.244584	 0.003854	 0.000826	 229.413475	 12.443137
2SM6 	 0.247178	 0.002883	 0.000936	 274.203600	 19.333156
MSK6 	 0.247406	 0.002119	 0.000703	 247.622467	 23.510703
3MK7 	 0.283315	 0.000241	 0.000497	 39.935444	 122.834219
M8   	 0.322046	 0.000757	 0.000522	 262.143963	 41.086877
