Harmonics from: ,wlev_7120_31-Dec-2004_02-Jan-2006.csv,
Mean ,1.916618,
Latitude ,48.424,
Time_Local , pred_8 , pred_all 
31-Dec-2005 00:00:00 ,-1.039457,-0.86978
31-Dec-2005 01:00:00 ,-0.570704,-0.407164
31-Dec-2005 02:00:00 ,-0.11997,0.041064
31-Dec-2005 03:00:00 ,0.255506,0.378742
31-Dec-2005 04:00:00 ,0.524281,0.577991
31-Dec-2005 05:00:00 ,0.684635,0.714839
31-Dec-2005 06:00:00 ,0.760793,0.846312
31-Dec-2005 07:00:00 ,0.792659,0.941553
31-Dec-2005 08:00:00 ,0.82191,0.980227
31-Dec-2005 09:00:00 ,0.87821,1.030443
31-Dec-2005 10:00:00 ,0.969257,1.151707
31-Dec-2005 11:00:00 ,1.07735,1.287643
31-Dec-2005 12:00:00 ,1.163459,1.342868
31-Dec-2005 13:00:00 ,1.177817,1.303849
31-Dec-2005 14:00:00 ,1.074318,1.193968
31-Dec-2005 15:00:00 ,0.824961,0.979073
31-Dec-2005 16:00:00 ,0.430507,0.612676
31-Dec-2005 17:00:00 ,-0.075599,0.118034
31-Dec-2005 18:00:00 ,-0.631315,-0.445519
31-Dec-2005 19:00:00 ,-1.157366,-1.034564
31-Dec-2005 20:00:00 ,-1.5733,-1.57041
31-Dec-2005 21:00:00 ,-1.814452,-1.898348
31-Dec-2005 22:00:00 ,-1.845724,-1.898293
31-Dec-2005 23:00:00 ,-1.668879,-1.618418
01-Jan-2006 00:00:00 ,-1.321566,-1.210676
01-Jan-2006 01:00:00 ,-0.868369,-0.758556
01-Jan-2006 02:00:00 ,-0.38607,-0.274929
01-Jan-2006 03:00:00 ,0.053244,0.16977
01-Jan-2006 04:00:00 ,0.397135,0.469523
01-Jan-2006 05:00:00 ,0.622257,0.628073
01-Jan-2006 06:00:00 ,0.736151,0.745903
01-Jan-2006 07:00:00 ,0.771189,0.858523
01-Jan-2006 08:00:00 ,0.772475,0.911034
01-Jan-2006 09:00:00 ,0.783003,0.905229
01-Jan-2006 10:00:00 ,0.830046,0.942652
01-Jan-2006 11:00:00 ,0.916394,1.071273
01-Jan-2006 12:00:00 ,1.018778,1.202134
01-Jan-2006 13:00:00 ,1.093918,1.242784
01-Jan-2006 14:00:00 ,1.090677,1.202547
01-Jan-2006 15:00:00 ,0.965136,1.097096
01-Jan-2006 16:00:00 ,0.694664,0.867154
01-Jan-2006 17:00:00 ,0.287207,0.470498
01-Jan-2006 18:00:00 ,-0.216765,-0.042751
01-Jan-2006 19:00:00 ,-0.750428,-0.60224
01-Jan-2006 20:00:00 ,-1.233565,-1.167177
