Harmonics from: 	wlev_7120_31-Dec-2007_02-Jan-2009.csv
Mean 	1.866223
Latitude 	48.424000
Time_Local 	 pred_8 	 pred_all 
31-Dec-2008 00:00:00 	 -1.170701	 -1.073444
31-Dec-2008 01:00:00 	 -0.932124	 -0.822183
31-Dec-2008 02:00:00 	 -0.601736	 -0.510124
31-Dec-2008 03:00:00 	 -0.234168	 -0.152790
31-Dec-2008 04:00:00 	 0.113897	 0.221441
31-Dec-2008 05:00:00 	 0.395586	 0.518006
31-Dec-2008 06:00:00 	 0.582890	 0.674817
31-Dec-2008 07:00:00 	 0.670794	 0.744574
31-Dec-2008 08:00:00 	 0.675658	 0.791600
31-Dec-2008 09:00:00 	 0.628475	 0.789146
31-Dec-2008 10:00:00 	 0.564895	 0.705545
31-Dec-2008 11:00:00 	 0.514715	 0.605860
31-Dec-2008 12:00:00 	 0.493568	 0.577876
31-Dec-2008 13:00:00 	 0.498981	 0.612159
31-Dec-2008 14:00:00 	 0.511757	 0.630256
31-Dec-2008 15:00:00 	 0.502254	 0.598697
31-Dec-2008 16:00:00 	 0.439853	 0.536840
31-Dec-2008 17:00:00 	 0.303051	 0.429834
31-Dec-2008 18:00:00 	 0.087459	 0.233145
31-Dec-2008 19:00:00 	 -0.190487	 -0.038456
31-Dec-2008 20:00:00 	 -0.495211	 -0.324504
31-Dec-2008 21:00:00 	 -0.778784	 -0.601822
31-Dec-2008 22:00:00 	 -0.991240	 -0.856565
31-Dec-2008 23:00:00 	 -1.091888	 -1.013553
01-Jan-2009 00:00:00 	 -1.058858	 -0.992365
01-Jan-2009 01:00:00 	 -0.894498	 -0.806765
01-Jan-2009 02:00:00 	 -0.625282	 -0.537882
01-Jan-2009 03:00:00 	 -0.296219	 -0.231819
01-Jan-2009 04:00:00 	 0.038867	 0.108502
01-Jan-2009 05:00:00 	 0.328861	 0.436405
01-Jan-2009 06:00:00 	 0.535890	 0.658268
01-Jan-2009 07:00:00 	 0.642393	 0.749470
01-Jan-2009 08:00:00 	 0.653126	 0.777430
01-Jan-2009 09:00:00 	 0.591782	 0.773504
01-Jan-2009 10:00:00 	 0.493247	 0.694163
01-Jan-2009 11:00:00 	 0.393578	 0.543350
01-Jan-2009 12:00:00 	 0.320325	 0.416697
01-Jan-2009 13:00:00 	 0.285636	 0.381676
01-Jan-2009 14:00:00 	 0.283889	 0.398570
01-Jan-2009 15:00:00 	 0.294340	 0.396210
01-Jan-2009 16:00:00 	 0.288010	 0.361386
01-Jan-2009 17:00:00 	 0.236943	 0.305996
01-Jan-2009 18:00:00 	 0.123343	 0.201569
01-Jan-2009 19:00:00 	 -0.053850	 0.021333
01-Jan-2009 20:00:00 	 -0.276732	 -0.196489
01-Jan-2009 21:00:00 	 -0.511226	 -0.402468
01-Jan-2009 22:00:00 	 -0.714290	 -0.594658
01-Jan-2009 23:00:00 	 -0.843779	 -0.755789
02-Jan-2009 00:00:00 	 -0.868563	 -0.809266
02-Jan-2009 01:00:00 	 -0.776351	 -0.704771
02-Jan-2009 02:00:00 	 -0.577293	 -0.485387
02-Jan-2009 03:00:00 	 -0.302407	 -0.223440
02-Jan-2009 04:00:00 	 0.002803	 0.059070
02-Jan-2009 05:00:00 	 0.288048	 0.358854
02-Jan-2009 06:00:00 	 0.508927	 0.617850
02-Jan-2009 07:00:00 	 0.636067	 0.758678
02-Jan-2009 08:00:00 	 0.660569	 0.785707
02-Jan-2009 09:00:00 	 0.594572	 0.760911
02-Jan-2009 10:00:00 	 0.466924	 0.688459
02-Jan-2009 11:00:00 	 0.315145	 0.530660
02-Jan-2009 12:00:00 	 0.175781	 0.325464
02-Jan-2009 13:00:00 	 0.075539	 0.176787
02-Jan-2009 14:00:00 	 0.025415	 0.129062
02-Jan-2009 15:00:00 	 0.019170	 0.131411
02-Jan-2009 16:00:00 	 0.036429	 0.125347
02-Jan-2009 17:00:00 	 0.049489	 0.104268
02-Jan-2009 18:00:00 	 0.031996	 0.070713
02-Jan-2009 19:00:00 	 -0.032815	 -0.003104
02-Jan-2009 20:00:00 	 -0.146467	 -0.127125
02-Jan-2009 21:00:00 	 -0.293687	 -0.261290
02-Jan-2009 22:00:00 	 -0.445381	 -0.376241
02-Jan-2009 23:00:00 	 -0.565455	 -0.478755
03-Jan-2009 00:00:00 	 -0.619770	 -0.544774
03-Jan-2009 01:00:00 	 -0.585017	 -0.509969
03-Jan-2009 02:00:00 	 -0.455273	 -0.355050
03-Jan-2009 03:00:00 	 -0.244559	 -0.132991
03-Jan-2009 04:00:00 	 0.015282	 0.102927
03-Jan-2009 05:00:00 	 0.280962	 0.344784
03-Jan-2009 06:00:00 	 0.506879	 0.583296
03-Jan-2009 07:00:00 	 0.654865	 0.759240
03-Jan-2009 08:00:00 	 0.702246	 0.815571
03-Jan-2009 09:00:00 	 0.646348	 0.772829
03-Jan-2009 10:00:00 	 0.504418	 0.681523
03-Jan-2009 11:00:00 	 0.309066	 0.532538
03-Jan-2009 12:00:00 	 0.100389	 0.302890
03-Jan-2009 13:00:00 	 -0.083293	 0.052018
03-Jan-2009 14:00:00 	 -0.213837	 -0.118116
03-Jan-2009 15:00:00 	 -0.278843	 -0.176034
03-Jan-2009 16:00:00 	 -0.283126	 -0.173446
03-Jan-2009 17:00:00 	 -0.245868	 -0.162598
03-Jan-2009 18:00:00 	 -0.194288	 -0.150080
03-Jan-2009 19:00:00 	 -0.155530	 -0.135673
03-Jan-2009 20:00:00 	 -0.148850	 -0.143555
03-Jan-2009 21:00:00 	 -0.180129	 -0.182408
03-Jan-2009 22:00:00 	 -0.240087	 -0.224010
03-Jan-2009 23:00:00 	 -0.306668	 -0.250825
04-Jan-2009 00:00:00 	 -0.350972	 -0.266663
04-Jan-2009 01:00:00 	 -0.345269	 -0.248028
04-Jan-2009 02:00:00 	 -0.271024	 -0.152534
04-Jan-2009 03:00:00 	 -0.124910	 0.019411
04-Jan-2009 04:00:00 	 0.078777	 0.222362
04-Jan-2009 05:00:00 	 0.309995	 0.420956
04-Jan-2009 06:00:00 	 0.528791	 0.610175
04-Jan-2009 07:00:00 	 0.693753	 0.774581
04-Jan-2009 08:00:00 	 0.771135	 0.860707
04-Jan-2009 09:00:00 	 0.742489	 0.829679
04-Jan-2009 10:00:00 	 0.609005	 0.710678
